#scan	iMeasureCycle=1	iMux=0	time=0.02	N=401	LocalTime=19/04/2023 20:01:39
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-2E-07	-1.614E-10	0.022888	0.1	7.56767E-06	0.022888
-0.1000003	-2.206E-10	0.047739	0.0999998	6.85573E-06	0.047739
-0.2000004	-2.693E-10	0.072241	0.0999998	6.15989E-06	0.072241
-0.300001	-2.002E-10	0.096969	0.1	5.47983E-06	0.096969
-0.4	-1.171E-10	0.121471	0.0999999	4.82041E-06	0.121471
-0.5	-9.15E-11	0.145994	0.1	4.18525E-06	0.145994
-0.6	-7.92E-11	0.170501	0.0999998	3.57836E-06	0.170501
-0.7	-7.15E-11	0.195013	0.1	3.00498E-06	0.195013
-0.8	-6.68E-11	0.219517	0.0999999	2.47062E-06	0.219517
-0.9	-6.36E-11	0.244048	0.0999999	1.9809E-06	0.244048
-1	-6.16E-11	0.268638	0.1000001	1.54215E-06	0.268638
-1.1	-6.03E-11	0.293195	0.0999999	1.15879E-06	0.293195
-1.2	-5.54E-11	0.320446	0.0999993	8.35895E-07	0.320446
-1.3	-5.86E-11	0.345001	0.0999995	5.70771E-07	0.345001
-1.4	-5.8E-11	0.369539	0.0999996	3.65772E-07	0.369539
-1.5	-5.78E-11	0.39406	0.0999997	2.16823E-07	0.39406
-1.6	-5.76E-11	0.418562	0.0999996	1.1677E-07	0.418562
-1.699999	-5.11E-11	0.456247	0.099995	5.70417E-08	0.456247
-1.800001	-7.13E-11	0.479472	0.1000062	2.3782E-08	0.479472
-1.900001	-7.02E-11	0.502758	0.1000015	8.5665E-09	0.502758
-2.000001	-7.23E-11	0.525965	0.1000009	2.6214E-09	0.525965
-2.1	-4.92E-11	0.589989	0.0999998	7.202E-10	0.589989
-2.2	-6.96E-11	0.613481	0.1000003	1.442E-10	0.613481
-2.3	-7.13E-11	0.636698	0.1000004	1.84E-11	0.636698
-2.4	-7.03E-11	0.659985	0.1000003	-6E-12	0.659985
-2.5	-7.21E-11	0.683259	0.1000002	-9.1E-12	0.683259
-2.6	-7.28E-11	0.70648	0.1	-9.4E-12	0.70648
-2.7	-7.16E-11	0.729778	0.1000002	-9.5E-12	0.729778
-2.8	-7.24E-11	0.753075	0.1000001	-1E-11	0.753075
-2.9	-7.4E-11	0.776355	0.1000001	-9.7E-12	0.776355
-3	-7.46E-11	0.799579	0.1000002	-9.6E-12	0.799579
-3.1	-7.35E-11	0.822869	0.1	-9.9E-12	0.822869
-3.2	-7.41E-11	0.846159	0.1000001	-9.5E-12	0.846159
-3.3	-7.59E-11	0.869471	0.1000001	-9.5E-12	0.869471
-3.4	-7.65E-11	0.892684	0.1000001	-9.3E-12	0.892684
-3.5	-7.51E-11	0.915987	0.1000001	-9.3E-12	0.915987
-3.6	-7.65E-11	0.939259	0.1000001	-9.1E-12	0.939259
-3.7	-7.69E-11	0.962489	0.1	-9.1E-12	0.962489
-3.8	-7.74E-11	0.985732	0.1	-9.1E-12	0.985732
-3.9	-7.66E-11	1.009022	0.1000001	-9.2E-12	1.009022
-4	-7.63E-11	1.032314	0.1	-9.4E-12	1.032314
-4.1	-5.73E-11	1.086009	0.1	-1.07E-11	1.086009
-4.2	-7.68E-11	1.109228	0.1	-9E-12	1.109228
-4.3	-7.54E-11	1.13253	0.1000002	-9.3E-12	1.13253
-4.4	-7.79E-11	1.155755	0.1000001	-9E-12	1.155755
-4.5	-7.88E-11	1.179019	0.1000002	-9.4E-12	1.179019
-4.6	-7.76E-11	1.202305	0.1000002	-9.5E-12	1.202305
-4.7	-7.75E-11	1.225583	0.1000001	-9.2E-12	1.225583
-4.8	-7.97E-11	1.248807	0.1000001	-9.2E-12	1.248807
-4.9	-7.84E-11	1.272156	0.1000001	-9.5E-12	1.272156
-5	-7.85E-11	1.295431	0.1000001	-9.8E-12	1.295431
-5.1	-7.86E-11	1.318713	0.1000001	-9.3E-12	1.318713
-5.2	-8.07E-11	1.341931	0.1	-8.8E-12	1.341931
-5.3	-7.97E-11	1.365222	0.1	-9.7E-12	1.365222
-5.4	-7.96E-11	1.38851	0.1000001	-9.8E-12	1.38851
-5.5	-7.97E-11	1.411798	0.1000002	-9.5E-12	1.411798
-5.6	-8.11E-11	1.435029	0.1000001	-9.3E-12	1.435029
-5.7	-8.05E-11	1.458324	0.1	-9.2E-12	1.458324
-5.8	-8.05E-11	1.481632	0.1	-9.2E-12	1.481632
-5.9	-8.28E-11	1.504833	0.1	-8.7E-12	1.504833
-6	-8.13E-11	1.528126	0.1000001	-9.1E-12	1.528126
-6.1	-6.15E-11	1.587532	0.0999998	-1.06E-11	1.587532
-6.2	-8.11E-11	1.610811	0.1000001	-8.9E-12	1.610811
-6.3	-8.25E-11	1.634122	0.1000002	-9.2E-12	1.634122
-6.4	-8.07E-11	1.65742	0.1000002	-8.9E-12	1.65742
-6.5	-8.13E-11	1.680757	0.1000001	-8.8E-12	1.680757
-6.6	-8.35E-11	1.703982	0.1000002	-8.6E-12	1.703982
-6.7	-8.38E-11	1.727189	0.1000003	-8.8E-12	1.727189
-6.8	-8.2E-11	1.750485	0.1	-9E-12	1.750485
-6.9	-8.23E-11	1.773874	0.0999999	-9.3E-12	1.773874
-7	-8.43E-11	1.797098	0.1000001	-8.6E-12	1.797098
-7.1	-8.29E-11	1.82039	0.1	-9.3E-12	1.82039
-7.2	-8.24E-11	1.843791	0.1000001	-9.1E-12	1.843791
-7.3	-8.52E-11	1.867019	0.1000005	-8.8E-12	1.867019
-7.4	-8.53E-11	1.890234	0.1000001	-8.6E-12	1.890234
-7.5	-8.33E-11	1.913527	0.1	-8.8E-12	1.913527
-7.6	-8.36E-11	1.936886	0.1000001	-9E-12	1.936886
-7.7	-8.55E-11	1.960103	0.1	-8.8E-12	1.960103
-7.8	-8.58E-11	1.983333	0.1000001	-8.7E-12	1.983333
-7.9	-8.39E-11	2.006623	0.1000001	-8.7E-12	2.006623
-8	-8.46E-11	2.029906	0.1000002	-8.8E-12	2.029906
-8.1	-6.68E-11	2.08026	0.0999997	-1.06E-11	2.08026
-8.2	-8.53E-11	2.103486	0.1	-8.4E-12	2.103486
-8.3	-8.39E-11	2.126773	0.1000001	-8.7E-12	2.126773
-8.4	-8.4E-11	2.150073	0.1000003	-8.8E-12	2.150073
-8.5	-7.21E-11	2.174533	0.1	-1E-11	2.174533
-8.6	-8.48E-11	2.197839	0.1000003	-8.7E-12	2.197839
-8.7	-8.48E-11	2.221124	0.1000002	-9E-12	2.221124
-8.8	-8.68E-11	2.244335	0.1000001	-8.2E-12	2.244335
-8.9	-8.5E-11	2.267678	0.1000002	-8.8E-12	2.267678
-9	-8.43E-11	2.291007	0.1000001	-8.1E-12	2.291007
-9.1	-8.68E-11	2.314222	0.1	-8.2E-12	2.314222
-9.2	-8.72E-11	2.337439	0.1000001	-8.1E-12	2.337439
-9.3	-8.63E-11	2.360747	0.1	-8.6E-12	2.360747
-9.4	-8.64E-11	2.384022	0.1000002	-8.3E-12	2.384022
-9.5	-8.83E-11	2.407244	0.1000003	-8E-12	2.407244
-9.6	-8.84E-11	2.430455	0.1000001	-7.9E-12	2.430455
-9.7	-8.68E-11	2.453747	0.1000002	-8.2E-12	2.453747
-9.8	-8.65E-11	2.477057	0.1000002	-8.2E-12	2.477057
-9.9	-8.87E-11	2.50026	0.1000002	-8.4E-12	2.50026
-10	-8.66E-11	2.523552	0.1	-8.6E-12	2.523552
-9.90001	-4.73E-11	2.546845	0.0999996	-1.17E-11	2.546845
-9.80001	-6.08E-11	2.590409	0.1000001	-1.04E-11	2.590409
-9.70001	-3.98E-11	2.613685	0.0999997	-1.18E-11	2.613685
-9.60001	-3.79E-11	2.636895	0.0999997	-1.18E-11	2.636895
-9.50001	-3.79E-11	2.660197	0.0999998	-1.22E-11	2.660197
-9.40001	-3.57E-11	2.683475	0.0999998	-1.19E-11	2.683475
-9.30001	-3.39E-11	2.706701	0.0999996	-1.22E-11	2.706701
-9.20001	-3.45E-11	2.72999	0.0999998	-1.16E-11	2.72999
-9.10001	-3.32E-11	2.753283	0.0999996	-1.18E-11	2.753283
-9.00001	-3.05E-11	2.776604	0.0999997	-1.2E-11	2.776604
-8.90001	-3.02E-11	2.799821	0.0999998	-1.18E-11	2.799821
-8.80001	-3.1E-11	2.823114	0.0999998	-1.16E-11	2.823114
-8.70001	-3.09E-11	2.846403	0.0999998	-1.2E-11	2.846403
-8.60001	-2.81E-11	2.86978	0.0999997	-1.25E-11	2.86978
-8.50001	-2.76E-11	2.893001	0.0999997	-1.22E-11	2.893001
-8.40001	-2.91E-11	2.916294	0.0999996	-1.17E-11	2.916294
-8.30001	-2.66E-11	2.939578	0.0999999	-1.25E-11	2.939578
-8.20001	-2.61E-11	2.962808	0.0999997	-1.23E-11	2.962808
-8.10001	-2.66E-11	2.986115	0.0999996	-1.25E-11	2.986115
