#scan	iMeasureCycle=1	iMux=0	time=0.022	N=401	LocalTime=20/04/2023 08:49:43
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-2E-07	-1.514E-10	0.024924	0.0999997	2.43258E-05	0.024924
-0.1000005	-2.101E-10	0.049806	0.0999999	2.34801E-05	0.049806
-0.2000004	-2.591E-10	0.074307	0.0999999	2.26402E-05	0.074307
-0.300001	-1.994E-10	0.099058	0.1	2.18037E-05	0.099058
-0.4	-1.117E-10	0.123581	0.0999999	2.09704E-05	0.123581
-0.5	-8.51E-11	0.148115	0.0999999	2.01406E-05	0.148115
-0.6	-7.22E-11	0.172633	0.0999999	1.93148E-05	0.172633
-0.7	-6.53E-11	0.197142	0.0999999	1.8491E-05	0.197142
-0.8	-5.99E-11	0.221657	0.0999999	1.76708E-05	0.221657
-0.9	-5.74E-11	0.246164	0.0999998	1.68549E-05	0.246164
-1	-5.51E-11	0.270712	0.0999997	1.60444E-05	0.270712
-1.1	-5.39E-11	0.295319	0.0999999	1.52378E-05	0.295319
-1.2	-5.27E-11	0.319836	0.1	1.44362E-05	0.319836
-1.3	-5.22E-11	0.344435	0.1000001	1.36416E-05	0.344435
-1.4	-5.18E-11	0.369004	0.0999998	1.28531E-05	0.369004
-1.5	-5.1E-11	0.393597	0.1000001	1.20721E-05	0.393597
-1.6	-5.12E-11	0.418139	0.1	1.13004E-05	0.418139
-1.7	-5.11E-11	0.442748	0.0999998	1.05384E-05	0.442748
-1.8	-5.12E-11	0.467255	0.0999999	9.7878E-06	0.467255
-1.9	-5.13E-11	0.491773	0.1	9.0499E-06	0.491773
-2	-4.78E-11	0.519032	0.1000001	8.33029E-06	0.519032
-2.1	-5.1E-11	0.543554	0.0999999	7.62259E-06	0.543554
-2.2	-4.52E-11	0.591156	0.1000001	6.93564E-06	0.591156
-2.3	-5.03E-11	0.615701	0.1	6.26702E-06	0.615701
-2.4	-5.1E-11	0.640205	0.1	5.62322E-06	0.640205
-2.5	-5.12E-11	0.664774	0.1	5.00644E-06	0.664774
-2.6	-5.2E-11	0.689342	0.0999999	4.41862E-06	0.689342
-2.7	-5.22E-11	0.714	0.1	3.86279E-06	0.714
-2.8	-5.3E-11	0.738485	0.0999999	3.34117E-06	0.738485
-2.9	-5.35E-11	0.763004	0.0999999	2.85564E-06	0.763004
-3	-5.34E-11	0.787525	0.0999997	2.40787E-06	0.787525
-3.1	-5.37E-11	0.812093	0.1	1.99976E-06	0.812093
-3.2	-5.41E-11	0.836601	0.0999999	1.6314E-06	0.836601
-3.3	-5.45E-11	0.861168	0.0999999	1.30376E-06	0.861168
-3.4	-5.53E-11	0.885672	0.1000001	1.0171E-06	0.885672
-3.5	-5.1E-11	0.912999	0.0999995	7.71674E-07	0.912999
-3.6	-5.5E-11	0.937523	0.0999997	5.64759E-07	0.937523
-3.7	-5.53E-11	0.962109	0.0999996	3.96734E-07	0.962109
-3.8	-5.58E-11	0.986622	0.0999997	2.65625E-07	0.986622
-3.9	-5.66E-11	1.011194	0.0999999	1.6774E-07	1.011194
-4	-5.66E-11	1.035709	0.0999999	9.88E-08	1.035709
-4.1	-4.94E-11	1.098579	0.099997	5.49571E-08	1.098579
-4.2	-6.81E-11	1.121963	0.1000052	2.71697E-08	1.121963
-4.3	-7.08E-11	1.145173	0.100003	1.21561E-08	1.145173
-4.4	-7.13E-11	1.168411	0.1000016	4.8609E-09	1.168411
-4.5	-7.03E-11	1.191847	0.1000006	1.7209E-09	1.191847
-4.6	-7.03E-11	1.215161	0.1000003	5.213E-10	1.215161
-4.7	-7.32E-11	1.238372	0.1000003	1.274E-10	1.238372
-4.8	-7.37E-11	1.261587	0.1000001	2.1E-11	1.261587
-4.9	-7.21E-11	1.284861	0.1000001	-7E-13	1.284861
-5	-7.23E-11	1.308152	0.0999999	-3.9E-12	1.308152
-5.1	-7.46E-11	1.331383	0.1000002	-4.1E-12	1.331383
-5.2	-7.29E-11	1.35496	0.1000002	-4.3E-12	1.35496
-5.3	-7.42E-11	1.378183	0.1000001	-4E-12	1.378183
-5.4	-7.3E-11	1.40147	0.1000003	-4.7E-12	1.40147
-5.5	-7.49E-11	1.424689	0.1000001	-4E-12	1.424689
-5.6	-7.38E-11	1.447986	0.1000002	-4.3E-12	1.447986
-5.7	-7.43E-11	1.471261	0.1000001	-4.4E-12	1.471261
-5.8	-7.63E-11	1.494497	0.1000003	-4.1E-12	1.494497
-5.9	-7.49E-11	1.51787	0.1000002	-4.4E-12	1.51787
-6	-7.48E-11	1.541167	0.1000004	-4.3E-12	1.541167
-6.1	-5.55E-11	1.592894	0.0999999	-6.3E-12	1.592894
-6.2	-7.3E-11	1.616218	0.1000002	-4.4E-12	1.616218
-6.3	-7.63E-11	1.639437	0.1000001	-4E-12	1.639437
-6.4	-7.68E-11	1.662649	0.1000002	-4E-12	1.662649
-6.5	-7.67E-11	1.685912	0.1000001	-3.8E-12	1.685912
-6.6	-7.56E-11	1.709286	0.1000002	-4E-12	1.709286
-6.7	-7.71E-11	1.732492	0.1000002	-4.1E-12	1.732492
-6.8	-7.73E-11	1.755721	0.1000002	-3.9E-12	1.755721
-6.9	-7.8E-11	1.77894	0.1000002	-4.1E-12	1.77894
