#scan	iMeasureCycle=1	iMux=0	time=0.021	N=401	LocalTime=20/04/2023 08:43:43
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-2E-07	-1.509E-10	0.024019	0.0999999	2.42002E-05	0.024019
-0.1000005	-2.099E-10	0.048979	0.0999999	2.33558E-05	0.048979
-0.2000004	-2.585E-10	0.073573	0.1000001	2.25161E-05	0.073573
-0.300001	-1.966E-10	0.098295	0.0999999	2.16799E-05	0.098295
-0.4	-1.1E-10	0.122827	0.1	2.08473E-05	0.122827
-0.5	-8.41E-11	0.147434	0.0999998	2.00192E-05	0.147434
-0.6	-7.16E-11	0.171966	0.1	1.91924E-05	0.171966
-0.7	-6.48E-11	0.196487	0.1	1.83694E-05	0.196487
-0.8	-6E-11	0.220992	0.0999998	1.75504E-05	0.220992
-0.9	-5.71E-11	0.245513	0.1	1.67354E-05	0.245513
-1	-5.5E-11	0.270028	0.1000001	1.59245E-05	0.270028
-1.1	-5.35E-11	0.294549	0.0999999	1.51195E-05	0.294549
-1.2	-5.26E-11	0.319056	0.1	1.43192E-05	0.319056
-1.3	-5.18E-11	0.343825	0.0999998	1.35252E-05	0.343825
-1.4	-5.13E-11	0.368352	0.0999998	1.27377E-05	0.368352
-1.5	-5.09E-11	0.392886	0.1	1.19578E-05	0.392886
-1.6	-5.14E-11	0.417459	0.0999999	1.11873E-05	0.417459
-1.7	-5.08E-11	0.442017	0.1000002	1.0427E-05	0.442017
-1.8	-5.12E-11	0.466631	0.0999999	9.6778E-06	0.466631
-1.9	-4.74E-11	0.493728	0.1000001	8.94581E-06	0.493728
-2	-5.11E-11	0.518261	0.0999998	8.22401E-06	0.518261
-2.1	-5.1E-11	0.542828	0.1000002	7.51906E-06	0.542828
-2.2	-4.47E-11	0.590016	0.1000001	6.8357E-06	0.590016
-2.3	-4.95E-11	0.614543	0.0999999	6.16927E-06	0.614543
-2.4	-5.06E-11	0.639007	0.1000001	5.52931E-06	0.639007
-2.5	-5.12E-11	0.66352	0.0999999	4.91648E-06	0.66352
-2.6	-5.16E-11	0.688117	0.1000001	4.33282E-06	0.688117
-2.7	-5.15E-11	0.712659	0.1	3.78113E-06	0.712659
-2.8	-5.25E-11	0.73731	0.0999999	3.26387E-06	0.73731
-2.9	-5.27E-11	0.761844	0.0999998	2.78356E-06	0.761844
-3	-5.32E-11	0.786356	0.1	2.34088E-06	0.786356
-3.1	-5.36E-11	0.810884	0.0999999	1.93843E-06	0.810884
-3.2	-5.36E-11	0.835391	0.0999999	1.57603E-06	0.835391
-3.3	-5.45E-11	0.859966	0.1000002	1.25441E-06	0.859966
-3.4	-5.47E-11	0.88447	0.0999999	9.7375E-07	0.88447
-3.5	-5.08E-11	0.911825	0.0999998	7.34677E-07	0.911825
-3.6	-5.48E-11	0.936354	0.0999996	5.33957E-07	0.936354
