#scan	iMeasureCycle=1	iMux=0	time=0.031	N=401	LocalTime=20/04/2023 09:25:43
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-3E-07	-1.514E-10	0.033885	0.1000001	2.50609E-05	0.033885
-0.1000004	-2.099E-10	0.058787	0.1	2.4212E-05	0.058787
-0.2000005	-2.594E-10	0.083239	0.1000001	2.33684E-05	0.083239
-0.300001	-1.929E-10	0.107966	0.0999997	2.25279E-05	0.107966
-0.4	-1.098E-10	0.132482	0.0999999	2.16912E-05	0.132482
-0.5	-8.45E-11	0.157085	0.0999999	2.08579E-05	0.157085
-0.6	-7.2E-11	0.181608	0.1000001	2.00275E-05	0.181608
-0.7	-6.47E-11	0.206162	0.1	1.91999E-05	0.206162
-0.8	-6.06E-11	0.230677	0.0999999	1.83762E-05	0.230677
-0.9	-5.72E-11	0.25521	0.0999999	1.75563E-05	0.25521
-1	-5.5E-11	0.279818	0.0999999	1.67399E-05	0.279818
-1.1	-5.38E-11	0.304337	0.1000001	1.59284E-05	0.304337
-1.2	-5.28E-11	0.328869	0.1	1.5122E-05	0.328869
-1.3	-5.26E-11	0.353374	0.0999998	1.43217E-05	0.353374
-1.4	-5.24E-11	0.377923	0.0999997	1.35274E-05	0.377923
-1.5	-5.19E-11	0.402448	0.1000002	1.27395E-05	0.402448
-1.6	-5.22E-11	0.426969	0.1000001	1.196E-05	0.426969
-1.7	-5.2E-11	0.451504	0.0999999	1.11892E-05	0.451504
-1.8	-5.15E-11	0.476162	0.0999999	1.04298E-05	0.476162
-1.9	-5.17E-11	0.500755	0.1	9.6815E-06	0.500755
-2	-4.83E-11	0.527891	0.0999999	8.95098E-06	0.527891
-2.1	-5.17E-11	0.552387	0.0999999	8.23087E-06	0.552387
-2.2	-4.54E-11	0.600064	0.0999999	7.52988E-06	0.600064
-2.3	-5.05E-11	0.624598	0.0999999	6.84471E-06	0.624598
-2.4	-5.11E-11	0.64915	0.0999999	6.18249E-06	0.64915
-2.5	-5.2E-11	0.673664	0.0999999	5.54486E-06	0.673664
-2.6	-5.26E-11	0.698239	0.0999999	4.93426E-06	0.698239
-2.7	-5.34E-11	0.722746	0.1	4.35392E-06	0.722746
-2.8	-5.33E-11	0.747306	0.0999997	3.8057E-06	0.747306
-2.9	-5.37E-11	0.771904	0.0999997	3.29116E-06	0.771904
-3	-5.45E-11	0.796446	0.0999999	2.81287E-06	0.796446
-3.1	-5.45E-11	0.821004	0.1	2.37223E-06	0.821004
-3.2	-5.44E-11	0.845561	0.1	1.97066E-06	0.845561
-3.3	-5.5E-11	0.870067	0.1	1.60846E-06	0.870067
-3.4	-5.43E-11	0.894703	0.1	1.28588E-06	0.894703
-3.5	-5.57E-11	0.919214	0.1000001	1.00376E-06	0.919214
-3.6	-5.16E-11	0.946667	0.0999995	7.62702E-07	0.946667
-3.7	-5.59E-11	0.971182	0.0999996	5.59171E-07	0.971182
-3.8	-5.6E-11	0.995813	0.0999995	3.93878E-07	0.995813
-3.9	-5.62E-11	1.020352	0.0999996	2.64418E-07	1.020352
-4	-5.68E-11	1.044872	0.0999998	1.67717E-07	1.044872
-4.1	-5.09E-11	1.098716	0.0999999	1.00803E-07	1.098716
-4.2	-5.07E-11	1.136396	0.0999971	5.55617E-08	1.136396
-4.3	-6.87E-11	1.159737	0.1000049	2.76142E-08	1.159737
-4.4	-6.95E-11	1.184575	0.1000028	1.24456E-08	1.184575
-4.5	-7.22E-11	1.207807	0.1000018	5.002E-09	1.207807
-4.6	-7.32E-11	1.231007	0.1000007	1.7756E-09	1.231007
-4.7	-7.15E-11	1.254293	0.1000005	5.44E-10	1.254293
-4.8	-7.04E-11	1.277723	0.1000005	1.35E-10	1.277723
-4.9	-7.35E-11	1.300953	0.1000002	2.4E-11	1.300953
-5	-7.45E-11	1.324167	0.1000004	-4E-13	1.324167
-5.1	-7.31E-11	1.34745	0.1000004	-4E-12	1.34745
-5.2	-7.36E-11	1.370737	0.1000001	-4.7E-12	1.370737
-5.3	-7.49E-11	1.393964	0.1000004	-4.4E-12	1.393964
-5.4	-7.56E-11	1.417182	0.1000004	-4.8E-12	1.417182
-5.5	-7.41E-11	1.440478	0.1000001	-4.6E-12	1.440478
-5.6	-7.38E-11	1.463792	0.1000002	-4.6E-12	1.463792
-5.7	-7.5E-11	1.487061	0.1000004	-4.8E-12	1.487061
-5.8	-7.65E-11	1.510285	0.1000003	-4.9E-12	1.510285
-5.9	-7.47E-11	1.533569	0.1000002	-5.1E-12	1.533569
-6	-7.5E-11	1.556848	0.1000001	-4.9E-12	1.556848
-6.1	-5.62E-11	1.601587	0.1000001	-6.4E-12	1.601587
-6.2	-7.38E-11	1.624895	0.1000003	-4.6E-12	1.624895
-6.3	-7.57E-11	1.648116	0.1000003	-4.5E-12	1.648116
-6.4	-7.64E-11	1.671337	0.1000003	-4.7E-12	1.671337
-6.5	-7.73E-11	1.694594	0.1000003	-4.5E-12	1.694594
-6.6	-7.56E-11	1.717887	0.1000004	-5E-12	1.717887
-6.7	-7.74E-11	1.741108	0.1000002	-4.4E-12	1.741108
-6.8	-7.82E-11	1.764318	0.1000001	-4.5E-12	1.764318
-6.9	-7.81E-11	1.787615	0.1000002	-4.3E-12	1.787615
-7	-7.69E-11	1.810916	0.1000002	-4.7E-12	1.810916
-7.1	-7.94E-11	1.834179	0.1000002	-4.8E-12	1.834179
-7.2	-7.89E-11	1.857404	0.1000003	-4.4E-12	1.857404
-7.3	-7.91E-11	1.880608	0.1000004	-4.4E-12	1.880608
-7.4	-7.79E-11	1.903968	0.1000001	-4.3E-12	1.903968
-7.5	-7.9E-11	1.927176	0.1000003	-4.3E-12	1.927176
-7.6	-7.91E-11	1.950407	0.1000001	-4.3E-12	1.950407
-7.7	-7.91E-11	1.973656	0.1000002	-4.4E-12	1.973656
-7.8	-7.81E-11	1.996944	0.1000003	-4.6E-12	1.996944
-7.9	-7.81E-11	2.020248	0.1000003	-4.1E-12	2.020248
-8	-8.07E-11	2.043455	0.1000002	-4.3E-12	2.043455
-8.1	-5.92E-11	2.100309	0.1000003	-6.2E-12	2.100309
-8.2	-7.9E-11	2.123561	0.1000003	-4.3E-12	2.123561
-8.3	-7.94E-11	2.146779	0.1000003	-4.8E-12	2.146779
-8.4	-7.75E-11	2.170121	0.1000003	-4.5E-12	2.170121
-8.5	-8.02E-11	2.193477	0.1000002	-4.6E-12	2.193477
-8.6	-7.95E-11	2.216733	0.1000002	-4.4E-12	2.216733
-8.7	-8.1E-11	2.239946	0.1000003	-4E-12	2.239946
-8.8	-7.91E-11	2.263233	0.1000001	-4.4E-12	2.263233
