#scan	iMeasureCycle=1	iMux=0	time=0.03	N=401	LocalTime=19/04/2023 19:07:38
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-3E-07	-1.618E-10	0.032913	0.0999999	6.4601E-06	0.032913
-0.1000004	-2.212E-10	0.057783	0.0999999	5.77264E-06	0.057783
-0.2000002	-2.697E-10	0.08227	0.1	5.10389E-06	0.08227
-0.300001	-2.081E-10	0.107028	0.0999999	4.45611E-06	0.107028
-0.4	-1.183E-10	0.131582	0.0999997	3.83475E-06	0.131582
-0.5	-9.26E-11	0.156122	0.0999999	3.2431E-06	0.156122
-0.6	-7.96E-11	0.180654	0.0999997	2.68775E-06	0.180654
-0.7	-7.21E-11	0.205158	0.0999999	2.17393E-06	0.205158
-0.8	-6.7E-11	0.229689	0.0999999	1.70924E-06	0.229689
-0.9	-6.43E-11	0.254216	0.0999998	1.29831E-06	0.254216
-1	-6.22E-11	0.278815	0.0999998	9.4589E-07	0.278815
-1.1	-5.63E-11	0.306128	0.0999996	6.56665E-07	0.306128
-1.2	-5.95E-11	0.330679	0.0999995	4.27088E-07	0.330679
-1.3	-5.85E-11	0.355223	0.0999997	2.57363E-07	0.355223
-1.4	-5.84E-11	0.380005	0.0999997	1.41156E-07	0.380005
-1.5	-5.13E-11	0.417682	0.0999941	7.02267E-08	0.417682
-1.600001	-7.15E-11	0.440956	0.1000073	2.98467E-08	0.440956
-1.700001	-7.02E-11	0.464231	0.1000026	1.09775E-08	0.464231
-1.800001	-7.06E-11	0.487516	0.1000011	3.4426E-09	0.487516
-1.900001	-7.14E-11	0.510796	0.1000006	9.005E-10	0.510796
-2.000001	-7.31E-11	0.534002	0.1000002	1.903E-10	0.534002
-2.1	-5.12E-11	0.5812	0.1	2.67E-11	0.5812
-2.2	-6.95E-11	0.604759	0.1000003	-5.5E-12	0.604759
-2.3	-7.17E-11	0.627984	0.1000004	-1.04E-11	0.627984
-2.4	-7.25E-11	0.651206	0.1000002	-1.04E-11	0.651206
-2.5	-7.17E-11	0.674487	0.1000002	-1.06E-11	0.674487
-2.6	-7.21E-11	0.697842	0.1000001	-1.06E-11	0.697842
-2.7	-7.39E-11	0.721058	0.1000002	-1.02E-11	0.721058
-2.8	-7.44E-11	0.744269	0.1000001	-1E-11	0.744269
-2.9	-7.32E-11	0.767615	0.1000003	-1E-11	0.767615
-3	-7.56E-11	0.790821	0.1000003	-1.03E-11	0.790821
-3.1	-7.6E-11	0.814038	0.1000003	-9.6E-12	0.814038
-3.2	-7.62E-11	0.837247	0.1000001	-9.7E-12	0.837247
-3.3	-7.49E-11	0.860535	0.1000002	-1.01E-11	0.860535
-3.4	-7.36E-11	0.883893	0.1000003	-1E-11	0.883893
-3.5	-7.47E-11	0.907195	0.1000001	-1.03E-11	0.907195
-3.6	-7.58E-11	0.930488	0.1	-1.04E-11	0.930488
-3.7	-7.61E-11	0.953767	0.1	-1.03E-11	0.953767
-3.8	-7.71E-11	0.976977	0.1000001	-9.8E-12	0.976977
-3.9	-7.83E-11	1.00019	0.1000004	-1.01E-11	1.00019
-4	-7.67E-11	1.023496	0.1000002	-1.01E-11	1.023496
-4.1	-7.74E-11	1.046775	0.1000001	-9.8E-12	1.046775
-4.2	-5.82E-11	1.096512	0.1	-1.16E-11	1.096512
-4.3	-7.55E-11	1.119857	0.1000002	-1E-11	1.119857
-4.4	-7.7E-11	1.143143	0.1000002	-1E-11	1.143143
-4.5	-7.93E-11	1.166355	0.1000002	-9.7E-12	1.166355
-4.6	-7.78E-11	1.189697	0.1000003	-1E-11	1.189697
-4.7	-7.85E-11	1.212984	0.1000004	-9.7E-12	1.212984
-4.8	-8E-11	1.2362	0.1000005	-9E-12	1.2362
-4.9	-7.95E-11	1.259441	0.1000002	-9.2E-12	1.259441
-5	-7.89E-11	1.282814	0.1000003	-9.5E-12	1.282814
-5.1	-7.9E-11	1.306107	0.1000003	-9.6E-12	1.306107
-5.2	-7.9E-11	1.329404	0.1000002	-9.4E-12	1.329404
-5.3	-8.16E-11	1.352609	0.1000003	-9.6E-12	1.352609
-5.4	-8.12E-11	1.375844	0.1000002	-9.7E-12	1.375844
-5.5	-8.01E-11	1.399153	0.1000002	-9.9E-12	1.399153
-5.6	-8.12E-11	1.422408	0.1000005	-9.6E-12	1.422408
-5.7	-8.2E-11	1.445662	0.1000003	-9.5E-12	1.445662
-5.8	-8.03E-11	1.468958	0.1000002	-9.4E-12	1.468958
-5.9	-8.07E-11	1.492236	0.1000003	-9.6E-12	1.492236
-6	-8.26E-11	1.515447	0.1000002	-9.3E-12	1.515447
-6.1	-8.33E-11	1.538724	0.1000001	-9.1E-12	1.538724
-6.2	-6.24E-11	1.593773	0.1000001	-1.12E-11	1.593773
-6.3	-7.95E-11	1.617082	0.1000003	-9.7E-12	1.617082
-6.4	-8.25E-11	1.640304	0.1000004	-9.7E-12	1.640304
-6.5	-8.32E-11	1.663529	0.1000003	-9.7E-12	1.663529
-6.6	-8.34E-11	1.686801	0.1000003	-9.8E-12	1.686801
-6.7	-8.18E-11	1.710087	0.1000003	-9.7E-12	1.710087
-6.8	-8.2E-11	1.733384	0.1000003	-9.2E-12	1.733384
-6.9	-8.42E-11	1.756599	0.1000002	-9.3E-12	1.756599
-7	-8.46E-11	1.779866	0.1000004	-9.1E-12	1.779866
-7.1	-8.2E-11	1.803196	0.1000001	-9.5E-12	1.803196
-7.2	-8.27E-11	1.8265	0.1000002	-9.2E-12	1.8265
-7.3	-8.51E-11	1.849719	0.1000001	-9.5E-12	1.849719
-7.4	-8.37E-11	1.873005	0.1000002	-9.7E-12	1.873005
-7.5	-8.38E-11	1.896318	0.1000002	-9.8E-12	1.896318
-7.6	-8.52E-11	1.919553	0.1000001	-9.4E-12	1.919553
-7.7	-8.62E-11	1.942765	0.1000003	-9.4E-12	1.942765
-7.8	-8.49E-11	1.966056	0.1000002	-9.1E-12	1.966056
-7.9	-8.46E-11	1.989339	0.1000002	-9.7E-12	1.989339
-8	-8.6E-11	2.012556	0.1000002	-9.1E-12	2.012556
-8.1	-8.69E-11	2.035778	0.1000003	-9.4E-12	2.035778
-8.2	-8.5E-11	2.059074	0.1000004	-9.2E-12	2.059074
-8.3	-6.63E-11	2.099512	0.1000001	-1.1E-11	2.099512
-8.4	-8.5E-11	2.122791	0.1000002	-9.3E-12	2.122791
-8.5	-8.63E-11	2.146008	0.1000003	-9.4E-12	2.146008
-8.6	-8.73E-11	2.169224	0.1000002	-8.9E-12	2.169224
-8.7	-8.41E-11	2.19261	0.1000001	-9.2E-12	2.19261
-8.8	-8.67E-11	2.215829	0.1000003	-9.2E-12	2.215829
-8.9	-8.52E-11	2.239125	0.1000002	-8.8E-12	2.239125
-9	-8.41E-11	2.262474	0.1000002	-9E-12	2.262474
