#scan	iMeasureCycle=1	iMux=0	time=0.031	N=401	LocalTime=20/04/2023 08:31:43
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
0	-1.509E-10	0.033902	0.1	2.39517E-05	0.033902
-0.1000005	-2.093E-10	0.058819	0.0999999	2.31075E-05	0.058819
-0.2000005	-2.586E-10	0.083331	0.0999999	2.22686E-05	0.083331
-0.300001	-1.994E-10	0.108052	0.1	2.14348E-05	0.108052
-0.4	-1.108E-10	0.132587	0.1	2.06034E-05	0.132587
-0.5	-8.49E-11	0.157111	0.0999999	1.97748E-05	0.157111
-0.6	-7.23E-11	0.181627	0.0999999	1.89508E-05	0.181627
-0.7	-6.51E-11	0.206152	0.1000001	1.81298E-05	0.206152
-0.8	-5.96E-11	0.230685	0.0999998	1.73115E-05	0.230685
-0.9	-5.66E-11	0.255198	0.0999999	1.64978E-05	0.255198
-1	-5.48E-11	0.279782	0.0999998	1.56892E-05	0.279782
-1.1	-5.33E-11	0.304285	0.1	1.4885E-05	0.304285
-1.2	-5.22E-11	0.328815	0.1	1.40866E-05	0.328815
-1.3	-5.21E-11	0.353443	0.0999999	1.32951E-05	0.353443
-1.4	-5.15E-11	0.378066	0.1	1.25097E-05	0.378066
-1.5	-5.2E-11	0.402573	0.0999999	1.17326E-05	0.402573
-1.6	-5.15E-11	0.427079	0.0999999	1.09647E-05	0.427079
-1.7	-5.14E-11	0.451583	0.1	1.02069E-05	0.451583
-1.8	-5.12E-11	0.476125	0.0999999	9.4617E-06	0.476125
-1.9	-4.76E-11	0.503299	0.1	8.73247E-06	0.503299
-2	-5.08E-11	0.527831	0.0999997	8.01463E-06	0.527831
-2.1	-5.11E-11	0.552357	0.0999999	7.31465E-06	0.552357
-2.2	-4.42E-11	0.600546	0.0999999	6.63682E-06	0.600546
-2.3	-4.98E-11	0.625084	0.0999999	5.9775E-06	0.625084
-2.4	-5.05E-11	0.64961	0.0999998	5.34376E-06	0.64961
-2.5	-5.13E-11	0.674177	0.1	4.73823E-06	0.674177
-2.6	-5.19E-11	0.698747	0.1000001	4.16282E-06	0.698747
-2.7	-5.18E-11	0.723271	0.1	3.62037E-06	0.723271
-2.8	-5.22E-11	0.747822	0.1	3.11288E-06	0.747822
-2.9	-5.25E-11	0.772363	0.0999999	2.64302E-06	0.772363
-3	-5.32E-11	0.796877	0.1000001	2.21137E-06	0.796877
-3.1	-5.36E-11	0.8214	0.1	1.8207E-06	0.8214
-3.2	-5.37E-11	0.845931	0.1	1.47001E-06	0.845931
-3.3	-5.4E-11	0.870543	0.0999999	1.16045E-06	0.870543
-3.4	-5.05E-11	0.897877	0.0999995	8.93023E-07	0.897877
-3.5	-5.46E-11	0.922417	0.0999997	6.64767E-07	0.922417
-3.6	-5.51E-11	0.946981	0.0999996	4.77166E-07	0.946981
-3.7	-5.53E-11	0.971499	0.0999997	3.27572E-07	0.971499
-3.8	-5.56E-11	0.996008	0.0999999	2.13289E-07	0.996008
-3.9	-5.57E-11	1.020516	0.0999998	1.30408E-07	1.020516
-4	-5.08E-11	1.058174	0.0999972	7.47777E-08	1.058174
-4.1	-5.06E-11	1.097985	0.0999974	3.9162E-08	1.097985
-4.2	-6.85E-11	1.121274	0.1000038	1.83945E-08	1.121274
-4.3	-7.1E-11	1.144501	0.1000022	7.7655E-09	1.144501
-4.4	-7.17E-11	1.167719	0.1000011	2.927E-09	1.167719
-4.5	-7.21E-11	1.190982	0.1000007	9.628E-10	1.190982
-4.6	-7.1E-11	1.214258	0.1000005	2.621E-10	1.214258
-4.7	-7.08E-11	1.237546	0.1000003	5.51E-11	1.237546
-4.8	-7.31E-11	1.26077	0.1000002	6.7E-12	1.26077
-4.9	-7.34E-11	1.284039	0.1000004	-2.4E-12	1.284039
-5	-7.17E-11	1.307321	0.1000002	-4.2E-12	1.307321
-5.1	-7.33E-11	1.330555	0.1000003	-3.6E-12	1.330555
-5.2	-7.41E-11	1.353886	0.1000002	-3.5E-12	1.353886
-5.3	-7.38E-11	1.377223	0.1000001	-3.8E-12	1.377223
-5.4	-7.44E-11	1.400461	0.1000002	-3.8E-12	1.400461
-5.5	-7.36E-11	1.423743	0.1000003	-4E-12	1.423743
-5.6	-7.57E-11	1.446962	0.1000004	-3.5E-12	1.446962
-5.7	-7.62E-11	1.470175	0.1000003	-4.1E-12	1.470175
-5.8	-7.44E-11	1.49346	0.1000003	-4E-12	1.49346
-5.9	-7.65E-11	1.516655	0.1000002	-3.9E-12	1.516655
