#scan	iMeasureCycle=1	iMux=0	time=0.031	N=401	LocalTime=19/04/2023 12:25:36
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-3E-07	-1.628E-10	0.033929	0.0999863	2.64133E-08	0.033929
-0.1000009	-2.367E-10	0.057477	0.1000024	7.5289E-09	0.057477
-0.2000012	-2.826E-10	0.080802	0.1000008	1.8088E-09	0.080802
-0.300001	-2.502E-10	0.104218	0.1000004	3.502E-10	0.104218
-0.400001	-1.36E-10	0.127586	0.1000003	4.65E-11	0.127586
-0.500001	-1.068E-10	0.150802	0.0999999	-5.2E-12	0.150802
-0.600001	-9.22E-11	0.174026	0.1000001	-1.02E-11	0.174026
-0.700001	-8.39E-11	0.197235	0.1000001	-8.7E-12	0.197235
-0.800001	-7.57E-11	0.220573	0.1000001	-7.4E-12	0.220573
-0.900001	-7.29E-11	0.243889	0.1000002	-6E-12	0.243889
-1.000001	-7.28E-11	0.267101	0.1000001	-4.9E-12	0.267101
-1.100001	-7.12E-11	0.290301	0.0999999	-4E-12	0.290301
-1.200001	-7.02E-11	0.313499	0.1000002	-4E-12	0.313499
-1.300001	-6.72E-11	0.336789	0.1000003	-3.8E-12	0.336789
-1.400001	-6.83E-11	0.360009	0.1000002	-3E-12	0.360009
-1.5	-6.81E-11	0.383214	0.1000001	-2.9E-12	0.383214
-1.600001	-6.81E-11	0.406503	0.1000002	-2.9E-12	0.406503
-1.700001	-6.62E-11	0.429808	0.0999999	-3E-12	0.429808
-1.800001	-6.76E-11	0.453026	0.1	-2.8E-12	0.453026
-1.900001	-6.79E-11	0.476233	0.1	-2.6E-12	0.476233
-2.000001	-6.63E-11	0.49952	0.1000005	-2.6E-12	0.49952
-2.100001	-6.66E-11	0.52283	0.1	-2.3E-12	0.52283
-2.2	-6.83E-11	0.546254	0.0999999	-2.2E-12	0.546254
-2.3	-4.65E-11	0.598221	0.1	-4E-12	0.598221
-2.4	-6.55E-11	0.62148	0.1000001	-2.6E-12	0.62148
-2.5	-6.53E-11	0.644788	0.1000002	-2.7E-12	0.644788
-2.6	-6.57E-11	0.668168	0.1	-2.3E-12	0.668168
-2.7	-6.8E-11	0.691452	0.1000001	-2.1E-12	0.691452
-2.8	-6.79E-11	0.71467	0.1000001	-2.2E-12	0.71467
-2.9	-6.74E-11	0.738036	0.1000003	-2.2E-12	0.738036
-3	-6.92E-11	0.761249	0.1000003	-1.7E-12	0.761249
-3.1	-6.94E-11	0.784474	0.1000002	-1.7E-12	0.784474
-3.2	-6.79E-11	0.807768	0.1000001	-2E-12	0.807768
-3.3	-6.86E-11	0.831067	0.1000001	-1.8E-12	0.831067
-3.4	-7.07E-11	0.854274	0.1000001	-1.7E-12	0.854274
-3.5	-7.11E-11	0.877486	0.1000001	-1.4E-12	0.877486
-3.6	-7.14E-11	0.900696	0.1000001	-1.9E-12	0.900696
-3.7	-6.98E-11	0.924	0.1000001	-1.8E-12	0.924
-3.8	-6.92E-11	0.947296	0.1000003	-1.9E-12	0.947296
-3.9	-7.24E-11	0.970499	0.1000001	-1.9E-12	0.970499
-4	-7.29E-11	0.993703	0.1000001	-1.7E-12	0.993703
-4.1	-7.14E-11	1.01699	0.1000003	-1.5E-12	1.01699
-4.2	-7.14E-11	1.040296	0.1000001	-1.5E-12	1.040296
-4.3	-5.22E-11	1.097439	0.0999999	-3.7E-12	1.097439
-4.4	-7.21E-11	1.120668	0.1000001	-1.7E-12	1.120668
-4.5	-7.29E-11	1.143896	0.1	-1.8E-12	1.143896
-4.6	-7.14E-11	1.167265	0.1	-1.9E-12	1.167265
-4.7	-7.39E-11	1.19053	0.1	-1.2E-12	1.19053
-4.8	-7.38E-11	1.213747	0.1000001	-1.5E-12	1.213747
-4.9	-7.36E-11	1.236997	0.1	-1.5E-12	1.236997
