#scan	iMeasureCycle=1	iMux=0	time=0.021	N=401	LocalTime=20/04/2023 05:07:42
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-1E-07	-1.516E-10	0.023944	0.1000001	1.96247E-05	0.023944
-0.1000005	-2.103E-10	0.048818	0.1000001	1.88022E-05	0.048818
-0.2000004	-2.584E-10	0.073415	0.1	1.79844E-05	0.073415
-0.300001	-1.911E-10	0.098146	0.0999998	1.71707E-05	0.098146
-0.4	-1.092E-10	0.122641	0.1	1.63611E-05	0.122641
-0.5	-8.43E-11	0.14718	0.1	1.55557E-05	0.14718
-0.6	-7.16E-11	0.171709	0.1	1.47548E-05	0.171709
-0.7	-6.43E-11	0.196226	0.1000001	1.39595E-05	0.196226
-0.8	-5.96E-11	0.220765	0.0999999	1.3169E-05	0.220765
-0.9	-5.68E-11	0.245299	0.0999999	1.23853E-05	0.245299
-1	-5.46E-11	0.269853	0.0999998	1.16079E-05	0.269853
-1.1	-5.35E-11	0.294442	0.1	1.08395E-05	0.294442
-1.2	-5.25E-11	0.318963	0.0999999	1.00793E-05	0.318963
-1.3	-5.22E-11	0.343471	0.0999999	9.3298E-06	0.343471
-1.4	-4.79E-11	0.370658	0.0999997	8.59732E-06	0.370658
-1.5	-5.09E-11	0.395201	0.1	7.87405E-06	0.395201
-1.6	-5.07E-11	0.419737	0.1	7.1672E-06	0.419737
-1.7	-5.07E-11	0.444285	0.0999997	6.4793E-06	0.444285
-1.8	-5.13E-11	0.46882	0.0999999	5.81225E-06	0.46882
-1.9	-5.11E-11	0.493343	0.1	5.16961E-06	0.493343
-2	-5.17E-11	0.517847	0.0999999	4.55468E-06	0.517847
-2.1	-5.15E-11	0.542449	0.0999999	3.96932E-06	0.542449
-2.2	-4.49E-11	0.590447	0.0999999	3.42094E-06	0.590447
-2.3	-4.98E-11	0.615021	0.1	2.90434E-06	0.615021
-2.4	-5.06E-11	0.639545	0.1	2.4298E-06	0.639545
-2.5	-5.09E-11	0.664072	0.0999998	1.99771E-06	0.664072
-2.6	-5.19E-11	0.68866	0.1	1.60949E-06	0.68866
-2.7	-5.22E-11	0.713174	0.0999999	1.26683E-06	0.713174
-2.8	-5.23E-11	0.737691	0.1	9.6951E-07	0.737691
-2.9	-4.89E-11	0.765064	0.0999997	7.19031E-07	0.765064
-3	-5.24E-11	0.789647	0.0999996	5.11384E-07	0.789647
-3.1	-5.31E-11	0.814177	0.0999998	3.46718E-07	0.814177
-3.2	-5.4E-11	0.838679	0.0999999	2.21852E-07	0.838679
-3.3	-5.39E-11	0.863161	0.0999998	1.32333E-07	0.863161
-3.4	-4.86E-11	0.900843	0.0999957	7.35017E-08	0.900843
-3.5	-6.84E-11	0.924064	0.1000085	3.64907E-08	0.924064
-3.6	-6.61E-11	0.947518	0.100003	1.63412E-08	0.947518
-3.7	-6.98E-11	0.970727	0.100002	6.5535E-09	0.970727
-3.8	-6.87E-11	0.994013	0.1000007	2.3334E-09	0.994013
-3.9	-6.91E-11	1.017291	0.1000004	7.277E-10	1.017291
-4	-7.09E-11	1.040596	0.1000005	1.935E-10	1.040596
-4.1	-4.96E-11	1.090498	0.1000001	4.03E-11	1.090498
-4.2	-6.98E-11	1.113732	0.1000004	3.6E-12	1.113732
-4.3	-7.09E-11	1.136952	0.1000002	-3.6E-12	1.136952
-4.4	-7.14E-11	1.16016	0.1000003	-4.5E-12	1.16016
-4.5	-7.17E-11	1.183422	0.1000002	-4.2E-12	1.183422
-4.6	-6.9E-11	1.206778	0.1000002	-4.6E-12	1.206778
-4.7	-7.26E-11	1.22999	0.1000001	-4.3E-12	1.22999
-4.8	-7.09E-11	1.253286	0.1	-4.4E-12	1.253286
-4.9	-7.17E-11	1.27657	0.1000003	-4.1E-12	1.27657
-5	-7.28E-11	1.299842	0.1000002	-4.1E-12	1.299842
-5.1	-7.39E-11	1.323056	0.1000003	-4E-12	1.323056
-5.2	-7.23E-11	1.346349	0.1000002	-4.3E-12	1.346349
-5.3	-7.42E-11	1.369571	0.1000003	-3.9E-12	1.369571
-5.4	-7.42E-11	1.392802	0.1000005	-4.3E-12	1.392802
-5.5	-7.47E-11	1.416018	0.1000003	-3.9E-12	1.416018
-5.6	-7.47E-11	1.439236	0.1	-4.2E-12	1.439236
-5.7	-7.35E-11	1.462521	0.1000002	-4.1E-12	1.462521
-5.8	-7.26E-11	1.48587	0.1000002	-4.3E-12	1.48587
-5.9	-7.62E-11	1.509084	0.1000002	-3.9E-12	1.509084
-6	-7.45E-11	1.532456	0.1000003	-3.7E-12	1.532456
-6.1	-5.46E-11	1.589272	0.1000001	-5.8E-12	1.589272
-6.2	-7.42E-11	1.612517	0.1000002	-4E-12	1.612517
-6.3	-7.37E-11	1.635842	0.1000004	-4.3E-12	1.635842
-6.4	-7.58E-11	1.659076	0.1000003	-4E-12	1.659076
-6.5	-7.66E-11	1.682338	0.1000003	-4.1E-12	1.682338
-6.6	-7.7E-11	1.705556	0.1000002	-4.2E-12	1.705556
-6.7	-7.52E-11	1.728844	0.1000001	-4.5E-12	1.728844
-6.8	-7.59E-11	1.752133	0.1000002	-3.8E-12	1.752133
-6.9	-7.65E-11	1.775375	0.1000004	-4.1E-12	1.775375
-7	-7.55E-11	1.798679	0.1000004	-3.9E-12	1.798679
-7.1	-7.58E-11	1.82197	0.1000002	-4E-12	1.82197
-7.2	-7.75E-11	1.845177	0.1000002	-3.7E-12	1.845177
-7.3	-7.81E-11	1.868379	0.1000001	-3.4E-12	1.868379
-7.4	-7.8E-11	1.8916	0.1000003	-3.6E-12	1.8916
-7.5	-7.67E-11	1.914887	0.1	-3.8E-12	1.914887
-7.6	-7.88E-11	1.938186	0.1000002	-3.3E-12	1.938186
-7.7	-7.94E-11	1.961452	0.1000002	-3.8E-12	1.961452
-7.8	-7.65E-11	1.984795	0.1000001	-4.3E-12	1.984795
-7.9	-7.73E-11	2.008095	0.1000002	-4E-12	2.008095
-8	-7.96E-11	2.031401	0.1000003	-4E-12	2.031401
-8.1	-5.91E-11	2.086408	0.1000001	-5.1E-12	2.086408
-8.2	-7.76E-11	2.109709	0.1000003	-3.5E-12	2.109709
-8.3	-7.68E-11	2.133011	0.1000002	-3.9E-12	2.133011
-8.4	-7.68E-11	2.15629	0.1000001	-4.2E-12	2.15629
-8.5	-7.8E-11	2.17961	0.1000004	-4.3E-12	2.17961
-8.6	-7.84E-11	2.202867	0.1000001	-4.2E-12	2.202867
-8.7	-7.97E-11	2.226092	0.1000002	-3.8E-12	2.226092
-8.8	-7.85E-11	2.249404	0.1000003	-4E-12	2.249404
-8.9	-8.06E-11	2.272618	0.1000002	-3.8E-12	2.272618
-9	-8.03E-11	2.295892	0.1000002	-3.9E-12	2.295892
-9.1	-7.92E-11	2.319186	0.1000003	-3.9E-12	2.319186
-9.2	-7.89E-11	2.342485	0.1000003	-4E-12	2.342485
