#scan	iMeasureCycle=1	iMux=0	time=0.032	N=401	LocalTime=20/04/2023 11:01:44
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-1E-07	-1.521E-10	0.03492	0.0999999	2.6974E-05	0.03492
-0.1000005	-2.11E-10	0.059797	0.0999999	2.61144E-05	0.059797
-0.2000003	-2.6E-10	0.08431	0.1000002	2.52614E-05	0.08431
-0.300001	-2.004E-10	0.109035	0.1	2.44119E-05	0.109035
-0.4	-1.125E-10	0.133558	0.1	2.35661E-05	0.133558
-0.5	-8.65E-11	0.158059	0.1	2.27228E-05	0.158059
-0.6	-7.35E-11	0.182666	0.0999999	2.18818E-05	0.182666
-0.7	-6.54E-11	0.207214	0.0999999	2.10445E-05	0.207214
-0.8	-6.11E-11	0.231756	0.1	2.02097E-05	0.231756
-0.9	-5.82E-11	0.256275	0.0999999	1.9378E-05	0.256275
-1	-5.62E-11	0.280779	0.1	1.85499E-05	0.280779
-1.1	-5.42E-11	0.305391	0.0999998	1.77266E-05	0.305391
-1.2	-5.35E-11	0.329945	0.0999999	1.69074E-05	0.329945
-1.3	-5.31E-11	0.354536	0.1	1.60927E-05	0.354536
-1.4	-5.27E-11	0.379054	0.0999998	1.52833E-05	0.379054
-1.5	-5.22E-11	0.40358	0.1	1.44802E-05	0.40358
-1.6	-5.22E-11	0.428104	0.1	1.36834E-05	0.428104
-1.7	-5.18E-11	0.452612	0.1000001	1.28929E-05	0.452612
-1.8	-5.22E-11	0.477122	0.1000003	1.21119E-05	0.477122
-1.9	-5.21E-11	0.501627	0.0999999	1.13402E-05	0.501627
-2	-5.24E-11	0.526138	0.1	1.05797E-05	0.526138
-2.1	-5.29E-11	0.550666	0.0999999	9.8313E-06	0.550666
-2.2	-4.66E-11	0.596902	0.0999999	9.0969E-06	0.596902
-2.3	-4.73E-11	0.624024	0.1	8.38091E-06	0.624024
-2.4	-5.14E-11	0.648535	0.0999999	7.67897E-06	0.648535
-2.5	-5.24E-11	0.67315	0.0999998	6.99737E-06	0.67315
-2.6	-5.3E-11	0.697733	0.1	6.33738E-06	0.697733
-2.7	-5.31E-11	0.722277	0.1000001	5.70205E-06	0.722277
-2.8	-5.32E-11	0.746837	0.1	5.09373E-06	0.746837
-2.9	-5.37E-11	0.771338	0.1000001	4.51457E-06	0.771338
-3	-5.46E-11	0.795869	0.0999998	3.96664E-06	0.795869
-3.1	-5.43E-11	0.820413	0.0999999	3.45112E-06	0.820413
-3.2	-5.46E-11	0.844948	0.0999997	2.97099E-06	0.844948
-3.3	-5.49E-11	0.869484	0.0999999	2.52688E-06	0.869484
-3.4	-5.5E-11	0.894023	0.0999999	2.12031E-06	0.894023
-3.5	-5.56E-11	0.918571	0.1	1.75081E-06	0.918571
-3.6	-5.6E-11	0.943087	0.0999999	1.41928E-06	0.943087
-3.7	-5.57E-11	0.967594	0.1	1.12636E-06	0.967594
-3.8	-5.27E-11	0.99492	0.0999998	8.72094E-07	0.99492
-3.9	-5.58E-11	1.019664	0.0999998	6.54562E-07	1.019664
-4	-5.7E-11	1.044173	0.0999996	4.74345E-07	1.044173
-4.1	-5.07E-11	1.099815	0.1	3.31831E-07	1.099815
-4.2	-5.56E-11	1.124348	0.0999997	2.18492E-07	1.124348
-4.3	-5.65E-11	1.148887	0.0999998	1.35643E-07	1.148887
-4.4	-5.21E-11	1.18667	0.0999964	7.92117E-08	1.18667
-4.5	-6.99E-11	1.209978	0.1000078	4.19409E-08	1.209978
-4.6	-7.26E-11	1.233225	0.1000043	2.02875E-08	1.233225
-4.7	-7.32E-11	1.25644	0.1000021	8.8831E-09	1.25644
-4.8	-7.38E-11	1.279648	0.1000014	3.525E-09	1.279648
-4.9	-7.28E-11	1.302929	0.1000006	1.2566E-09	1.302929
-5	-7.48E-11	1.326138	0.1000005	3.996E-10	1.326138
-5.1	-7.47E-11	1.349355	0.1000004	1.074E-10	1.349355
-5.2	-7.44E-11	1.372623	0.1000003	2.06E-11	1.372623
