#scan	iMeasureCycle=1	iMux=0	time=0.031	N=401	LocalTime=20/04/2023 04:31:42
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-3E-07	-1.513E-10	0.033904	0.1000001	1.8854E-05	0.033904
-0.1000004	-2.098E-10	0.058788	0.0999999	1.80354E-05	0.058788
-0.2000005	-2.592E-10	0.08332	0.0999999	1.72218E-05	0.08332
-0.300001	-1.992E-10	0.10804	0.1	1.6413E-05	0.10804
-0.4	-1.105E-10	0.132548	0.1000001	1.56077E-05	0.132548
-0.5	-8.45E-11	0.157073	0.0999999	1.48074E-05	0.157073
-0.6	-7.2E-11	0.181601	0.1	1.40117E-05	0.181601
-0.7	-6.41E-11	0.206213	0.1000001	1.32212E-05	0.206213
-0.8	-5.94E-11	0.230712	0.0999999	1.24365E-05	0.230712
-0.9	-5.67E-11	0.255228	0.1	1.16596E-05	0.255228
-1	-5.46E-11	0.279745	0.1	1.08901E-05	0.279745
-1.1	-5.34E-11	0.304362	0.0999999	1.01297E-05	0.304362
-1.2	-5.23E-11	0.328889	0.0999998	9.3795E-06	0.328889
-1.3	-4.74E-11	0.35608	0.0999998	8.64497E-06	0.35608
-1.4	-5.07E-11	0.380636	0.0999999	7.91955E-06	0.380636
-1.5	-5.05E-11	0.40518	0.0999998	7.21071E-06	0.40518
-1.6	-5.08E-11	0.429685	0.1	6.51936E-06	0.429685
-1.7	-5.04E-11	0.454218	0.1	5.84962E-06	0.454218
-1.8	-5.12E-11	0.478737	0.0999999	5.20267E-06	0.478737
-1.9	-5.07E-11	0.50324	0.1	4.5835E-06	0.50324
-2	-5.1E-11	0.527756	0.1	3.99422E-06	0.527756
-2.1	-5.07E-11	0.552267	0.1000003	3.43793E-06	0.552267
-2.2	-4.46E-11	0.600101	0.0999998	2.92079E-06	0.600101
-2.3	-4.91E-11	0.624621	0.0999997	2.43933E-06	0.624621
-2.4	-5.01E-11	0.649237	0.0999999	2.0019E-06	0.649237
-2.5	-5.04E-11	0.673783	0.0999998	1.60952E-06	0.673783
-2.6	-5.1E-11	0.698369	0.0999998	1.26253E-06	0.698369
-2.7	-5.16E-11	0.722876	0.0999999	9.6294E-07	0.722876
-2.8	-4.81E-11	0.750187	0.0999994	7.11039E-07	0.750187
-2.9	-5.24E-11	0.774698	0.0999996	5.02702E-07	0.774698
-3	-5.3E-11	0.799213	0.0999996	3.38452E-07	0.799213
-3.1	-5.29E-11	0.823716	0.0999999	2.14802E-07	0.823716
-3.2	-5.34E-11	0.848309	0.0999997	1.2699E-07	0.848309
-3.3	-4.82E-11	0.885989	0.0999958	6.99127E-08	0.885989
-3.4	-6.85E-11	0.909192	0.1000073	3.43123E-08	0.909192
-3.5	-6.92E-11	0.9324	0.1000037	1.52764E-08	0.9324
-3.6	-6.93E-11	0.95562	0.1000018	6.1003E-09	0.95562
-3.7	-6.99E-11	0.978911	0.1000009	2.1713E-09	0.978911
-3.8	-6.83E-11	1.002208	0.1000002	6.8E-10	1.002208
-3.9	-7.04E-11	1.025405	0.1000004	1.842E-10	1.025405
-4	-7.09E-11	1.048625	0.1000003	4.01E-11	1.048625
-4.1	-5.04E-11	1.095627	0.1	3.1E-12	1.095627
-4.2	-6.95E-11	1.118858	0.1000002	-3.3E-12	1.118858
-4.3	-7.09E-11	1.142082	0.1000002	-4.5E-12	1.142082
-4.4	-6.96E-11	1.165649	0.1000002	-5.1E-12	1.165649
-4.5	-7.14E-11	1.188917	0.1000002	-4.8E-12	1.188917
-4.6	-7.21E-11	1.212134	0.1000004	-4.7E-12	1.212134
-4.7	-7.1E-11	1.235411	0.1000003	-4.9E-12	1.235411
-4.8	-7.08E-11	1.258701	0.1000002	-4.4E-12	1.258701
-4.9	-7.29E-11	1.281926	0.1	-4.6E-12	1.281926
-5	-7.34E-11	1.305227	0.1000002	-4.4E-12	1.305227
-5.1	-7.13E-11	1.328581	0.1000002	-4.9E-12	1.328581
-5.2	-7.36E-11	1.351888	0.1000003	-4.1E-12	1.351888
-5.3	-7.41E-11	1.37511	0.1000004	-4.3E-12	1.37511
-5.4	-7.28E-11	1.398411	0.1000002	-4E-12	1.398411
-5.5	-7.28E-11	1.421699	0.1000003	-4.5E-12	1.421699
-5.6	-7.44E-11	1.444919	0.1000002	-4.3E-12	1.444919
-5.7	-7.47E-11	1.468133	0.1000002	-4.6E-12	1.468133
-5.8	-7.28E-11	1.491426	0.1000002	-4.9E-12	1.491426
-5.9	-7.34E-11	1.514707	0.1000002	-4.8E-12	1.514707
-6	-7.4E-11	1.537985	0.1000003	-4.6E-12	1.537985
-6.1	-5.45E-11	1.584393	0.0999999	-6.2E-12	1.584393
-6.2	-7.25E-11	1.607762	0.1000002	-4.5E-12	1.607762
-6.3	-7.48E-11	1.630984	0.1000002	-4.3E-12	1.630984
-6.4	-7.54E-11	1.654293	0.1000002	-4.6E-12	1.654293
-6.5	-7.45E-11	1.677698	0.1000003	-4.3E-12	1.677698
-6.6	-7.44E-11	1.701039	0.1	-4.7E-12	1.701039
-6.7	-7.68E-11	1.724244	0.1	-4.7E-12	1.724244
-6.8	-7.47E-11	1.747541	0.1000002	-4.9E-12	1.747541
-6.9	-7.52E-11	1.770826	0.1000004	-4.6E-12	1.770826
-7	-7.67E-11	1.794069	0.1000001	-4.3E-12	1.794069
-7.1	-7.76E-11	1.81729	0.1000002	-4E-12	1.81729
-7.2	-7.72E-11	1.84053	0.1000002	-4.5E-12	1.84053
-7.3	-7.62E-11	1.863832	0.1000002	-4.3E-12	1.863832
-7.4	-7.78E-11	1.887049	0.1000002	-4.3E-12	1.887049
-7.5	-7.8E-11	1.910273	0.1000003	-4.2E-12	1.910273
-7.6	-7.88E-11	1.933486	0.1000002	-3.9E-12	1.933486
-7.7	-7.73E-11	1.956768	0.1000003	-4.3E-12	1.956768
-7.8	-7.94E-11	1.980063	0.1000003	-4.3E-12	1.980063
-7.9	-7.88E-11	2.003301	0.1000002	-4.4E-12	2.003301
-8	-7.94E-11	2.026518	0.1000003	-4E-12	2.026518
-8.1	-7.74E-11	2.049814	0.1000002	-4.3E-12	2.049814
-8.2	-5.89E-11	2.10068	0.1000001	-5.8E-12	2.10068
-8.3	-7.66E-11	2.123988	0.1000003	-4E-12	2.123988
-8.4	-7.7E-11	2.147289	0.1000002	-4.1E-12	2.147289
-8.5	-7.87E-11	2.170533	0.1000001	-3.8E-12	2.170533
-8.6	-7.99E-11	2.193802	0.1000003	-3.7E-12	2.193802
-8.7	-7.77E-11	2.217168	0.1000001	-4.4E-12	2.217168
-8.8	-8.02E-11	2.240375	0.1000002	-3.8E-12	2.240375
-8.9	-8.05E-11	2.26359	0.1000001	-3.7E-12	2.26359
-9	-8.03E-11	2.286806	0.1000001	-3.3E-12	2.286806
-9.1	-7.88E-11	2.310182	0.1000002	-4E-12	2.310182
-9.2	-8.07E-11	2.333416	0.1000001	-3.7E-12	2.333416
-9.3	-8.02E-11	2.356718	0.1000004	-3.8E-12	2.356718
-9.4	-7.86E-11	2.380008	0.1000002	-3.9E-12	2.380008
-9.5	-8.07E-11	2.40325	0.1000003	-3.8E-12	2.40325
-9.6	-8.15E-11	2.426463	0.1000002	-3.9E-12	2.426463
-9.7	-8.08E-11	2.449679	0.1000002	-4E-12	2.449679
-9.8	-7.9E-11	2.472973	0.1000003	-3.8E-12	2.472973
-9.9	-8.02E-11	2.496255	0.1000004	-3.7E-12	2.496255
-10	-8.14E-11	2.519475	0.1000002	-3.4E-12	2.519475
-9.90001	-3.92E-11	2.542692	0.0999998	-6.9E-12	2.542692
-9.80001	-5.4E-11	2.602084	0.1000001	-5.7E-12	2.602084
-9.70001	-3.47E-11	2.625397	0.0999999	-7E-12	2.625397
-9.60001	-3.1E-11	2.648711	0.0999998	-7.4E-12	2.648711
-9.50001	-2.98E-11	2.671955	0.0999999	-7.6E-12	2.671955
-9.40001	-2.88E-11	2.69522	0.0999999	-7.1E-12	2.69522
-9.30001	-2.96E-11	2.718519	0.0999998	-7.2E-12	2.718519
-9.20001	-2.68E-11	2.741726	0.0999999	-7.2E-12	2.741726
-9.10001	-2.6E-11	2.764932	0.0999997	-7.5E-12	2.764932
-9.00001	-2.53E-11	2.788145	0.0999998	-7.6E-12	2.788145
-8.90001	-2.58E-11	2.811437	0.0999996	-7.4E-12	2.811437
-8.80001	-2.55E-11	2.834725	0.0999999	-7.6E-12	2.834725
-8.70001	-2.33E-11	2.858037	0.0999998	-7.6E-12	2.858037
-8.60001	-2.41E-11	2.881401	0.0999998	-7.6E-12	2.881401
-8.50001	-2.42E-11	2.904783	0.0999997	-7.8E-12	2.904783
-8.40001	-2.18E-11	2.927983	0.0999999	-7.7E-12	2.927983
-8.30001	-2.15E-11	2.951202	0.0999998	-7.6E-12	2.951202
-8.20001	-2.1E-11	2.974429	0.0999998	-7.3E-12	2.974429
-8.10001	-2.19E-11	2.997735	0.0999999	-7.6E-12	2.997735
-8.00001	-1.98E-11	3.020955	0.0999998	-7.7E-12	3.020955
-7.90001	-1.9E-11	3.044166	0.0999997	-7.3E-12	3.044166
-7.80001	-3.96E-11	3.103258	0.0999999	-6.2E-12	3.103258
-7.70001	-1.93E-11	3.126488	0.0999998	-8E-12	3.126488
-7.6	-2.02E-11	3.14978	0.0999999	-7.4E-12	3.14978
-7.50001	-1.98E-11	3.173094	0.0999999	-7.8E-12	3.173094
-7.40001	-1.75E-11	3.196355	0.0999998	-7.8E-12	3.196355
-7.30001	-1.71E-11	3.219584	0.0999998	-8.2E-12	3.219584
-7.2	-1.84E-11	3.242873	0.0999999	-7.9E-12	3.242873
-7.10001	-1.76E-11	3.266159	0.0999999	-7.8E-12	3.266159
-7.00001	-1.61E-11	3.289362	0.0999999	-7.9E-12	3.289362
-6.90001	-1.53E-11	3.312663	0.0999998	-8.6E-12	3.312663
-6.80001	-1.65E-11	3.335966	0.0999998	-8.5E-12	3.335966
-6.70001	-1.44E-11	3.359289	0.0999997	-8.5E-12	3.359289
-6.60001	-1.43E-11	3.38251	0.0999998	-8.1E-12	3.38251
-6.50001	-1.5E-11	3.405807	0.0999998	-8.3E-12	3.405807
-6.40001	-1.51E-11	3.429102	0.0999999	-8.4E-12	3.429102
-6.30001	-1.29E-11	3.452304	0.0999998	-8.4E-12	3.452304
-6.20001	-1.3E-11	3.475594	0.0999998	-8.4E-12	3.475594
-6.10001	-1.37E-11	3.498888	0.0999999	-7.5E-12	3.498888
-6.00001	-1.38E-11	3.522187	0.0999999	-7.9E-12	3.522187
-5.90001	-1.16E-11	3.545389	0.0999998	-7.9E-12	3.545389
-5.80001	-3.25E-11	3.604693	0.1	-6.7E-12	3.604693
-5.70001	-1.25E-11	3.627927	0.0999998	-8.3E-12	3.627927
