#scan	iMeasureCycle=1	iMux=0	time=0.031	N=401	LocalTime=20/04/2023 03:13:41
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-1E-07	-1.526E-10	0.03398	0.1	1.71716E-05	0.03398
-0.1000003	-2.116E-10	0.058946	0.0999999	1.63625E-05	0.058946
-0.2000002	-2.6E-10	0.083462	0.1	1.55594E-05	0.083462
-0.300001	-1.918E-10	0.108182	0.1	1.47611E-05	0.108182
-0.4	-1.093E-10	0.132694	0.1	1.3967E-05	0.132694
-0.5	-8.49E-11	0.157209	0.1	1.31779E-05	0.157209
-0.6	-7.28E-11	0.181721	0.0999999	1.23949E-05	0.181721
-0.7	-6.54E-11	0.206263	0.1	1.16189E-05	0.206263
-0.8	-6.02E-11	0.230772	0.0999998	1.08509E-05	0.230772
-0.9	-5.75E-11	0.255297	0.1	1.00899E-05	0.255297
-1	-5.53E-11	0.279843	0.1000001	9.34E-06	0.279843
-1.1	-5.02E-11	0.306971	0.1	8.60482E-06	0.306971
-1.2	-5.3E-11	0.331475	0.0999999	7.87771E-06	0.331475
-1.3	-5.26E-11	0.355991	0.1000003	7.16682E-06	0.355991
-1.4	-5.22E-11	0.38051	0.0999999	6.4731E-06	0.38051
-1.5	-5.24E-11	0.405121	0.0999999	5.79968E-06	0.405121
-1.6	-5.19E-11	0.429628	0.0999999	5.14993E-06	0.429628
-1.7	-5.16E-11	0.454166	0.0999999	4.52629E-06	0.454166
-1.8	-5.21E-11	0.478882	0.0999998	3.93295E-06	0.478882
-1.9	-5.18E-11	0.503408	0.1000001	3.37327E-06	0.503408
-2	-5.23E-11	0.527964	0.0999998	2.85113E-06	0.527964
-2.1	-5.22E-11	0.552483	0.0999998	2.36984E-06	0.552483
-2.2	-4.56E-11	0.600198	0.1	1.93476E-06	0.600198
-2.3	-5.05E-11	0.624715	0.0999999	1.54081E-06	0.624715
-2.4	-5.15E-11	0.649254	0.1	1.19671E-06	0.649254
-2.5	-5.22E-11	0.673781	0.1000001	9.0099E-07	0.673781
-2.6	-4.89E-11	0.70115	0.0999996	6.5516E-07	0.70115
-2.7	-5.28E-11	0.725797	0.0999996	4.54617E-07	0.725797
-2.8	-5.29E-11	0.750331	0.0999995	2.99162E-07	0.750331
-2.9	-5.34E-11	0.774844	0.0999998	1.84553E-07	0.774844
-3	-5.37E-11	0.799398	0.0999997	1.05164E-07	0.799398
-3.1	-4.85E-11	0.83714	0.099996	5.54072E-08	0.83714
-3.2	-6.7E-11	0.860415	0.1000048	2.56015E-08	0.860415
-3.3	-6.93E-11	0.883723	0.1000028	1.04265E-08	0.883723
-3.4	-7.07E-11	0.906936	0.1000013	3.7086E-09	0.906936
-3.5	-6.88E-11	0.930223	0.1000004	1.1459E-09	0.930223
-3.6	-6.91E-11	0.953502	0.1000002	3.179E-10	0.953502
-3.7	-7.15E-11	0.976801	0.1000002	8.08E-11	0.976801
-3.8	-7.19E-11	1.000009	0.1	1.44E-11	1.000009
-3.9	-7E-11	1.023295	0.1	-2.2E-12	1.023295
-4	-7.03E-11	1.04658	0.1000001	-5E-12	1.04658
-4.1	-5.08E-11	1.100242	0.0999999	-7.8E-12	1.100242
-4.2	-6.91E-11	1.123547	0.1000002	-6.1E-12	1.123547
-4.3	-7.18E-11	1.146763	0.1	-5.8E-12	1.146763
-4.4	-7.28E-11	1.169986	0.1000002	-6E-12	1.169986
-4.5	-7.28E-11	1.19324	0.1000002	-6.2E-12	1.19324
-4.6	-7.14E-11	1.216553	0.1000001	-5.9E-12	1.216553
-4.7	-7.2E-11	1.239835	0.1	-6E-12	1.239835
-4.8	-7.19E-11	1.263123	0.1000001	-5.4E-12	1.263123
-4.9	-7.23E-11	1.286477	0.1	-5.7E-12	1.286477
-5	-7.28E-11	1.30976	0.1	-5.8E-12	1.30976
-5.1	-7.45E-11	1.332969	0.1000003	-5.8E-12	1.332969
-5.2	-7.48E-11	1.356177	0.1000003	-5.3E-12	1.356177
-5.3	-7.34E-11	1.379473	0.1000002	-5.4E-12	1.379473
-5.4	-7.38E-11	1.402853	0.1	-6.1E-12	1.402853
-5.5	-7.56E-11	1.426068	0.1000002	-5.6E-12	1.426068
-5.6	-7.57E-11	1.449293	0.1	-5.6E-12	1.449293
-5.7	-7.5E-11	1.472654	0.1000002	-5.7E-12	1.472654
-5.8	-7.69E-11	1.495876	0.1000001	-5.4E-12	1.495876
-5.9	-7.72E-11	1.519102	0.1000001	-5.5E-12	1.519102
-6	-7.73E-11	1.542321	0.1000001	-5.4E-12	1.542321
-6.1	-5.65E-11	1.594399	0.0999998	-7E-12	1.594399
-6.2	-7.59E-11	1.617636	0.1000001	-5.8E-12	1.617636
-6.3	-7.51E-11	1.640941	0.1000001	-5.3E-12	1.640941
-6.4	-7.7E-11	1.664136	0.1000001	-5.7E-12	1.664136
-6.5	-7.73E-11	1.687395	0.1000002	-4.9E-12	1.687395
-6.6	-7.77E-11	1.710632	0.1000002	-5.3E-12	1.710632
-6.7	-7.6E-11	1.73398	0.0999999	-5.1E-12	1.73398
