#scan	iMeasureCycle=1	iMux=0	time=0.02	N=401	LocalTime=19/04/2023 15:31:37
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-2E-07	-1.626E-10	0.022978	0.1000001	2.3982E-06	0.022978
-0.1000004	-2.214E-10	0.047884	0.0999998	1.90059E-06	0.047884
-0.2000004	-2.704E-10	0.072393	0.0999998	1.45329E-06	0.072393
-0.300001	-1.992E-10	0.097107	0.0999997	1.062E-06	0.097107
-0.4	-1.058E-10	0.12443	0.0999997	7.3508E-07	0.12443
-0.5	-8.73E-11	0.148961	0.0999995	4.73023E-07	0.148961
-0.6	-7.56E-11	0.173473	0.0999994	2.78944E-07	0.173473
-0.7	-6.91E-11	0.198008	0.0999998	1.47539E-07	0.198008
-0.8	-5.54E-11	0.235739	0.0999932	6.98079E-08	0.235739
-0.900001	-7.35E-11	0.258945	0.1000063	2.7646E-08	0.258945
-1.000001	-7.15E-11	0.282229	0.1000021	9.409E-09	0.282229
-1.100001	-7E-11	0.305653	0.1000006	2.7543E-09	0.305653
-1.200001	-7.23E-11	0.328866	0.1000005	6.94E-10	0.328866
-1.300001	-7.19E-11	0.352071	0.1000002	1.384E-10	0.352071
-1.400001	-7.05E-11	0.375356	0.1000003	1.49E-11	0.375356
-1.500001	-7.02E-11	0.398641	0.1000001	-6.1E-12	0.398641
-1.600001	-7.18E-11	0.421843	0.1000002	-8.5E-12	0.421843
-1.700001	-7.13E-11	0.44508	0.1000002	-9.5E-12	0.44508
-1.800001	-6.99E-11	0.468393	0.1000001	-9.3E-12	0.468393
-1.900001	-7.21E-11	0.491595	0.1000001	-9.5E-12	0.491595
-2.000001	-7.25E-11	0.51481	0.1000002	-8.8E-12	0.51481
-2.100001	-7.28E-11	0.538071	0.1	-8.9E-12	0.538071
-2.2	-5.04E-11	0.591049	0.1	-1.08E-11	0.591049
-2.3	-7.05E-11	0.614276	0.1000002	-8.9E-12	0.614276
-2.4	-6.98E-11	0.637553	0.1000001	-9E-12	0.637553
-2.5	-7.02E-11	0.660855	0.1000001	-9E-12	0.660855
-2.6	-7.23E-11	0.684123	0.1	-8.6E-12	0.684123
-2.7	-7.28E-11	0.707339	0.1000001	-8.4E-12	0.707339
-2.8	-7.12E-11	0.730624	0.1000002	-8.4E-12	0.730624
-2.9	-7.14E-11	0.753907	0.1	-8.8E-12	0.753907
