#scan	iMeasureCycle=1	iMux=0	time=0.021	N=401	LocalTime=20/04/2023 01:55:41
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-3E-07	-1.534E-10	0.023982	0.0999998	1.54516E-05	0.023982
-0.1000005	-2.121E-10	0.048955	0.1	1.46545E-05	0.048955
-0.2000004	-2.614E-10	0.073475	0.1	1.3863E-05	0.073475
-0.300001	-1.919E-10	0.098182	0.1	1.30762E-05	0.098182
-0.4	-1.099E-10	0.122693	0.1000001	1.22956E-05	0.122693
-0.5	-8.54E-11	0.147204	0.1	1.15212E-05	0.147204
-0.6	-7.24E-11	0.171717	0.1	1.07536E-05	0.171717
-0.7	-6.57E-11	0.196218	0.1	9.995E-06	0.196218
-0.8	-6.09E-11	0.220732	0.1000001	9.2451E-06	0.220732
-0.9	-5.37E-11	0.247858	0.0999998	8.51101E-06	0.247858
-1	-5.56E-11	0.272404	0.0999997	7.78481E-06	0.272404
-1.1	-5.43E-11	0.296916	0.0999998	7.07329E-06	0.296916
-1.2	-5.38E-11	0.321441	0.1	6.37962E-06	0.321441
-1.3	-5.33E-11	0.345981	0.0999998	5.70493E-06	0.345981
-1.4	-5.25E-11	0.370526	0.0999998	5.05349E-06	0.370526
-1.5	-5.26E-11	0.395095	0.1	4.42902E-06	0.395095
-1.6	-5.21E-11	0.419661	0.0999998	3.834E-06	0.419661
-1.7	-5.19E-11	0.444172	0.0999998	3.273E-06	0.444172
-1.8	-5.22E-11	0.468705	0.1	2.75077E-06	0.468705
-1.9	-5.27E-11	0.493172	0.1	2.27004E-06	0.493172
-2	-5.26E-11	0.517715	0.0999999	1.83466E-06	0.517715
-2.1	-5.27E-11	0.542209	0.1000001	1.44736E-06	0.542209
-2.2	-4.65E-11	0.586055	0.1	1.11047E-06	0.586055
-2.3	-4.77E-11	0.61333	0.0999994	8.22614E-07	0.61333
-2.4	-5.19E-11	0.637852	0.0999994	5.84746E-07	0.637852
-2.5	-5.26E-11	0.662353	0.0999997	3.95798E-07	0.662353
-2.6	-5.28E-11	0.686932	0.0999995	2.52469E-07	0.686932
-2.7	-5.3E-11	0.711559	0.0999997	1.49755E-07	0.711559
-2.8	-4.81E-11	0.749228	0.0999942	8.22748E-08	0.749228
-2.9	-6.62E-11	0.772531	0.1000071	3.99524E-08	0.772531
-3	-6.7E-11	0.795824	0.1000029	1.71836E-08	0.795824
-3.1	-6.95E-11	0.819034	0.1000021	6.4575E-09	0.819034
-3.2	-7.02E-11	0.842325	0.1000007	2.0931E-09	0.842325
-3.3	-6.85E-11	0.865612	0.1000004	5.936E-10	0.865612
-3.4	-6.94E-11	0.888888	0.1000002	1.443E-10	0.888888
-3.5	-7.12E-11	0.912086	0.1000004	2.55E-11	0.912086
-3.6	-7.16E-11	0.935303	0.1000002	-1E-13	0.935303
-3.7	-7E-11	0.958594	0.1000003	-4.6E-12	0.958594
-3.8	-7.21E-11	0.981801	0.1000001	-5.3E-12	0.981801
-3.9	-7.21E-11	1.005105	0.1000002	-5.3E-12	1.005105
-4	-7.27E-11	1.028311	0.1000003	-5.4E-12	1.028311
-4.1	-5.07E-11	1.090277	0.0999998	-7.3E-12	1.090277
-4.2	-7.08E-11	1.113507	0.1000003	-5.6E-12	1.113507
-4.3	-7.05E-11	1.136811	0.1000002	-5.6E-12	1.136811
-4.4	-7.04E-11	1.160117	0.1000001	-5E-12	1.160117
-4.5	-7.27E-11	1.18338	0.1000002	-4.6E-12	1.18338
-4.6	-7.31E-11	1.206604	0.1000001	-4.8E-12	1.206604
-4.7	-7.19E-11	1.229893	0.1000002	-5.2E-12	1.229893
-4.8	-7.41E-11	1.253128	0.1	-5.1E-12	1.253128
-4.9	-7.41E-11	1.276361	0.1000003	-4.9E-12	1.276361
-5	-7.43E-11	1.299598	0.1000002	-4.7E-12	1.299598
-5.1	-7.37E-11	1.322879	0.1000002	-5.1E-12	1.322879
-5.2	-7.32E-11	1.346176	0.1000001	-4.8E-12	1.346176
-5.3	-7.58E-11	1.369391	0.1000002	-5E-12	1.369391
-5.4	-7.64E-11	1.392662	0.1000001	-4.7E-12	1.392662
