#scan	iMeasureCycle=1	iMux=0	time=0.03	N=401	LocalTime=20/04/2023 01:37:41
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-1E-07	-1.535E-10	0.032961	0.0999999	1.50518E-05	0.032961
-0.1000002	-2.123E-10	0.057931	0.1	1.42578E-05	0.057931
-0.2000004	-2.613E-10	0.082442	0.1	1.34695E-05	0.082442
-0.300001	-1.918E-10	0.107251	0.1	1.26861E-05	0.107251
-0.4	-1.098E-10	0.131754	0.1000001	1.19088E-05	0.131754
-0.5	-8.51E-11	0.156284	0.0999998	1.1138E-05	0.156284
-0.6	-7.24E-11	0.180815	0.1000001	1.03746E-05	0.180815
-0.7	-6.54E-11	0.205357	0.1000001	9.6199E-06	0.205357
-0.8	-5.64E-11	0.232434	0.1	8.8809E-06	0.232434
-0.9	-5.72E-11	0.256956	0.0999998	8.14724E-06	0.256956
-1	-5.53E-11	0.281498	0.1000001	7.42756E-06	0.281498
-1.1	-5.43E-11	0.306029	0.0999999	6.72422E-06	0.306029
-1.2	-5.35E-11	0.330537	0.0999999	6.03918E-06	0.330537
-1.3	-5.36E-11	0.355045	0.0999999	5.37545E-06	0.355045
-1.4	-5.28E-11	0.379556	0.0999998	4.73523E-06	0.379556
-1.5	-5.26E-11	0.404153	0.0999997	4.12366E-06	0.404153
-1.6	-5.25E-11	0.428727	0.0999997	3.54399E-06	0.428727
-1.7	-5.21E-11	0.453252	0.0999997	3.00074E-06	0.453252
-1.8	-5.23E-11	0.477749	0.0999998	2.49729E-06	0.477749
-1.9	-5.23E-11	0.502334	0.1000002	2.03772E-06	0.502334
-2	-5.28E-11	0.526797	0.1	1.6251E-06	0.526797
-2.1	-5.31E-11	0.551322	0.1	1.26181E-06	0.551322
-2.2	-4.67E-11	0.598972	0.0999999	9.5119E-07	0.598972
-2.3	-4.81E-11	0.626335	0.0999996	6.88617E-07	0.626335
-2.4	-5.18E-11	0.650903	0.0999995	4.76035E-07	0.650903
-2.5	-5.26E-11	0.675411	0.0999998	3.11246E-07	0.675411
-2.6	-5.32E-11	0.700019	0.0999997	1.9034E-07	0.700019
-2.7	-5.35E-11	0.724656	0.0999998	1.06954E-07	0.724656
-2.8	-4.81E-11	0.762324	0.0999962	5.51535E-08	0.762324
-2.9	-6.63E-11	0.785615	0.1000048	2.46195E-08	0.785615
-3	-6.84E-11	0.808857	0.1000026	9.631E-09	0.808857
-3.1	-6.96E-11	0.832083	0.1000013	3.2723E-09	0.832083
-3.2	-6.87E-11	0.855363	0.1000004	9.705E-10	0.855363
-3.3	-6.87E-11	0.878653	0.1000003	2.558E-10	0.878653
-3.4	-7.13E-11	0.901954	0.1000002	5.55E-11	0.901954
-3.5	-7.15E-11	0.925164	0.1000002	6.3E-12	0.925164
-3.6	-6.96E-11	0.948457	0.1000003	-4E-12	0.948457
-3.7	-7.21E-11	0.971667	0.1000003	-5.3E-12	0.971667
-3.8	-7.23E-11	0.994969	0.1000001	-5.4E-12	0.994969
-3.9	-7.24E-11	1.018191	0.1000004	-5.8E-12	1.018191
-4	-7.11E-11	1.04149	0.1000002	-5.8E-12	1.04149
-4.1	-5.13E-11	1.099482	0.1	-7.5E-12	1.099482
-4.2	-6.94E-11	1.122798	0.1000004	-5.4E-12	1.122798
-4.3	-7.18E-11	1.146033	0.1000003	-5.3E-12	1.146033
-4.4	-7.28E-11	1.169244	0.1000004	-5.4E-12	1.169244
-4.5	-7.12E-11	1.192594	0.1000003	-5.7E-12	1.192594
-4.6	-7.23E-11	1.215872	0.1000003	-6E-12	1.215872
-4.7	-7.38E-11	1.239091	0.1000002	-5.5E-12	1.239091
-4.8	-7.45E-11	1.262303	0.1000003	-5.4E-12	1.262303
-4.9	-7.45E-11	1.285515	0.1000003	-5.1E-12	1.285515
-5	-7.34E-11	1.308835	0.1000002	-5.3E-12	1.308835
-5.1	-7.54E-11	1.332035	0.1000003	-5.2E-12	1.332035
-5.2	-7.62E-11	1.355254	0.1000004	-5.3E-12	1.355254
-5.3	-7.44E-11	1.37854	0.1000003	-5.2E-12	1.37854
-5.4	-7.43E-11	1.401919	0.1000001	-5.5E-12	1.401919
-5.5	-7.64E-11	1.425149	0.1000002	-5.3E-12	1.425149
-5.6	-7.68E-11	1.448369	0.1000003	-5.4E-12	1.448369
-5.7	-7.55E-11	1.471662	0.1000003	-5.4E-12	1.471662
-5.8	-7.52E-11	1.495012	0.1000003	-5.1E-12	1.495012
-5.9	-7.74E-11	1.518215	0.1000004	-5E-12	1.518215
-6	-7.75E-11	1.541435	0.1000003	-4.7E-12	1.541435
-6.1	-5.63E-11	1.598169	0.1000002	-7E-12	1.598169
-6.2	-7.56E-11	1.621414	0.1000002	-5.1E-12	1.621414
-6.3	-7.65E-11	1.644646	0.1000003	-5.2E-12	1.644646
-6.4	-7.59E-11	1.667935	0.1000003	-5.4E-12	1.667935
-6.5	-7.53E-11	1.691298	0.1000002	-5.3E-12	1.691298
-6.6	-7.8E-11	1.714521	0.1000003	-5.2E-12	1.714521
-6.7	-7.81E-11	1.73781	0.1000002	-5.2E-12	1.73781
-6.8	-7.59E-11	1.761143	0.1000003	-5.2E-12	1.761143
-6.9	-7.91E-11	1.784352	0.1000004	-4.9E-12	1.784352
-7	-7.87E-11	1.807585	0.1000002	-5.2E-12	1.807585
-7.1	-7.92E-11	1.830812	0.1000003	-5.1E-12	1.830812
-7.2	-7.72E-11	1.854113	0.1000003	-4.9E-12	1.854113
-7.3	-7.74E-11	1.877395	0.1000003	-5.1E-12	1.877395
-7.4	-7.97E-11	1.900608	0.1000002	-5.1E-12	1.900608
-7.5	-7.74E-11	1.923939	0.1000002	-5.3E-12	1.923939
-7.6	-7.85E-11	1.947229	0.1000002	-4.8E-12	1.947229
-7.7	-8.01E-11	1.970455	0.1000004	-5E-12	1.970455
-7.8	-8.01E-11	1.993765	0.1000002	-4.9E-12	1.993765
-7.9	-7.87E-11	2.017064	0.1000001	-5.4E-12	2.017064
-8	-7.86E-11	2.040371	0.1000003	-5.4E-12	2.040371
-8.1	-5.97E-11	2.095141	0.0999999	-6.9E-12	2.095141
-8.2	-7.79E-11	2.118451	0.1000004	-5.1E-12	2.118451
-8.3	-7.97E-11	2.141677	0.1000002	-4.9E-12	2.141677
-8.4	-8.04E-11	2.164909	0.1000003	-4.7E-12	2.164909
