#scan	iMeasureCycle=1	iMux=0	time=0.022	N=401	LocalTime=19/04/2023 18:25:38
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-3E-07	-1.627E-10	0.02487	0.0999999	5.62252E-06	0.02487
-0.1000004	-2.215E-10	0.049774	0.1000002	4.95678E-06	0.049774
-0.2000002	-2.708E-10	0.074278	0.0999997	4.31389E-06	0.074278
-0.300001	-2.09E-10	0.09911	0.1	3.69664E-06	0.09911
-0.4	-1.197E-10	0.123602	0.0999999	3.1109E-06	0.123602
-0.5	-9.32E-11	0.148116	0.0999997	2.56222E-06	0.148116
-0.6	-8.01E-11	0.172607	0.0999998	2.05623E-06	0.172607
-0.7	-7.27E-11	0.197175	0.0999998	1.5998E-06	0.197175
-0.8	-6.74E-11	0.221689	0.1	1.1992E-06	0.221689
-0.9	-6.01E-11	0.249122	0.0999995	8.60719E-07	0.249122
-1	-6.19E-11	0.273618	0.0999996	5.82964E-07	0.273618
-1.1	-6.1E-11	0.298144	0.0999994	3.68955E-07	0.298144
-1.2	-6E-11	0.322644	0.0999996	2.14721E-07	0.322644
-1.3	-5.91E-11	0.347169	0.0999997	1.12742E-07	0.347169
-1.4	-5.19E-11	0.384819	0.0999955	5.33846E-08	0.384819
-1.500001	-7.02E-11	0.408108	0.1000042	2.13923E-08	0.408108
-1.600001	-7.07E-11	0.431382	0.1000018	7.4658E-09	0.431382
-1.700001	-7.1E-11	0.454655	0.1000008	2.2559E-09	0.454655
-1.800001	-7.14E-11	0.477925	0.1000005	5.802E-10	0.477925
-1.900001	-7.35E-11	0.50114	0.1000002	1.218E-10	0.50114
-2.000001	-7.41E-11	0.524408	0.1000004	1.47E-11	0.524408
-2.100001	-7.36E-11	0.547625	0.1000003	-6.5E-12	0.547625
-2.2	-5.26E-11	0.593251	0.0999999	-1.16E-11	0.593251
-2.3	-7.18E-11	0.616501	0.1000002	-1.07E-11	0.616501
-2.4	-7.35E-11	0.639713	0.1000003	-1.07E-11	0.639713
-2.5	-7.35E-11	0.662925	0.1000003	-1.05E-11	0.662925
-2.6	-7.23E-11	0.686265	0.1000001	-1.03E-11	0.686265
-2.7	-7.45E-11	0.709519	0.1000002	-1.02E-11	0.709519
-2.8	-7.44E-11	0.732752	0.1000002	-1.04E-11	0.732752
-2.9	-7.36E-11	0.756123	0.1000004	-1.03E-11	0.756123
-3	-7.37E-11	0.779418	0.1000002	-1.02E-11	0.779418
-3.1	-7.46E-11	0.802814	0.1000003	-1.06E-11	0.802814
-3.2	-7.5E-11	0.826171	0.1000002	-1.05E-11	0.826171
-3.3	-7.58E-11	0.849431	0.1000002	-1.02E-11	0.849431
-3.4	-7.77E-11	0.872648	0.1000001	-1.01E-11	0.872648
-3.5	-7.78E-11	0.895873	0.1000002	-9.5E-12	0.895873
-3.6	-7.64E-11	0.919162	0.1000003	-9.9E-12	0.919162
-3.7	-7.62E-11	0.942457	0.1000001	-1.01E-11	0.942457
-3.8	-7.85E-11	0.965659	0.1000002	-1.03E-11	0.965659
-3.9	-7.82E-11	0.988898	0.1000003	-9.9E-12	0.988898
-4	-7.71E-11	1.012199	0.1000001	-1.02E-11	1.012199
-4.1	-7.75E-11	1.035485	0.1000003	-1.03E-11	1.035485
