#scan	iMeasureCycle=1	iMux=0	time=0.021	N=401	LocalTime=20/04/2023 03:01:41
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-2E-07	-1.528E-10	0.023902	0.0999999	1.69166E-05	0.023902
-0.1000005	-2.118E-10	0.048778	0.0999999	1.61088E-05	0.048778
-0.2000004	-2.602E-10	0.073279	0.0999998	1.53078E-05	0.073279
-0.300001	-2.007E-10	0.098002	0.0999999	1.45113E-05	0.098002
-0.4	-1.121E-10	0.122511	0.0999999	1.37192E-05	0.122511
-0.5	-8.6E-11	0.147009	0.1000001	1.29327E-05	0.147009
-0.6	-7.32E-11	0.171515	0.1000001	1.21519E-05	0.171515
-0.7	-6.58E-11	0.196045	0.1	1.13778E-05	0.196045
-0.8	-6.1E-11	0.220549	0.1000001	1.0612E-05	0.220549
-0.9	-5.79E-11	0.245061	0.0999999	9.8545E-06	0.245061
-1	-5.56E-11	0.269716	0.1	9.1079E-06	0.269716
-1.1	-5.02E-11	0.296829	0.1000001	8.3769E-06	0.296829
-1.2	-5.32E-11	0.321346	0.1	7.65482E-06	0.321346
-1.3	-5.25E-11	0.3459	0.1000001	6.94848E-06	0.3459
-1.4	-5.24E-11	0.370404	0.0999999	6.2603E-06	0.370404
-1.5	-5.18E-11	0.395038	0.0999998	5.59384E-06	0.395038
-1.6	-5.18E-11	0.419562	0.0999999	4.95103E-06	0.419562
-1.7	-5.15E-11	0.444081	0.1000001	4.33568E-06	0.444081
-1.8	-5.15E-11	0.468592	0.0999999	3.75212E-06	0.468592
-1.9	-5.19E-11	0.493204	0.1000001	3.20301E-06	0.493204
-2	-5.17E-11	0.517713	0.0999999	2.69242E-06	0.517713
-2.1	-5.22E-11	0.542243	0.0999999	2.22376E-06	0.542243
-2.2	-4.58E-11	0.589972	0.0999999	1.80285E-06	0.589972
-2.3	-5.07E-11	0.614625	0.0999998	1.42359E-06	0.614625
-2.4	-5.19E-11	0.639162	0.1000001	1.09454E-06	0.639162
-2.5	-4.86E-11	0.666475	0.0999996	8.1556E-07	0.666475
-2.6	-5.22E-11	0.691395	0.0999998	5.82948E-07	0.691395
-2.7	-5.3E-11	0.715906	0.0999996	3.9779E-07	0.715906
-2.8	-5.36E-11	0.740468	0.0999999	2.56166E-07	0.740468
-2.9	-5.43E-11	0.764984	0.0999998	1.5381E-07	0.764984
-3	-4.92E-11	0.802642	0.0999953	8.57773E-08	0.802642
-3.1	-6.66E-11	0.825924	0.1000074	4.25012E-08	0.825924
-3.2	-6.79E-11	0.849203	0.1000037	1.87386E-08	0.849203
-3.3	-6.99E-11	0.872408	0.1000021	7.1956E-09	0.872408
-3.4	-7.05E-11	0.895709	0.1000007	2.3879E-09	0.895709
-3.5	-6.84E-11	0.919045	0.1000002	6.817E-10	0.919045
-3.6	-7.04E-11	0.942364	0.1000001	1.727E-10	0.942364
-3.7	-7.17E-11	0.965574	0.1000002	3.65E-11	0.965574
-3.8	-7.19E-11	0.988789	0.1	2.9E-12	0.988789
-3.9	-7.02E-11	1.012073	0.1000001	-4.9E-12	1.012073
-4	-7.21E-11	1.035295	0.1000001	-5.4E-12	1.035295
-4.1	-5.08E-11	1.089803	0.1	-7.5E-12	1.089803
-4.2	-7.1E-11	1.113049	0.0999999	-5.4E-12	1.113049
-4.3	-7.01E-11	1.136355	0.1000001	-5.8E-12	1.136355
-4.4	-7.2E-11	1.159562	0.1	-6.1E-12	1.159562
-4.5	-7.17E-11	1.182877	0.1000001	-5.8E-12	1.182877
-4.6	-7.3E-11	1.2061	0.1000003	-6.1E-12	1.2061
-4.7	-7.23E-11	1.229394	0.1000002	-6.2E-12	1.229394
-4.8	-7.38E-11	1.252607	0.1000001	-6.2E-12	1.252607
-4.9	-7.44E-11	1.275911	0.1000002	-5.8E-12	1.275911
-5	-7.47E-11	1.299135	0.1000001	-5.9E-12	1.299135
-5.1	-7.32E-11	1.322432	0.1000002	-5.9E-12	1.322432
-5.2	-7.49E-11	1.345638	0.1000002	-5.7E-12	1.345638
-5.3	-7.48E-11	1.368879	0.1000002	-5.8E-12	1.368879
-5.4	-7.41E-11	1.392169	0.1000002	-6.1E-12	1.392169
-5.5	-7.42E-11	1.415534	0.1000003	-6.1E-12	1.415534
-5.6	-7.58E-11	1.438744	0.1000001	-5.7E-12	1.438744
-5.7	-7.44E-11	1.462034	0.1000001	-5.5E-12	1.462034
-5.8	-7.4E-11	1.485346	0.1	-6E-12	1.485346
-5.9	-7.48E-11	1.50865	0.1	-6E-12	1.50865
-6	-7.71E-11	1.531856	0.1000001	-5.5E-12	1.531856
-6.1	-5.61E-11	1.584197	0.0999999	-7.4E-12	1.584197
-6.2	-7.27E-11	1.607605	0.1000001	-5.4E-12	1.607605
-6.3	-7.45E-11	1.630898	0.1000001	-5.4E-12	1.630898
-6.4	-7.64E-11	1.654109	0.1000002	-5.4E-12	1.654109
-6.5	-7.72E-11	1.677376	0.1	-5.7E-12	1.677376
-6.6	-7.56E-11	1.700695	0.1000001	-5.5E-12	1.700695
-6.7	-7.75E-11	1.723917	0.1000002	-5.5E-12	1.723917
-6.8	-7.79E-11	1.747136	0.1	-5E-12	1.747136
-6.9	-7.8E-11	1.770367	0.1000002	-5.4E-12	1.770367
-7	-7.7E-11	1.793663	0.1000002	-5.7E-12	1.793663
-7.1	-7.7E-11	1.816963	0.1	-5.6E-12	1.816963
-7.2	-7.9E-11	1.840169	0.1000001	-5.5E-12	1.840169
-7.3	-7.75E-11	1.863465	0.1000002	-5.7E-12	1.863465
-7.4	-7.78E-11	1.886744	0.1000002	-5.7E-12	1.886744
-7.5	-7.83E-11	1.910079	0.1000002	-5.8E-12	1.910079
-7.6	-7.99E-11	1.933448	0.1000002	-5.7E-12	1.933448
-7.7	-7.83E-11	1.956738	0.1000002	-5.5E-12	1.956738
-7.8	-8E-11	1.97995	0.1000002	-5.6E-12	1.97995
-7.9	-8.05E-11	2.00317	0.1000001	-5.4E-12	2.00317
-8	-8.04E-11	2.02639	0.1000001	-5E-12	2.02639
-8.1	-7.87E-11	2.049678	0.1000002	-4.9E-12	2.049678
-8.2	-6.09E-11	2.089935	0.0999998	-6.9E-12	2.089935
-8.3	-7.85E-11	2.11321	0.1000002	-5.3E-12	2.11321
-8.4	-7.96E-11	2.136467	0.1000002	-5.5E-12	2.136467
-8.5	-8.07E-11	2.159692	0.1	-5.2E-12	2.159692
-8.6	-7.88E-11	2.183041	0.1000002	-5.7E-12	2.183041
-8.7	-8.09E-11	2.20627	0.1000004	-4.9E-12	2.20627
-8.8	-8.12E-11	2.229495	0.1000001	-5E-12	2.229495
-8.9	-8.1E-11	2.252699	0.1000003	-4.9E-12	2.252699
-9	-7.96E-11	2.276079	0.1000001	-5.3E-12	2.276079
-9.1	-8.17E-11	2.299294	0.1000004	-4.9E-12	2.299294
-9.2	-8.17E-11	2.322528	0.1000001	-5.2E-12	2.322528
