#scan	iMeasureCycle=1	iMux=0	time=0.031	N=401	LocalTime=19/04/2023 20:19:39
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-3E-07	-1.61E-10	0.03388	0.0999999	7.94951E-06	0.03388
-0.1000003	-2.193E-10	0.058762	0.1000001	7.23101E-06	0.058762
-0.2000004	-2.684E-10	0.083263	0.0999999	6.52688E-06	0.083263
-0.300001	-2.076E-10	0.108028	0.0999999	5.83826E-06	0.108028
-0.400001	-1.18E-10	0.132543	0.0999999	5.1679E-06	0.132543
-0.5	-9.18E-11	0.157062	0.0999999	4.52017E-06	0.157062
-0.6	-7.81E-11	0.181618	0.1	3.89827E-06	0.181618
-0.7	-7.08E-11	0.206109	0.1	3.30774E-06	0.206109
-0.8	-6.59E-11	0.230632	0.1	2.75299E-06	0.230632
-0.9	-6.28E-11	0.255226	0.1000001	2.23998E-06	0.255226
-1	-6.09E-11	0.279749	0.0999998	1.77471E-06	0.279749
-1.1	-5.99E-11	0.304336	0.0999998	1.36199E-06	0.304336
-1.2	-5.87E-11	0.328857	0.0999999	1.00635E-06	0.328857
-1.3	-5.38E-11	0.356461	0.0999995	7.1176E-07	0.356461
-1.4	-5.73E-11	0.380967	0.0999995	4.74547E-07	0.380967
-1.5	-5.7E-11	0.405506	0.0999996	2.95314E-07	0.405506
-1.6	-5.66E-11	0.430047	0.0999996	1.68749E-07	0.430047
-1.7	-5.05E-11	0.46777	0.0999927	8.818E-08	0.46777
-1.800001	-6.78E-11	0.491094	0.1000059	3.98363E-08	0.491094
-1.900001	-6.96E-11	0.514366	0.1000035	1.56446E-08	0.514366
-2.000001	-7.17E-11	0.537564	0.1000021	5.2084E-09	0.537564
-2.1	-4.91E-11	0.601524	0.0999998	1.5372E-09	0.601524
-2.2	-6.96E-11	0.624976	0.1000005	3.39E-10	0.624976
-2.3	-7.06E-11	0.648187	0.1000002	5.77E-11	0.648187
-2.4	-6.97E-11	0.671484	0.1000003	1.2E-12	0.671484
-2.5	-7.02E-11	0.694832	0.1000001	-8.1E-12	0.694832
-2.6	-7.18E-11	0.718141	0.1000003	-9.4E-12	0.718141
-2.7	-7.33E-11	0.741353	0.1000002	-9.2E-12	0.741353
-2.8	-7.19E-11	0.764644	0.1000001	-9.4E-12	0.764644
-2.9	-7.27E-11	0.787944	0.1000003	-9.3E-12	0.787944
-3	-7.44E-11	0.811173	0.1000003	-9.4E-12	0.811173
-3.1	-7.45E-11	0.834407	0.1000003	-9.5E-12	0.834407
-3.2	-7.51E-11	0.857627	0.1000003	-9.6E-12	0.857627
-3.3	-7.54E-11	0.880854	0.1000004	-9.5E-12	0.880854
-3.4	-7.57E-11	0.904068	0.1000001	-8.9E-12	0.904068
-3.5	-7.6E-11	0.927278	0.1000003	-9.5E-12	0.927278
-3.6	-7.44E-11	0.950574	0.1000002	-9.4E-12	0.950574
-3.7	-7.47E-11	0.973874	0.1000003	-9.4E-12	0.973874
-3.8	-7.68E-11	0.997086	0.1000003	-9E-12	0.997086
-3.9	-7.54E-11	1.020372	0.1	-8.8E-12	1.020372
-4	-7.56E-11	1.04365	0.1000003	-9E-12	1.04365
-4.1	-5.65E-11	1.097783	0.1000002	-1.07E-11	1.097783
-4.2	-7.61E-11	1.12105	0.1000004	-9.1E-12	1.12105
-4.3	-7.7E-11	1.144293	0.1000002	-9.3E-12	1.144293
-4.4	-7.76E-11	1.16752	0.1000002	-9.5E-12	1.16752
-4.5	-7.6E-11	1.190862	0.1000001	-8.9E-12	1.190862
-4.6	-7.57E-11	1.214149	0.1000002	-9.5E-12	1.214149
-4.7	-7.79E-11	1.237365	0.1000001	-8.8E-12	1.237365
-4.8	-7.91E-11	1.260569	0.1000002	-8.9E-12	1.260569
-4.9	-7.72E-11	1.283869	0.1000001	-8.9E-12	1.283869
-5	-7.89E-11	1.307159	0.1000002	-8.9E-12	1.307159
-5.1	-7.99E-11	1.330377	0.1000003	-8.8E-12	1.330377
-5.2	-8E-11	1.353592	0.1000003	-8.6E-12	1.353592
-5.3	-7.88E-11	1.376893	0.1	-9.2E-12	1.376893
-5.4	-7.9E-11	1.40018	0.1000003	-8.8E-12	1.40018
-5.5	-8.12E-11	1.423381	0.1000003	-8.7E-12	1.423381
-5.6	-8.17E-11	1.446642	0.1000003	-8.6E-12	1.446642
-5.7	-7.94E-11	1.469941	0.1000001	-8.4E-12	1.469941
