#scan	iMeasureCycle=1	iMux=0	time=0.031	N=401	LocalTime=20/04/2023 10:49:44
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-2E-07	-1.527E-10	0.033889	0.0999999	2.67396E-05	0.033889
-0.1000003	-2.115E-10	0.058748	0.1000002	2.58822E-05	0.058748
-0.2000003	-2.6E-10	0.083335	0.1	2.50297E-05	0.083335
-0.300001	-2.006E-10	0.108083	0.1000001	2.4182E-05	0.108083
-0.4	-1.127E-10	0.132607	0.1000001	2.33367E-05	0.132607
-0.5	-8.64E-11	0.157112	0.1000001	2.24953E-05	0.157112
-0.6	-7.34E-11	0.181665	0.1000002	2.16557E-05	0.181665
-0.7	-6.62E-11	0.206211	0.0999999	2.08194E-05	0.206211
-0.8	-6.09E-11	0.230809	0.1000001	1.99862E-05	0.230809
-0.9	-5.82E-11	0.255355	0.1	1.9156E-05	0.255355
-1	-5.59E-11	0.279877	0.1000001	1.83296E-05	0.279877
-1.1	-5.48E-11	0.304512	0.1	1.75085E-05	0.304512
-1.2	-5.38E-11	0.329034	0.0999999	1.66909E-05	0.329034
-1.3	-5.32E-11	0.353567	0.1	1.58772E-05	0.353567
-1.4	-5.31E-11	0.378077	0.1	1.50696E-05	0.378077
-1.5	-5.24E-11	0.402636	0.1	1.42683E-05	0.402636
-1.6	-5.23E-11	0.427162	0.1000001	1.34736E-05	0.427162
-1.7	-5.24E-11	0.451686	0.0999998	1.26861E-05	0.451686
-1.8	-5.24E-11	0.4762	0.0999999	1.19079E-05	0.4762
-1.9	-5.22E-11	0.500767	0.1	1.11391E-05	0.500767
-2	-5.31E-11	0.525276	0.0999998	1.03808E-05	0.525276
-2.1	-5.27E-11	0.549801	0.1	9.6358E-06	0.549801
-2.2	-4.54E-11	0.603571	0.0999999	8.9104E-06	0.603571
-2.3	-5.11E-11	0.628144	0.1000002	8.19329E-06	0.628144
-2.4	-5.22E-11	0.652666	0.1	7.4958E-06	0.652666
-2.5	-5.22E-11	0.677233	0.1	6.81857E-06	0.677233
-2.6	-5.27E-11	0.702057	0.0999999	6.16456E-06	0.702057
-2.7	-5.33E-11	0.726581	0.0999998	5.53528E-06	0.726581
