#scan	iMeasureCycle=1	iMux=0	time=0.02	N=401	LocalTime=19/04/2023 23:55:40
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-1E-07	-1.556E-10	0.022945	0.0999999	1.27682E-05	0.022945
-0.1000005	-2.142E-10	0.047821	0.0999998	1.19913E-05	0.047821
-0.2000004	-2.629E-10	0.072331	0.0999998	1.12214E-05	0.072331
-0.300001	-2.02E-10	0.097038	0.1	1.04594E-05	0.097038
-0.400001	-1.138E-10	0.121556	0.0999999	9.7048E-06	0.121556
-0.5	-8.12E-11	0.148651	0.1	8.96477E-06	0.148651
-0.6	-7.34E-11	0.173163	0.1000001	8.2301E-06	0.173163
-0.7	-6.6E-11	0.197745	0.0999998	7.50818E-06	0.197745
-0.8	-6.18E-11	0.222248	0.0999999	6.80013E-06	0.222248
-0.9	-5.88E-11	0.246794	0.1000002	6.10879E-06	0.246794
-1	-5.7E-11	0.271306	0.1	5.43753E-06	0.271306
-1.1	-5.52E-11	0.295852	0.1000002	4.78965E-06	0.295852
-1.2	-5.49E-11	0.320363	0.0999999	4.16818E-06	0.320363
-1.3	-5.49E-11	0.34488	0.1	3.57811E-06	0.34488
-1.4	-5.38E-11	0.369442	0.1	3.02304E-06	0.369442
-1.5	-5.34E-11	0.394012	0.1	2.50853E-06	0.394012
-1.6	-5.35E-11	0.418543	0.1	2.03743E-06	0.418543
-1.7	-5.32E-11	0.443035	0.1	1.61507E-06	0.443035
-1.8	-5.34E-11	0.467554	0.0999999	1.24358E-06	0.467554
-1.9	-5.38E-11	0.492066	0.1	9.2503E-07	0.492066
-2	-5.04E-11	0.519474	0.0999997	6.61154E-07	0.519474
-2.1	-5.38E-11	0.544057	0.0999996	4.48089E-07	0.544057
-2.2	-4.74E-11	0.589524	0.0999997	2.87393E-07	0.589524
-2.3	-5.25E-11	0.614081	0.0999997	1.69284E-07	0.614081
-2.4	-5.3E-11	0.638587	0.0999999	9.147E-08	0.638587
-2.5	-4.82E-11	0.676292	0.0999967	4.50913E-08	0.676292
-2.6	-6.59E-11	0.6996	0.1000037	1.91415E-08	0.6996
-2.7	-6.7E-11	0.722897	0.1000012	7.0621E-09	0.722897
-2.8	-6.92E-11	0.746096	0.1000009	2.2111E-09	0.746096
-2.9	-6.99E-11	0.769299	0.1000004	5.714E-10	0.769299
-3	-6.86E-11	0.792667	0.1000002	1.166E-10	0.792667
-3.1	-7.06E-11	0.815882	0.1000001	1.42E-11	0.815882
-3.2	-7.16E-11	0.839096	0.1000001	-4.1E-12	0.839096
-3.3	-7.2E-11	0.862304	0.1000001	-6.4E-12	0.862304
-3.4	-7.04E-11	0.885606	0.1000001	-7.2E-12	0.885606
