#scan	iMeasureCycle=1	iMux=0	time=0.031	N=401	LocalTime=19/04/2023 20:43:39
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-2E-07	-1.591E-10	0.033872	0.1000002	8.46879E-06	0.033872
-0.1000003	-2.182E-10	0.058741	0.1000001	7.7421E-06	0.058741
-0.2000004	-2.667E-10	0.083285	0.1	7.0282E-06	0.083285
-0.300001	-1.981E-10	0.108036	0.0999999	6.32749E-06	0.108036
-0.4	-1.152E-10	0.132545	0.0999999	5.64429E-06	0.132545
-0.5	-8.96E-11	0.157072	0.0999999	4.9811E-06	0.157072
-0.6	-7.7E-11	0.181565	0.0999999	4.34144E-06	0.181565
-0.7	-6.98E-11	0.206124	0.1	3.72901E-06	0.206124
-0.8	-6.49E-11	0.230749	0.1000001	3.14961E-06	0.230749
-0.9	-6.21E-11	0.255289	0.1	2.60734E-06	0.255289
-1	-5.98E-11	0.279795	0.1	2.10937E-06	0.279795
-1.1	-5.82E-11	0.304393	0.0999999	1.66033E-06	0.304393
-1.2	-5.75E-11	0.328909	0.0999998	1.26522E-06	0.328909
-1.3	-5.74E-11	0.353436	0.0999999	9.2687E-07	0.353436
-1.4	-5.29E-11	0.380724	0.0999998	6.49154E-07	0.380724
-1.5	-5.6E-11	0.405321	0.0999995	4.27924E-07	0.405321
-1.6	-5.55E-11	0.42982	0.0999996	2.62751E-07	0.42982
-1.7	-5.57E-11	0.454361	0.0999999	1.47865E-07	0.454361
-1.8	-4.99E-11	0.492011	0.0999946	7.60963E-08	0.492011
-1.900001	-6.9E-11	0.515258	0.1000069	3.38091E-08	0.515258
-2.000001	-7.04E-11	0.538477	0.1000036	1.30699E-08	0.538477
-2.1	-4.81E-11	0.601261	0.0999994	4.5339E-09	0.601261
-2.2	-6.84E-11	0.624711	0.1000007	1.2134E-09	0.624711
-2.3	-6.74E-11	0.648143	0.1000002	2.713E-10	0.648143
-2.4	-6.96E-11	0.671359	0.1	4.52E-11	0.671359
-2.5	-7.02E-11	0.694637	0.1000001	3E-13	0.694637
-2.6	-7.11E-11	0.71785	0.1000001	-7.3E-12	0.71785
-2.7	-6.97E-11	0.741139	0.1	-8.8E-12	0.741139
-2.8	-7.06E-11	0.764442	0.1	-9.3E-12	0.764442
-2.9	-7.2E-11	0.787665	0.1000002	-9.1E-12	0.787665
-3	-7.3E-11	0.810869	0.1000002	-9.1E-12	0.810869
-3.1	-7.34E-11	0.834084	0.1000002	-9.2E-12	0.834084
-3.2	-7.2E-11	0.857375	0.1000001	-9.2E-12	0.857375
-3.3	-7.19E-11	0.880654	0.1000002	-9.3E-12	0.880654
-3.4	-7.4E-11	0.903952	0.1000002	-9E-12	0.903952
-3.5	-7.3E-11	0.927241	0.1	-8.8E-12	0.927241
-3.6	-7.29E-11	0.950528	0.1000001	-8.7E-12	0.950528
-3.7	-7.51E-11	0.973805	0.1000001	-8.6E-12	0.973805
-3.8	-7.51E-11	0.997026	0.1000002	-8.6E-12	0.997026
-3.9	-7.39E-11	1.020313	0.1000001	-8.6E-12	1.020313
-4	-7.38E-11	1.043614	0.1	-8.5E-12	1.043614
-4.1	-5.45E-11	1.097334	0.0999999	-1.06E-11	1.097334
-4.2	-7.29E-11	1.120659	0.1	-8.8E-12	1.120659
-4.3	-7.56E-11	1.143875	0.1000002	-8.7E-12	1.143875
-4.4	-7.61E-11	1.167098	0.1000002	-8.5E-12	1.167098
-4.5	-7.65E-11	1.19036	0.1000002	-8.4E-12	1.19036
-4.6	-7.56E-11	1.213645	0.1	-8.8E-12	1.213645
-4.7	-7.55E-11	1.236921	0.1000001	-8.6E-12	1.236921
-4.8	-7.64E-11	1.260239	0.1000002	-8.4E-12	1.260239
-4.9	-7.81E-11	1.283439	0.0999999	-7.9E-12	1.283439
-5	-7.64E-11	1.306785	0.1	-8.4E-12	1.306785
-5.1	-7.81E-11	1.330008	0.1000002	-8.3E-12	1.330008
-5.2	-7.77E-11	1.353267	0.1	-8.7E-12	1.353267
-5.3	-7.65E-11	1.376601	0.0999999	-8.7E-12	1.376601
-5.4	-7.77E-11	1.399901	0.1	-8.2E-12	1.399901
-5.5	-7.95E-11	1.423199	0.1000002	-8.2E-12	1.423199
-5.6	-7.84E-11	1.446495	0.1000001	-8.1E-12	1.446495
-5.7	-7.84E-11	1.469786	0.1	-7.9E-12	1.469786
-5.8	-8.02E-11	1.49301	0.1	-8.1E-12	1.49301
-5.9	-8.09E-11	1.516228	0.1	-8.4E-12	1.516228
-6	-7.91E-11	1.539512	0.1000002	-8.2E-12	1.539512
-6.1	-5.93E-11	1.598815	0.0999998	-1E-11	1.598815
-6.2	-7.69E-11	1.622138	0.1000003	-8.7E-12	1.622138
-6.3	-7.97E-11	1.645436	0.1000001	-8.3E-12	1.645436
-6.4	-7.85E-11	1.668739	0.1000001	-8.4E-12	1.668739
-6.5	-7.9E-11	1.692085	0.1	-8.3E-12	1.692085
-6.6	-8.08E-11	1.715317	0.1	-8E-12	1.715317
-6.7	-7.98E-11	1.738615	0.1000001	-8.1E-12	1.738615
-6.8	-8.02E-11	1.761936	0.1000002	-8E-12	1.761936
-6.9	-8.03E-11	1.785226	0.1000003	-8E-12	1.785226
-7	-8.2E-11	1.808433	0.1000001	-7.9E-12	1.808433
-7.1	-8.29E-11	1.831655	0.1000001	-7.8E-12	1.831655
-7.2	-8.07E-11	1.854945	0.1000001	-8.3E-12	1.854945
-7.3	-8.06E-11	1.878241	0.1000001	-8.5E-12	1.878241
-7.4	-8.22E-11	1.901456	0.1000002	-7.9E-12	1.901456
