#scan	iMeasureCycle=1	iMux=0	time=0.031	N=401	LocalTime=20/04/2023 06:55:42
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-2E-07	-1.509E-10	0.03389	0.1	2.19281E-05	0.03389
-0.1000004	-2.097E-10	0.05876	0.0999999	2.10944E-05	0.05876
-0.2000004	-2.588E-10	0.083368	0.0999999	2.02652E-05	0.083368
-0.300001	-1.986E-10	0.108119	0.1	1.944E-05	0.108119
-0.4	-1.107E-10	0.132673	0.0999999	1.8619E-05	0.132673
-0.5	-8.5E-11	0.157221	0.0999999	1.78017E-05	0.157221
-0.6	-7.19E-11	0.181722	0.0999998	1.69866E-05	0.181722
-0.7	-6.47E-11	0.206237	0.1000001	1.61767E-05	0.206237
-0.8	-5.99E-11	0.230811	0.0999999	1.53713E-05	0.230811
-0.9	-5.67E-11	0.255309	0.1	1.45704E-05	0.255309
-1	-5.45E-11	0.279807	0.1	1.37744E-05	0.279807
-1.1	-5.29E-11	0.304362	0.0999999	1.29855E-05	0.304362
-1.2	-5.23E-11	0.328913	0.0999998	1.22035E-05	0.328913
-1.3	-5.15E-11	0.353438	0.1	1.14285E-05	0.353438
-1.4	-5.17E-11	0.377939	0.1000001	1.06634E-05	0.377939
-1.5	-5.06E-11	0.402546	0.0999999	9.908E-06	0.402546
-1.6	-5.14E-11	0.42705	0.0999999	9.1644E-06	0.42705
-1.699999	-4.67E-11	0.454174	0.1	8.43833E-06	0.454174
-1.8	-5.07E-11	0.478717	0.0999999	7.72245E-06	0.478717
-1.9	-5.05E-11	0.503239	0.0999999	7.02515E-06	0.503239
-2	-5.12E-11	0.527764	0.0999998	6.34757E-06	0.527764
-2.1	-5.14E-11	0.552265	0.1	5.69277E-06	0.552265
-2.2	-4.55E-11	0.596187	0.0999999	5.06528E-06	0.596187
-2.3	-5.03E-11	0.620715	0.0999999	4.46213E-06	0.620715
-2.4	-5.07E-11	0.645262	0.0999998	3.89147E-06	0.645262
-2.5	-5.1E-11	0.66981	0.1	3.35555E-06	0.66981
-2.6	-5.15E-11	0.69441	0.0999997	2.8573E-06	0.69441
-2.7	-5.22E-11	0.718963	0.0999999	2.39714E-06	0.718963
-2.8	-5.29E-11	0.743465	0.0999999	1.97795E-06	0.743465
-2.9	-5.29E-11	0.76799	0.1	1.60142E-06	0.76799
-3	-5.31E-11	0.792529	0.0999999	1.26822E-06	0.792529
-3.1	-5.33E-11	0.817107	0.1	9.7828E-07	0.817107
-3.2	-5.06E-11	0.844406	0.0999996	7.32385E-07	0.844406
