#scan	iMeasureCycle=1	iMux=0	time=0.025	N=401	LocalTime=20/04/2023 03:55:41
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-3E-07	-1.52E-10	0.027891	0.0999999	1.80759E-05	0.027891
-0.1000003	-2.112E-10	0.052799	0.0999998	1.72618E-05	0.052799
-0.2000003	-2.6E-10	0.077313	0.1000001	1.64533E-05	0.077313
-0.300001	-1.983E-10	0.102023	0.1	1.56481E-05	0.102023
-0.4	-1.105E-10	0.126669	0.0999998	1.48481E-05	0.126669
-0.5	-8.54E-11	0.151169	0.1	1.40531E-05	0.151169
-0.6	-7.24E-11	0.175747	0.1	1.32625E-05	0.175747
-0.7	-6.48E-11	0.200292	0.1000001	1.24788E-05	0.200292
-0.8	-6E-11	0.224842	0.0999998	1.17012E-05	0.224842
-0.9	-5.72E-11	0.249407	0.0999999	1.09314E-05	0.249407
-1	-5.54E-11	0.274015	0.0999999	1.01705E-05	0.274015
-1.1	-5.39E-11	0.298553	0.1	9.4186E-06	0.298553
-1.2	-4.84E-11	0.325722	0.1	8.68302E-06	0.325722
-1.3	-5.2E-11	0.350227	0.0999999	7.95554E-06	0.350227
-1.4	-5.22E-11	0.374731	0.1	7.24396E-06	0.374731
-1.5	-5.18E-11	0.399236	0.0999999	6.55037E-06	0.399236
-1.6	-5.21E-11	0.423844	0.0999999	5.87638E-06	0.423844
-1.7	-5.16E-11	0.448379	0.1	5.22583E-06	0.448379
-1.8	-5.2E-11	0.47289	0.0999999	4.60194E-06	0.47289
-1.9	-5.15E-11	0.497409	0.0999998	4.00864E-06	0.497409
-2	-5.22E-11	0.521948	0.1000001	3.44834E-06	0.521948
-2.1	-5.21E-11	0.546454	0.0999999	2.92425E-06	0.546454
-2.2	-4.52E-11	0.594638	0.0999998	2.44302E-06	0.594638
-2.3	-5.01E-11	0.619177	0.0999998	1.99977E-06	0.619177
-2.4	-5.11E-11	0.643819	0.1000001	1.60394E-06	0.643819
-2.5	-5.21E-11	0.668331	0.0999999	1.25484E-06	0.668331
-2.6	-5.24E-11	0.692951	0.1000001	9.5368E-07	0.692951
-2.7	-4.92E-11	0.720273	0.0999996	7.00595E-07	0.720273
-2.8	-5.33E-11	0.74476	0.0999996	4.92604E-07	0.74476
-2.9	-5.3E-11	0.769262	0.0999995	3.29364E-07	0.769262
-3	-5.36E-11	0.793774	0.0999997	2.07207E-07	0.793774
-3.1	-5.36E-11	0.818284	0.0999997	1.21066E-07	0.818284
-3.2	-4.88E-11	0.855953	0.0999957	6.56033E-08	0.855953
-3.3	-6.92E-11	0.879156	0.1000071	3.15359E-08	0.879156
-3.4	-6.92E-11	0.902384	0.1000028	1.35923E-08	0.902384
-3.5	-6.83E-11	0.925675	0.1000014	5.1863E-09	0.925675
-3.6	-7.03E-11	0.948979	0.1000008	1.7544E-09	0.948979
-3.7	-7.09E-11	0.97219	0.1000004	5.243E-10	0.97219
-3.8	-7.17E-11	0.995482	0.1000005	1.347E-10	0.995482
-3.9	-7.02E-11	1.018774	0.1000003	2.63E-11	1.018774
-4	-7.18E-11	1.041982	0.1000001	4E-13	1.041982
-4.1	-5.04E-11	1.094427	0.1000001	-5.8E-12	1.094427
-4.2	-6.99E-11	1.117672	0.1000001	-4.8E-12	1.117672
-4.3	-6.93E-11	1.141055	0.1000004	-5E-12	1.141055
-4.4	-7.2E-11	1.164257	0.1000002	-4.7E-12	1.164257
-4.5	-7.22E-11	1.187528	0.1000001	-4.6E-12	1.187528
-4.6	-7.3E-11	1.210751	0.1000003	-4.6E-12	1.210751
-4.7	-7.22E-11	1.23403	0.1000004	-5.2E-12	1.23403
-4.8	-7.2E-11	1.257313	0.1000002	-5.1E-12	1.257313
-4.9	-7.35E-11	1.280625	0.1000004	-4.8E-12	1.280625
-5	-7.21E-11	1.303927	0.1000003	-4.6E-12	1.303927
-5.1	-7.28E-11	1.327217	0.1000002	-4.8E-12	1.327217
-5.2	-7.47E-11	1.350431	0.1000006	-4.5E-12	1.350431
-5.3	-7.55E-11	1.373637	0.1000003	-4.7E-12	1.373637
-5.4	-7.4E-11	1.397011	0.1000003	-4.9E-12	1.397011
-5.5	-7.36E-11	1.420312	0.1000003	-4.6E-12	1.420312
-5.6	-7.57E-11	1.443511	0.1000004	-4.5E-12	1.443511
-5.7	-7.43E-11	1.466796	0.1000002	-4.7E-12	1.466796
-5.8	-7.44E-11	1.490075	0.1000002	-5E-12	1.490075
-5.9	-7.43E-11	1.513357	0.1000002	-4.6E-12	1.513357
-6	-7.68E-11	1.536561	0.1000004	-5E-12	1.536561
-6.1	-5.51E-11	1.593133	0.1000001	-5.9E-12	1.593133
-6.2	-7.34E-11	1.616566	0.1000002	-4.4E-12	1.616566
-6.3	-7.56E-11	1.639879	0.1000004	-4.3E-12	1.639879
-6.4	-7.62E-11	1.663102	0.1000003	-4.1E-12	1.663102
-6.5	-7.45E-11	1.686452	0.1000002	-4.1E-12	1.686452
-6.6	-7.48E-11	1.70975	0.1000003	-4.2E-12	1.70975
-6.7	-7.74E-11	1.732953	0.1000002	-4E-12	1.732953
-6.8	-7.48E-11	1.756244	0.1000003	-4.6E-12	1.756244
-6.9	-7.59E-11	1.779521	0.1000002	-4.3E-12	1.779521
-7	-7.78E-11	1.802741	0.1000003	-3.9E-12	1.802741
-7.1	-7.64E-11	1.826034	0.1000002	-3.9E-12	1.826034
-7.2	-7.66E-11	1.84931	0.1000003	-3.9E-12	1.84931
-7.3	-7.69E-11	1.872598	0.1	-4.2E-12	1.872598
-7.4	-7.84E-11	1.895822	0.1000003	-3.8E-12	1.895822
-7.5	-7.89E-11	1.919132	0.1000003	-4E-12	1.919132
-7.6	-7.78E-11	1.942513	0.1000003	-4.4E-12	1.942513
-7.7	-7.9E-11	1.965744	0.1000004	-3.8E-12	1.965744
-7.8	-7.94E-11	1.988969	0.1000003	-4E-12	1.988969
-7.9	-7.74E-11	2.012312	0.1000003	-4.2E-12	2.012312
-8	-7.79E-11	2.035613	0.1000002	-4.4E-12	2.035613
-8.1	-7.62E-11	2.075532	0.1000002	-3.8E-12	2.075532
-8.2	-6.09E-11	2.115427	0.1	-5.3E-12	2.115427
-8.3	-7.65E-11	2.138815	0.1000002	-3.9E-12	2.138815
-8.4	-7.89E-11	2.162043	0.1000003	-4E-12	2.162043
-8.5	-7.88E-11	2.185285	0.1000003	-4.1E-12	2.185285
-8.6	-7.73E-11	2.208721	0.1000002	-3.8E-12	2.208721
-8.7	-7.94E-11	2.231963	0.1000002	-3.5E-12	2.231963
-8.8	-7.98E-11	2.255195	0.1000003	-3.8E-12	2.255195
-8.9	-8.05E-11	2.278483	0.1000002	-3.8E-12	2.278483
-9	-7.97E-11	2.301776	0.1000002	-3.9E-12	2.301776
-9.1	-7.92E-11	2.325083	0.1000002	-3.9E-12	2.325083
-9.2	-8.07E-11	2.348299	0.1000003	-4E-12	2.348299
-9.3	-8.18E-11	2.371515	0.1000004	-3.4E-12	2.371515
-9.4	-8.1E-11	2.39474	0.1000003	-3.6E-12	2.39474
-9.5	-8.17E-11	2.418046	0.1000002	-3.8E-12	2.418046
-9.6	-8.21E-11	2.44127	0.1000002	-3.8E-12	2.44127
-9.7	-8.23E-11	2.46448	0.1000004	-3.5E-12	2.46448
-9.8	-8.05E-11	2.487759	0.1000003	-3.6E-12	2.487759
-9.9	-7.95E-11	2.511054	0.1000002	-4E-12	2.511054
-10	-8.2E-11	2.534266	0.1000002	-4E-12	2.534266
-9.90001	-5.8E-11	2.581743	0.1	-5.4E-12	2.581743
-9.80001	-3.74E-11	2.60511	0.0999997	-6.8E-12	2.60511
-9.70001	-3.45E-11	2.628357	0.0999998	-7.2E-12	2.628357
-9.60001	-3.19E-11	2.651648	0.0999998	-7.3E-12	2.651648
-9.50001	-3.07E-11	2.674864	0.0999999	-7.4E-12	2.674864
-9.40001	-3.08E-11	2.698209	0.0999998	-7.5E-12	2.698209
-9.30001	-2.91E-11	2.721441	0.0999998	-7.5E-12	2.721441
-9.20001	-2.74E-11	2.744653	0.0999997	-7.7E-12	2.744653
-9.10001	-2.6E-11	2.767855	0.0999997	-7.4E-12	2.767855
-9.00001	-2.74E-11	2.791145	0.0999998	-7.3E-12	2.791145
-8.90001	-2.49E-11	2.814358	0.0999998	-7.4E-12	2.814358
-8.80001	-2.39E-11	2.837581	0.0999998	-7.9E-12	2.837581
-8.70001	-2.52E-11	2.860879	0.0999998	-7.5E-12	2.860879
-8.60001	-2.46E-11	2.884155	0.0999999	-7.5E-12	2.884155
-8.50001	-2.26E-11	2.907361	0.0999997	-7.7E-12	2.907361
-8.40001	-2.19E-11	2.930592	0.0999997	-7.9E-12	2.930592
-8.30001	-2.11E-11	2.953883	0.0999998	-7.9E-12	2.953883
-8.20001	-2.23E-11	2.977172	0.1	-8.2E-12	2.977172
-8.10001	-2.08E-11	3.000407	0.0999996	-8.2E-12	3.000407
-8.00001	-1.94E-11	3.023632	0.1	-7.5E-12	3.023632
-7.90001	-1.95E-11	3.046853	0.0999999	-8E-12	3.046853
-7.80001	-4E-11	3.097599	0.1	-6E-12	3.097599
-7.70001	-1.99E-11	3.120845	0.0999998	-8.1E-12	3.120845
-7.6	-1.94E-11	3.144155	0.1	-7.7E-12	3.144155
-7.50001	-2.06E-11	3.167443	0.1	-7.9E-12	3.167443
-7.40001	-1.83E-11	3.190714	0.0999997	-7.9E-12	3.190714
-7.30001	-1.92E-11	3.214001	0.1	-7.7E-12	3.214001
-7.2	-1.74E-11	3.237233	0.0999999	-7.8E-12	3.237233
-7.10001	-1.84E-11	3.260535	0.0999998	-7.4E-12	3.260535
-7.00001	-1.7E-11	3.283856	0.0999998	-7.5E-12	3.283856
-6.90001	-1.61E-11	3.307067	0.0999999	-7.5E-12	3.307067
-6.80001	-1.57E-11	3.330286	0.0999998	-8.4E-12	3.330286
-6.70001	-1.73E-11	3.353579	0.0999999	-8.1E-12	3.353579
-6.60001	-1.48E-11	3.376781	0.0999998	-8.3E-12	3.376781
-6.50001	-1.47E-11	3.399994	0.0999999	-8.3E-12	3.399994
-6.40001	-1.42E-11	3.42322	0.0999999	-8E-12	3.42322
-6.30001	-1.5E-11	3.446503	0.0999998	-8.2E-12	3.446503
-6.20001	-1.48E-11	3.469793	0.1	-7.7E-12	3.469793
-6.10001	-1.3E-11	3.493001	0.0999999	-8E-12	3.493001
-6.00001	-1.22E-11	3.516218	0.0999999	-8.4E-12	3.516218
-5.90001	-1.33E-11	3.539502	0.0999998	-8.5E-12	3.539502
-5.80001	-3.3E-11	3.599674	0.1	-6.2E-12	3.599674
-5.70001	-1.53E-11	3.623022	0.0999998	-7.9E-12	3.623022
-5.60001	-1.22E-11	3.646331	0.0999998	-8E-12	3.646331
-5.50001	-1.2E-11	3.669567	0.1	-8.4E-12	3.669567
-5.40001	-1.27E-11	3.692921	0.0999999	-8.7E-12	3.692921
-5.30001	-1.06E-11	3.716124	0.0999997	-8.8E-12	3.716124
-5.20001	-9.6E-12	3.739349	0.0999997	-8.7E-12	3.739349
-5.1	-9E-12	3.762548	0.0999997	-8.9E-12	3.762548
-5.00001	-1.01E-11	3.78583	0.0999998	-8.7E-12	3.78583
-4.90001	-1.05E-11	3.809129	0.1	-8.6E-12	3.809129
-4.80001	-9.7E-12	3.832426	0.0999998	-8.7E-12	3.832426
-4.7	-9.2E-12	3.855721	0.0999998	-8.5E-12	3.855721
-4.60001	-9.2E-12	3.878999	0.0999998	-8.6E-12	3.878999
-4.50001	-7.7E-12	3.902216	0.0999998	-8.9E-12	3.902216
-4.40001	-6.3E-12	3.92543	0.0999998	-8.9E-12	3.92543
