#scan	iMeasureCycle=1	iMux=0	time=0.029	N=401	LocalTime=19/04/2023 16:01:37
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
0	-1.63E-10	0.031889	0.0999999	2.93592E-06	0.031889
-0.1000003	-2.212E-10	0.056781	0.1	2.39613E-06	0.056781
-0.2000003	-2.703E-10	0.081313	0.0999997	1.8998E-06	0.081313
-0.300001	-2.003E-10	0.106046	0.1	1.45306E-06	0.106046
-0.400001	-1.162E-10	0.130573	0.0999998	1.06275E-06	0.130573
-0.5	-8.4E-11	0.157936	0.0999994	7.36926E-07	0.157936
-0.6	-7.66E-11	0.182471	0.0999995	4.75994E-07	0.182471
-0.7	-6.95E-11	0.206991	0.0999994	2.823E-07	0.206991
-0.8	-6.49E-11	0.231619	0.0999998	1.50621E-07	0.231619
-0.899999	-5.35E-11	0.269387	0.0999941	7.20968E-08	0.269387
-1	-7.27E-11	0.292606	0.1000072	2.90439E-08	0.292606
-1.100001	-7.26E-11	0.315829	0.1000028	1.01668E-08	0.315829
-1.200001	-7.23E-11	0.339094	0.1000011	3.1083E-09	0.339094
-1.300001	-7.04E-11	0.362381	0.1000004	8.239E-10	0.362381
-1.400001	-6.92E-11	0.38571	0.1000002	1.772E-10	0.38571
-1.500001	-7.2E-11	0.408934	0.1000001	2.33E-11	0.408934
-1.600001	-7.22E-11	0.432135	0.1	-5.5E-12	0.432135
-1.700001	-7.05E-11	0.455411	0.1000001	-1.04E-11	0.455411
-1.800001	-7.2E-11	0.478624	0.1000002	-1.07E-11	0.478624
-1.900001	-7.23E-11	0.501839	0.1000001	-1.03E-11	0.501839
-2.000001	-7.23E-11	0.525045	0.1	-9.9E-12	0.525045
-2.100001	-7.09E-11	0.548326	0.1000001	-1.03E-11	0.548326
-2.2	-5.07E-11	0.600199	0.1	-1.16E-11	0.600199
-2.3	-6.88E-11	0.623512	0.1000001	-1.04E-11	0.623512
-2.4	-7.01E-11	0.646785	0.1	-1E-11	0.646785
-2.5	-7.23E-11	0.670064	0.1000001	-9.4E-12	0.670064
-2.6	-7.24E-11	0.693324	0.1	-1E-11	0.693324
-2.7	-7.14E-11	0.716626	0.1000001	-9.9E-12	0.716626
-2.8	-7.19E-11	0.739997	0.1	-9.4E-12	0.739997
-2.9	-7.4E-11	0.763218	0.1000001	-9.8E-12	0.763218
-3	-7.26E-11	0.786515	0.1000001	-9.7E-12	0.786515
-3.1	-7.34E-11	0.809813	0.0999999	-9.6E-12	0.809813
-3.2	-7.53E-11	0.833012	0.1000001	-9.5E-12	0.833012
-3.3	-7.56E-11	0.856218	0.1000001	-9.5E-12	0.856218
-3.4	-7.56E-11	0.87943	0.1000002	-9.8E-12	0.87943
-3.5	-7.41E-11	0.902714	0.1000001	-9.8E-12	0.902714
-3.6	-7.45E-11	0.926011	0.1000002	-9.4E-12	0.926011
-3.7	-7.49E-11	0.949296	0.1	-9.7E-12	0.949296
-3.8	-7.51E-11	0.972577	0.1000001	-9.2E-12	0.972577
-3.9	-7.61E-11	0.995864	0.1000002	-9E-12	0.995864
-4	-7.79E-11	1.019134	0.1000001	-9.7E-12	1.019134
-4.1	-7.73E-11	1.042353	0.1	-9.2E-12	1.042353
-4.2	-5.66E-11	1.095943	0.1000001	-1.13E-11	1.095943
-4.3	-7.46E-11	1.119257	0.1000002	-9.4E-12	1.119257
-4.4	-7.58E-11	1.142552	0.1000001	-9.4E-12	1.142552
-4.5	-7.62E-11	1.165861	0.1000002	-9.1E-12	1.165861
-4.6	-7.85E-11	1.189126	0.1000003	-9.5E-12	1.189126
-4.7	-7.83E-11	1.212359	0.1000001	-9.1E-12	1.212359
-4.8	-7.93E-11	1.235562	0.1000002	-9.7E-12	1.235562
-4.9	-7.73E-11	1.258936	0.1000002	-9.6E-12	1.258936
-5	-7.96E-11	1.282159	0.1000002	-9.3E-12	1.282159
-5.1	-8E-11	1.305385	0.1000001	-8.4E-12	1.305385
-5.2	-8E-11	1.328607	0.1000001	-9.2E-12	1.328607
-5.3	-7.89E-11	1.351945	0.1000001	-8.9E-12	1.351945
-5.4	-7.89E-11	1.375237	0.1000002	-8.9E-12	1.375237
-5.5	-8.09E-11	1.398542	0.1000001	-8.8E-12	1.398542
-5.6	-7.95E-11	1.421841	0.1000001	-9E-12	1.421841
-5.7	-8.03E-11	1.445115	0.1000001	-9.4E-12	1.445115
-5.8	-8.22E-11	1.468327	0.1000002	-8.8E-12	1.468327
-5.9	-8.15E-11	1.491532	0.1000001	-8.8E-12	1.491532
-6	-8.2E-11	1.514751	0.1000001	-8.9E-12	1.514751
-6.1	-8.08E-11	1.538033	0.1000001	-9E-12	1.538033
-6.2	-6.15E-11	1.597195	0.0999999	-1.08E-11	1.597195
-6.3	-7.87E-11	1.620526	0.1000001	-9.2E-12	1.620526
-6.4	-8.09E-11	1.643745	0.1000001	-8.7E-12	1.643745
-6.5	-8.13E-11	1.666982	0.1000001	-9E-12	1.666982
-6.6	-8.03E-11	1.690326	0.1000001	-9.2E-12	1.690326
-6.7	-8.04E-11	1.713631	0.1	-9E-12	1.713631
-6.8	-8.28E-11	1.73685	0.0999999	-8.6E-12	1.73685
-6.9	-8.12E-11	1.760222	0.1	-8.9E-12	1.760222
-7	-8.17E-11	1.783514	0.1000001	-8.8E-12	1.783514
-7.1	-8.4E-11	1.806733	0.1	-8.8E-12	1.806733
-7.2	-8.49E-11	1.829955	0.1000002	-8.9E-12	1.829955
-7.3	-8.45E-11	1.85317	0.1000002	-8.8E-12	1.85317
-7.4	-8.3E-11	1.876461	0.1000002	-8.6E-12	1.876461
-7.5	-8.42E-11	1.899664	0.1000002	-9.2E-12	1.899664
-7.6	-8.49E-11	1.922883	0.1000001	-9.2E-12	1.922883
-7.7	-8.3E-11	1.946177	0.1000001	-9E-12	1.946177
-7.8	-8.4E-11	1.969461	0.1000001	-9.1E-12	1.969461
-7.9	-8.55E-11	1.992673	0.1	-8.8E-12	1.992673
-8	-8.58E-11	2.015927	0.1	-8.9E-12	2.015927
-8.1	-8.4E-11	2.039226	0.1000001	-8.9E-12	2.039226
-8.2	-6.54E-11	2.094353	0.0999999	-1.05E-11	2.094353
-8.3	-8.05E-11	2.117778	0.1000001	-8.8E-12	2.117778
-8.4	-8.5E-11	2.140996	0.1000001	-9.1E-12	2.140996
-8.5	-8.58E-11	2.164228	0.0999999	-8.5E-12	2.164228
-8.6	-8.41E-11	2.187571	0.1000001	-8.7E-12	2.187571
-8.7	-8.58E-11	2.210806	0.1000001	-8.4E-12	2.210806
-8.8	-8.48E-11	2.234112	0.1000002	-8.4E-12	2.234112
-8.9	-8.46E-11	2.257499	0.0999999	-8.2E-12	2.257499
-9	-8.55E-11	2.280781	0.0999999	-8.3E-12	2.280781
-9.1	-8.73E-11	2.303992	0.1000001	-8.2E-12	2.303992
-9.2	-8.77E-11	2.327221	0.1000001	-8.7E-12	2.327221
-9.3	-8.54E-11	2.350562	0.1000001	-8.6E-12	2.350562
-9.4	-8.59E-11	2.373848	0.1000002	-8.9E-12	2.373848
-9.5	-8.62E-11	2.397128	0.1	-8.7E-12	2.397128
-9.6	-8.61E-11	2.420431	0.0999999	-8.7E-12	2.420431
-9.7	-8.67E-11	2.44372	0.1000001	-8.4E-12	2.44372
-9.8	-8.75E-11	2.466944	0.1	-8.6E-12	2.466944
-9.9	-8.87E-11	2.49016	0.1000002	-8.4E-12	2.49016
-10	-8.67E-11	2.51346	0.1000001	-8.4E-12	2.51346
-9.90001	-4.78E-11	2.536749	0.0999997	-1.16E-11	2.536749
-9.80001	-4.32E-11	2.559967	0.0999996	-1.17E-11	2.559967
-9.70001	-5.9E-11	2.600178	0.0999998	-1.01E-11	2.600178
-9.60001	-3.9E-11	2.623441	0.0999997	-1.21E-11	2.623441
-9.50001	-3.84E-11	2.646745	0.0999997	-1.2E-11	2.646745
-9.40001	-3.62E-11	2.670018	0.0999997	-1.18E-11	2.670018
-9.30001	-3.41E-11	2.693305	0.0999997	-1.19E-11	2.693305
-9.20001	-3.3E-11	2.716533	0.0999999	-1.2E-11	2.716533
-9.10001	-3.34E-11	2.739829	0.0999998	-1.17E-11	2.739829
-9.00001	-3.08E-11	2.763137	0.0999998	-1.19E-11	2.763137
-8.90001	-3.01E-11	2.786364	0.0999997	-1.17E-11	2.786364
-8.80001	-2.9E-11	2.809575	0.0999998	-1.13E-11	2.809575
-8.70001	-3E-11	2.832872	0.0999999	-1.18E-11	2.832872
-8.60001	-3.02E-11	2.856153	0.0999997	-1.18E-11	2.856153
-8.50001	-2.77E-11	2.879361	0.0999996	-1.19E-11	2.879361
-8.40001	-2.85E-11	2.902651	0.0999997	-1.18E-11	2.902651
-8.30001	-2.85E-11	2.925944	0.0999998	-1.2E-11	2.925944
-8.20001	-2.59E-11	2.949158	0.0999997	-1.19E-11	2.949158
-8.10001	-2.55E-11	2.972374	0.0999998	-1.17E-11	2.972374
-8.00001	-2.53E-11	2.995582	0.0999995	-1.17E-11	2.995582
-7.90001	-2.71E-11	3.018917	0.0999999	-1.15E-11	3.018917
-7.80001	-2.5E-11	3.042164	0.0999995	-1.25E-11	3.042164
-7.70001	-4.44E-11	3.101291	0.1	-9.9E-12	3.101291
-7.6	-2.47E-11	3.124542	0.0999998	-1.21E-11	3.124542
-7.50001	-2.36E-11	3.147766	0.0999997	-1.22E-11	3.147766
-7.40001	-2.52E-11	3.17107	0.0999996	-1.28E-11	3.17107
-7.30001	-2.58E-11	3.194468	0.0999997	-1.21E-11	3.194468
-7.2	-2.22E-11	3.21777	0.0999998	-1.22E-11	3.21777
-7.10001	-2.32E-11	3.241059	0.0999996	-1.26E-11	3.241059
-7.00001	-2.28E-11	3.264437	0.0999997	-1.24E-11	3.264437
-6.90001	-2.06E-11	3.287644	0.0999996	-1.23E-11	3.287644
-6.80001	-2.07E-11	3.310887	0.0999996	-1.2E-11	3.310887
-6.70001	-2.16E-11	3.334182	0.0999998	-1.26E-11	3.334182
-6.60001	-2E-11	3.357455	0.0999995	-1.26E-11	3.357455
-6.50001	-1.93E-11	3.380671	0.0999997	-1.27E-11	3.380671
-6.40001	-2.06E-11	3.403961	0.0999996	-1.26E-11	3.403961
-6.30001	-2E-11	3.42726	0.0999998	-1.27E-11	3.42726
-6.20001	-1.78E-11	3.450469	0.0999998	-1.24E-11	3.450469
-6.10001	-1.76E-11	3.4737	0.0999998	-1.28E-11	3.4737
-6.00001	-1.67E-11	3.4969	0.0999998	-1.31E-11	3.4969
-5.90001	-1.85E-11	3.520181	0.0999999	-1.27E-11	3.520181
-5.80001	-1.85E-11	3.543479	0.0999998	-1.24E-11	3.543479
-5.70001	-3.73E-11	3.603479	0.0999997	-1.06E-11	3.603479
-5.60001	-1.79E-11	3.626717	0.0999997	-1.26E-11	3.626717
