#scan	iMeasureCycle=1	iMux=0	time=0.031	N=401	LocalTime=19/04/2023 15:43:37
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-3E-07	-1.619E-10	0.03389	0.1	2.61154E-06	0.03389
-0.1000004	-2.215E-10	0.05876	0.0999999	2.09573E-06	0.05876
-0.2000003	-2.697E-10	0.083296	0.1	1.62735E-06	0.083296
-0.300001	-2E-10	0.108037	0.0999998	1.21247E-06	0.108037
-0.4	-1.06E-10	0.135394	0.0999997	8.60084E-07	0.135394
-0.5	-8.74E-11	0.159922	0.0999994	5.70635E-07	0.159922
-0.6	-7.58E-11	0.184481	0.0999994	3.49807E-07	0.184481
-0.7	-6.9E-11	0.209007	0.0999996	1.94089E-07	0.209007
-0.8	-6.48E-11	0.233514	0.0999997	9.5434E-08	0.233514
-0.9	-5.34E-11	0.271234	0.0999964	4.18792E-08	0.271234
-1.000001	-7.22E-11	0.294447	0.1000038	1.53517E-08	0.294447
-1.100001	-7.26E-11	0.317732	0.1000018	4.9551E-09	0.317732
-1.200001	-7.03E-11	0.341042	0.1000006	1.4322E-09	0.341042
-1.300001	-6.92E-11	0.364373	0.1000003	3.624E-10	0.364373
-1.400001	-7.13E-11	0.387597	0.1000002	7.26E-11	0.387597
-1.500001	-7.16E-11	0.410803	0.1	5.6E-12	0.410803
-1.600001	-7.01E-11	0.434085	0.1000002	-7.6E-12	0.434085
-1.700001	-6.98E-11	0.45737	0.1000003	-9.7E-12	0.45737
-1.800001	-7.19E-11	0.480576	0.1000002	-9.1E-12	0.480576
-1.900001	-7.2E-11	0.503791	0.1000004	-9.4E-12	0.503791
-2.000001	-7.04E-11	0.52712	0.1000003	-9.3E-12	0.52712
-2.100001	-7.03E-11	0.550419	0.1000001	-9.4E-12	0.550419
-2.2	-5.02E-11	0.60157	0.1000001	-1.13E-11	0.60157
-2.3	-7.07E-11	0.624813	0.1000001	-9.4E-12	0.624813
-2.4	-7.13E-11	0.648042	0.1000002	-9.3E-12	0.648042
-2.5	-6.98E-11	0.671323	0.1000002	-9.6E-12	0.671323
-2.6	-7.04E-11	0.694675	0.1000003	-9.7E-12	0.694675
-2.7	-7.13E-11	0.717969	0.1000004	-9.3E-12	0.717969
-2.8	-7.28E-11	0.741186	0.1000004	-9.2E-12	0.741186
-2.9	-7.32E-11	0.764409	0.1000004	-9.5E-12	0.764409
-3	-7.2E-11	0.78771	0.1000001	-9.1E-12	0.78771
-3.1	-7.45E-11	0.810922	0.1000002	-8.7E-12	0.810922
-3.2	-7.51E-11	0.834153	0.1000003	-8.6E-12	0.834153
-3.3	-7.32E-11	0.8575	0.1000002	-8.6E-12	0.8575
-3.4	-7.52E-11	0.880706	0.1000004	-8.7E-12	0.880706
-3.5	-7.4E-11	0.904001	0.1000003	-9E-12	0.904001
-3.6	-7.62E-11	0.927207	0.1000002	-8.3E-12	0.927207
-3.7	-7.52E-11	0.950504	0.1000003	-8.9E-12	0.950504
-3.8	-7.69E-11	0.973707	0.1000003	-7.8E-12	0.973707
-3.9	-7.67E-11	0.996915	0.1000003	-8.2E-12	0.996915
-4	-7.73E-11	1.020124	0.1000002	-8.5E-12	1.020124
-4.1	-7.55E-11	1.043423	0.1000003	-8.8E-12	1.043423
-4.2	-5.65E-11	1.097368	0.1000001	-1.04E-11	1.097368
-4.3	-7.32E-11	1.120715	0.1000003	-9.2E-12	1.120715
-4.4	-7.67E-11	1.143938	0.1000002	-8.4E-12	1.143938
-4.5	-7.69E-11	1.167157	0.1000003	-8.6E-12	1.167157
-4.6	-7.77E-11	1.190424	0.1000002	-8.1E-12	1.190424
-4.7	-7.65E-11	1.213711	0.1000003	-8.8E-12	1.213711
-4.8	-7.81E-11	1.236927	0.1000003	-8.3E-12	1.236927
-4.9	-7.87E-11	1.260162	0.1000002	-8.5E-12	1.260162
-5	-7.75E-11	1.283539	0.1000002	-8.7E-12	1.283539
-5.1	-7.78E-11	1.306824	0.1000002	-8.5E-12	1.306824
-5.2	-7.96E-11	1.330075	0.1000003	-8.4E-12	1.330075
-5.3	-8.01E-11	1.3533	0.1000003	-8E-12	1.3533
-5.4	-7.8E-11	1.376591	0.1000001	-8.1E-12	1.376591
-5.5	-7.88E-11	1.399876	0.1000003	-8.1E-12	1.399876
-5.6	-8.08E-11	1.423083	0.1000001	-8.1E-12	1.423083
-5.7	-8.05E-11	1.446327	0.1000003	-7.6E-12	1.446327
-5.8	-7.97E-11	1.46961	0.1000002	-8.3E-12	1.46961
-5.9	-7.95E-11	1.492885	0.1000003	-8.1E-12	1.492885
-6	-8.14E-11	1.516161	0.1000004	-8E-12	1.516161
-6.1	-8.18E-11	1.539387	0.1000003	-7.9E-12	1.539387
-6.2	-6.12E-11	1.59454	0.1000001	-9.6E-12	1.59454
-6.3	-7.86E-11	1.617848	0.1000002	-8.2E-12	1.617848
-6.4	-7.96E-11	1.641155	0.1000002	-8.2E-12	1.641155
-6.5	-8.18E-11	1.664373	0.1000002	-8E-12	1.664373
-6.6	-8.22E-11	1.687642	0.1000003	-8.3E-12	1.687642
-6.7	-8.01E-11	1.710936	0.1000003	-8.3E-12	1.710936
-6.8	-7.96E-11	1.73427	0.1000003	-8.5E-12	1.73427
-6.9	-8.31E-11	1.757491	0.1000003	-8.4E-12	1.757491
-7	-8.35E-11	1.780823	0.1000003	-8.1E-12	1.780823
-7.1	-8.19E-11	1.804116	0.1000003	-8.5E-12	1.804116
-7.2	-8.36E-11	1.827593	0.1000003	-8E-12	1.827593
-7.3	-8.25E-11	1.850931	0.1000004	-8.4E-12	1.850931
-7.4	-8.22E-11	1.874228	0.1000002	-8.2E-12	1.874228
-7.5	-8.46E-11	1.897422	0.1000003	-7.9E-12	1.897422
-7.6	-8.47E-11	1.920637	0.1000001	-8E-12	1.920637
-7.7	-8.32E-11	1.943928	0.1000003	-8.3E-12	1.943928
-7.8	-8.28E-11	1.967229	0.1000003	-8.2E-12	1.967229
-7.9	-8.5E-11	1.990433	0.1000003	-8.3E-12	1.990433
-8	-8.48E-11	2.013668	0.1000001	-8E-12	2.013668
-8.1	-8.36E-11	2.036957	0.1000003	-8.2E-12	2.036957
-8.2	-8.59E-11	2.060174	0.1000003	-8.5E-12	2.060174
