#scan	iMeasureCycle=1	iMux=0	time=0.031	N=401	LocalTime=20/04/2023 05:01:42
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-1E-07	-1.518E-10	0.033941	0.0999999	1.94947E-05	0.033941
-0.1000004	-2.106E-10	0.058813	0.0999999	1.86721E-05	0.058813
-0.2000005	-2.595E-10	0.083314	0.0999998	1.78554E-05	0.083314
-0.300001	-1.929E-10	0.108085	0.1	1.70423E-05	0.108085
-0.4	-1.094E-10	0.132591	0.1000001	1.62334E-05	0.132591
-0.5	-8.39E-11	0.157121	0.0999999	1.54292E-05	0.157121
-0.6	-7.17E-11	0.181634	0.1	1.46293E-05	0.181634
-0.7	-6.43E-11	0.206141	0.1000001	1.3834E-05	0.206141
-0.8	-5.97E-11	0.230685	0.1	1.30447E-05	0.230685
-0.9	-5.69E-11	0.255217	0.0999997	1.22616E-05	0.255217
-1	-5.45E-11	0.279724	0.0999999	1.14859E-05	0.279724
-1.1	-5.3E-11	0.304281	0.0999999	1.07182E-05	0.304281
-1.2	-5.23E-11	0.328796	0.0999999	9.9599E-06	0.328796
-1.3	-5.17E-11	0.353318	0.0999999	9.2131E-06	0.353318
-1.4	-4.75E-11	0.380446	0.1000001	8.48203E-06	0.380446
-1.5	-5.05E-11	0.404967	0.1	7.76048E-06	0.404967
-1.6	-5.11E-11	0.429473	0.1000001	7.05646E-06	0.429473
-1.7	-5.01E-11	0.454039	0.1	6.37117E-06	0.454039
-1.8	-5.1E-11	0.478549	0.1	5.70753E-06	0.478549
-1.9	-5.09E-11	0.503069	0.1	5.06913E-06	0.503069
-2	-5.07E-11	0.527743	0.0999999	4.45784E-06	0.527743
-2.1	-5.12E-11	0.552269	0.1	3.8777E-06	0.552269
-2.2	-4.46E-11	0.600075	0.1	3.33482E-06	0.600075
-2.3	-4.99E-11	0.624588	0.0999998	2.82404E-06	0.624588
-2.4	-5.03E-11	0.649129	0.0999999	2.35573E-06	0.649129
-2.5	-5.09E-11	0.673656	0.1	1.93018E-06	0.673656
-2.6	-5.14E-11	0.698208	0.1	1.54892E-06	0.698208
-2.7	-5.23E-11	0.722716	0.0999999	1.21343E-06	0.722716
-2.8	-5.26E-11	0.747237	0.0999999	9.2336E-07	0.747237
-2.9	-4.91E-11	0.774574	0.0999997	6.79902E-07	0.774574
-3	-5.3E-11	0.799079	0.0999996	4.79214E-07	0.799079
-3.1	-5.31E-11	0.823594	0.0999996	3.21349E-07	0.823594
-3.2	-5.34E-11	0.848135	0.0999998	2.02678E-07	0.848135
-3.3	-5.4E-11	0.872648	0.0999997	1.18918E-07	0.872648
-3.4	-4.88E-11	0.910295	0.0999953	6.48718E-08	0.910295
-3.5	-6.85E-11	0.933507	0.1000074	3.14604E-08	0.933507
-3.6	-6.76E-11	0.956802	0.1000027	1.36921E-08	0.956802
-3.7	-6.85E-11	0.980077	0.1000013	5.3578E-09	0.980077
-3.8	-6.88E-11	1.003356	0.1000007	1.8651E-09	1.003356
-3.9	-7.1E-11	1.02658	0.1000006	5.698E-10	1.02658
-4	-7.12E-11	1.049869	0.1000002	1.476E-10	1.049869
-4.1	-5.03E-11	1.100321	0.1000001	2.79E-11	1.100321
-4.2	-6.85E-11	1.123671	0.1000002	7E-13	1.123671
-4.3	-7.09E-11	1.146897	0.1000003	-3.5E-12	1.146897
-4.4	-7.1E-11	1.170112	0.1000002	-4.1E-12	1.170112
-4.5	-7.02E-11	1.193447	0.1000003	-4.7E-12	1.193447
-4.6	-7.05E-11	1.216736	0.1000003	-4.6E-12	1.216736
-4.7	-7.28E-11	1.239935	0.1000004	-4.5E-12	1.239935
-4.8	-7.33E-11	1.26316	0.1000005	-4.2E-12	1.26316
-4.9	-7.16E-11	1.286443	0.1000002	-4E-12	1.286443
-5	-7.15E-11	1.309739	0.1000003	-4.5E-12	1.309739
-5.1	-7.39E-11	1.332951	0.1000002	-3.7E-12	1.332951
-5.2	-7.39E-11	1.356165	0.1000004	-4.2E-12	1.356165
-5.3	-7.27E-11	1.379445	0.1000002	-4.2E-12	1.379445
-5.4	-7.29E-11	1.402733	0.1000003	-4E-12	1.402733
-5.5	-7.47E-11	1.425932	0.1000003	-4E-12	1.425932
-5.6	-7.5E-11	1.449195	0.1000004	-4.5E-12	1.449195
-5.7	-7.34E-11	1.472495	0.1000003	-4.1E-12	1.472495
-5.8	-7.37E-11	1.495783	0.1000003	-4.1E-12	1.495783
-5.9	-7.48E-11	1.519045	0.1000002	-4.5E-12	1.519045
-6	-7.31E-11	1.542469	0.1000001	-4.4E-12	1.542469
-6.1	-5.49E-11	1.598963	0.0999999	-5.8E-12	1.598963
-6.2	-7.51E-11	1.622196	0.1000002	-4.1E-12	1.622196
-6.3	-7.59E-11	1.645414	0.1000003	-3.9E-12	1.645414
-6.4	-7.38E-11	1.668709	0.1000004	-4.1E-12	1.668709
-6.5	-7.47E-11	1.692067	0.1000003	-4.3E-12	1.692067
-6.6	-7.65E-11	1.715288	0.1000002	-4.3E-12	1.715288
-6.7	-7.48E-11	1.738575	0.1000001	-4.1E-12	1.738575
-6.8	-7.49E-11	1.761889	0.1000001	-4.6E-12	1.761889
-6.9	-7.65E-11	1.785179	0.1000003	-3.8E-12	1.785179
-7	-7.77E-11	1.808402	0.1000003	-3.7E-12	1.808402
-7.1	-7.78E-11	1.831611	0.1000002	-3.8E-12	1.831611
-7.2	-7.66E-11	1.854908	0.1000002	-3.2E-12	1.854908
-7.3	-7.84E-11	1.878122	0.1	-3.6E-12	1.878122
-7.4	-7.64E-11	1.901411	0.1000005	-3.5E-12	1.901411
-7.5	-7.64E-11	1.924695	0.1000003	-3.9E-12	1.924695
-7.6	-7.68E-11	1.947969	0.1000003	-4.2E-12	1.947969
-7.7	-7.85E-11	1.971282	0.1000004	-4E-12	1.971282
-7.8	-7.91E-11	1.994494	0.1000004	-3.9E-12	1.994494
-7.9	-7.81E-11	2.017789	0.1000002	-4.3E-12	2.017789
-8	-7.76E-11	2.041177	0.1000003	-3.9E-12	2.041177
-8.1	-5.76E-11	2.100364	0.0999999	-5.1E-12	2.100364
-8.2	-7.71E-11	2.123626	0.1000003	-3.4E-12	2.123626
-8.3	-7.83E-11	2.146844	0.1000003	-3.4E-12	2.146844
-8.4	-7.67E-11	2.170145	0.1000003	-3.6E-12	2.170145
-8.5	-7.89E-11	2.193407	0.1000003	-3.5E-12	2.193407
-8.6	-7.97E-11	2.216621	0.1000002	-3.3E-12	2.216621
-8.7	-7.96E-11	2.239839	0.1000002	-3.6E-12	2.239839
-8.8	-7.92E-11	2.263068	0.1000002	-3.7E-12	2.263068
-8.9	-7.82E-11	2.286366	0.1000001	-3.9E-12	2.286366
-9	-8.01E-11	2.30964	0.1000004	-3.8E-12	2.30964
-9.1	-8.07E-11	2.332844	0.1000003	-3.7E-12	2.332844
-9.2	-7.91E-11	2.356221	0.1000001	-4E-12	2.356221
-9.3	-8.07E-11	2.379438	0.1000003	-3.8E-12	2.379438
-9.4	-8.11E-11	2.402663	0.1000002	-3.8E-12	2.402663
-9.5	-8.13E-11	2.425881	0.1000003	-3.7E-12	2.425881
-9.6	-8E-11	2.449226	0.1000003	-3.9E-12	2.449226
-9.7	-8.13E-11	2.472535	0.1000001	-3.4E-12	2.472535
-9.8	-8.03E-11	2.495822	0.1000003	-4E-12	2.495822
-9.9	-8.03E-11	2.519099	0.1000001	-4E-12	2.519099
-10	-8.2E-11	2.542394	0.1000003	-3.6E-12	2.542394
-9.90001	-5.65E-11	2.597404	0.1	-5.3E-12	2.597404
-9.80001	-3.67E-11	2.62074	0.0999999	-7.5E-12	2.62074
-9.70001	-3.29E-11	2.643954	0.0999997	-7.5E-12	2.643954
-9.60001	-3.16E-11	2.667216	0.0999998	-6.9E-12	2.667216
-9.50001	-3.17E-11	2.690558	0.0999999	-7.6E-12	2.690558
-9.40001	-2.85E-11	2.71378	0.1	-7.8E-12	2.71378
-9.30001	-2.79E-11	2.736988	0.0999998	-7.7E-12	2.736988
-9.20001	-2.61E-11	2.760204	0.0999999	-7.4E-12	2.760204
-9.10001	-2.73E-11	2.78354	0.0999998	-7.4E-12	2.78354
-9.00001	-2.69E-11	2.806832	0.0999996	-7.4E-12	2.806832
-8.90001	-2.41E-11	2.830027	0.0999999	-7.6E-12	2.830027
-8.80001	-2.41E-11	2.853241	0.0999998	-7.5E-12	2.853241
-8.70001	-2.47E-11	2.876609	0.0999999	-7.3E-12	2.876609
-8.60001	-2.24E-11	2.899809	0.0999997	-8E-12	2.899809
-8.50001	-2.17E-11	2.923023	0.1	-7.8E-12	2.923023
-8.40001	-2.13E-11	2.946245	0.0999998	-7.8E-12	2.946245
-8.30001	-2.25E-11	2.969542	0.0999999	-7.7E-12	2.969542
-8.20001	-2.31E-11	2.992876	0.0999999	-7.5E-12	2.992876
-8.10001	-2.03E-11	3.016082	0.1	-7.8E-12	3.016082
-8	-2.03E-11	3.039372	0.0999998	-7.5E-12	3.039372
-7.90001	-2.14E-11	3.062664	0.0999999	-7.3E-12	3.062664
-7.80001	-3.88E-11	3.10343	0.1000001	-6.2E-12	3.10343
-7.70001	-2.05E-11	3.126769	0.0999997	-7.6E-12	3.126769
-7.6	-2.04E-11	3.150067	0.0999998	-7.7E-12	3.150067
-7.50001	-1.81E-11	3.173281	0.0999998	-8.2E-12	3.173281
-7.40001	-1.76E-11	3.196549	0.0999999	-7.9E-12	3.196549
-7.30001	-1.88E-11	3.219834	0.0999998	-7.9E-12	3.219834
-7.2	-1.86E-11	3.24312	0.1	-7.5E-12	3.24312
-7.10001	-1.63E-11	3.266414	0.0999998	-7.5E-12	3.266414
-7.00001	-1.57E-11	3.289627	0.0999997	-7.8E-12	3.289627
-6.90001	-1.73E-11	3.312917	0.0999997	-7.4E-12	3.312917
-6.80001	-1.52E-11	3.336156	0.1	-8.1E-12	3.336156
-6.70001	-1.47E-11	3.359372	0.0999998	-8.2E-12	3.359372
-6.60001	-1.43E-11	3.382598	0.0999997	-7.8E-12	3.382598
-6.50001	-1.51E-11	3.40589	0.1	-7.7E-12	3.40589
-6.40001	-1.53E-11	3.42919	0.0999999	-7.7E-12	3.42919
-6.30001	-1.29E-11	3.452457	0.0999996	-7.7E-12	3.452457
-6.20001	-1.29E-11	3.47568	0.0999998	-8.1E-12	3.47568
-6.10001	-1.38E-11	3.498973	0.0999999	-7.7E-12	3.498973
-6.00001	-1.18E-11	3.522185	0.0999999	-8E-12	3.522185
-5.90001	-1.13E-11	3.545487	0.0999998	-7.8E-12	3.545487
-5.80001	-3.28E-11	3.605056	0.1000001	-6.3E-12	3.605056
-5.70001	-1.48E-11	3.628372	0.0999999	-7.7E-12	3.628372
-5.60001	-1.15E-11	3.65158	0.0999996	-8.1E-12	3.65158
-5.50001	-1.12E-11	3.6748	0.0999997	-7.9E-12	3.6748
-5.40001	-1.26E-11	3.698137	0.0999997	-8E-12	3.698137
-5.30001	-1.21E-11	3.721441	0.0999998	-8.1E-12	3.721441
-5.20001	-9E-12	3.744641	0.0999997	-8.1E-12	3.744641
-5.1	-9.2E-12	3.767864	0.0999999	-8.2E-12	3.767864
-5.00001	-1.02E-11	3.791199	0.0999998	-8.1E-12	3.791199
-4.90001	-1.02E-11	3.814492	0.0999997	-8.4E-12	3.814492
-4.80001	-7.7E-12	3.837702	0.0999999	-8.4E-12	3.837702
-4.7	-7.2E-12	3.860912	0.0999997	-8.7E-12	3.860912
-4.60001	-9E-12	3.884233	0.0999998	-8E-12	3.884233
-4.50001	-7.6E-12	3.907538	0.0999999	-8.2E-12	3.907538
-4.40001	-6.4E-12	3.930777	0.0999999	-8.3E-12	3.930777
-4.3	-7E-12	3.954065	0.0999999	-6.6E-12	3.954065
-4.20001	-6.3E-12	3.977435	0.0999997	5.1E-12	3.977435
-4.10001	-3.8E-12	4.000653	0.0999999	6.25E-11	4.000653
-4.00001	-5.6E-12	4.023943	0.1	2.881E-10	4.023943
-3.90001	-4.8E-12	4.047317	0.1	1.0086E-09	4.047317
-3.80001	-2.42E-11	4.106836	0.1000005	2.9245E-09	4.106836
-3.70001	-4E-12	4.130104	0.1000006	8.0817E-09	4.130104
-3.60001	-2.9E-12	4.153314	0.1000012	1.94965E-08	4.153314
-3.50001	-3.6E-12	4.176674	0.1000017	4.19817E-08	4.176674
-3.40001	-1.6E-12	4.199952	0.0999962	8.17214E-08	4.199952
-3.30001	-2.11E-11	4.239408	0.1000001	1.43074E-07	4.239408
-3.20001	-1.63E-11	4.263926	0.1000005	2.37792E-07	4.263926
-3.10001	-1.52E-11	4.288466	0.1000004	3.67223E-07	4.288466
-3.00001	-1.45E-11	4.31299	0.1000004	5.35855E-07	4.31299
-2.90001	-1.38E-11	4.337478	0.1000009	7.46616E-07	4.337478
-2.80001	-1.28E-11	4.361999	0.1000007	1.001515E-06	4.361999
-2.70001	-1.72E-11	4.396666	0.1000001	1.29661E-06	4.396666
-2.60001	-1.25E-11	4.421183	0.1000001	1.64375E-06	4.421183
-2.50001	-1.17E-11	4.445692	0.1	2.03362E-06	4.445692
-2.40001	-1.08E-11	4.470286	0.1	2.46674E-06	4.470286
-2.30001	-9.8E-12	4.494883	0.1	2.94195E-06	4.494883
-2.20001	-9E-12	4.519457	0.1	3.45594E-06	4.519457
-2.1	-1.15E-11	4.545993	0.1000001	4.00722E-06	4.545993
-2.000001	-1.53E-11	4.610134	0.1	4.57863E-06	4.610134
-1.900001	-9.5E-12	4.634692	0.1	5.19785E-06	4.634692
-1.8	-7.1E-12	4.659217	0.1000001	5.84047E-06	4.659217
-1.7	-6.4E-12	4.683796	0.1	6.50712E-06	4.683796
-1.6	-5.4E-12	4.708376	0.1	7.19295E-06	4.708376
-1.5	-4.1E-12	4.732885	0.1	7.89801E-06	4.732885
-1.4	-3.1E-12	4.757442	0.1	8.61892E-06	4.757442
-1.3	-1.4E-12	4.781937	0.0999999	9.35285E-06	4.781937
-1.2	-8E-13	4.806486	0.1	1.009881E-05	4.806486
-1.100001	-4.5E-12	4.841134	0.0999997	1.08476E-05	4.841134
-1	6E-13	4.865666	0.1000002	1.16147E-05	4.865666
-0.9	2.3E-12	4.890211	0.0999999	1.23896E-05	4.890211
-0.8	3.4E-12	4.91484	0.1000002	1.31701E-05	4.91484
-0.700001	5.2E-12	4.939344	0.0999999	1.39575E-05	4.939344
-0.6	6.6E-12	4.963878	0.1000002	1.47503E-05	4.963878
-0.500001	8.2E-12	4.988387	0.1000001	1.55479E-05	4.988387
-0.4	1.01E-11	5.012903	0.1000001	1.63493E-05	5.012903
-0.300001	1.13E-11	5.037398	0.0999998	1.71548E-05	5.037398
-0.2	9.2E-12	5.063901	0.1	1.79641E-05	5.063901
-0.1000001	8.4E-12	5.110876	0.0999999	1.87733E-05	5.110876
3E-07	1.48E-11	5.13542	0.0999999	1.95926E-05	5.13542
0.1000003	1.73E-11	5.159945	0.1000001	2.04156E-05	5.159945
0.2000001	1.93E-11	5.184437	0.1	2.1243E-05	5.184437
0.299999	2.11E-11	5.20919	0.1	2.20751E-05	5.20919
0.4	2.35E-11	5.233731	0.0999998	2.2911E-05	5.233731
0.5	2.52E-11	5.258226	0.1000001	2.37513E-05	5.258226
0.599999	2.71E-11	5.28276	0.1	2.45952E-05	5.28276
0.7	2.96E-11	5.307271	0.1	2.54415E-05	5.307271
0.799999	3.12E-11	5.331777	0.0999999	2.62893E-05	5.331777
0.9	3.31E-11	5.356283	0.1	2.71393E-05	5.356283
0.999999	3.44E-11	5.380801	0.0999999	2.799E-05	5.380801
1.1	3.63E-11	5.405359	0.1	2.88428E-05	5.405359
1.2	3.74E-11	5.429865	0.1	2.96963E-05	5.429865
1.3	3.9E-11	5.454427	0.1000001	3.05507E-05	5.454427
1.4	4.01E-11	5.478972	0.1	3.14062E-05	5.478972
1.5	4.17E-11	5.50343	0.1000002	3.22622E-05	5.50343
1.599999	4.27E-11	5.527971	0.1000001	3.31182E-05	5.527971
1.699999	4.4E-11	5.552601	0.1000001	3.39756E-05	5.552601
1.799999	3.72E-11	5.612634	0.1000001	3.48213E-05	5.612634
1.9	4.29E-11	5.637168	0.1	3.56837E-05	5.637168
2	4.45E-11	5.661676	0.0999999	3.65446E-05	5.661676
2.099999	4.5E-11	5.686204	0.1000002	3.74055E-05	5.686204
2.19999	4.57E-11	5.710966	0.1	3.82633E-05	5.710966
2.29999	4.67E-11	5.735511	0.1	3.9125E-05	5.735511
