#scan	iMeasureCycle=1	iMux=0	time=0.028	N=401	LocalTime=20/04/2023 14:54:14
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
0	-4.3E-12	0.035457	0.0999999	2.10074E-05	0.035457
-0.1000004	-9.5E-12	0.060381	0.1000002	2.01611E-05	0.060381
-0.2	-8E-12	0.08629	0.1	1.93207E-05	0.08629
-0.3	-1.19E-11	0.111011	0.1000001	1.84845E-05	0.111011
-0.4	-1.25E-11	0.135548	0.1	1.76532E-05	0.135548
-0.5	-1.34E-11	0.160056	0.1	1.68263E-05	0.160056
-0.6	-1.38E-11	0.184673	0.0999998	1.60047E-05	0.184673
-0.7	-1.37E-11	0.209228	0.0999998	1.51884E-05	0.209228
-0.8	-1.46E-11	0.233737	0.0999999	1.43781E-05	0.233737
-0.9	-1.47E-11	0.258286	0.1	1.35751E-05	0.258286
-1	-1.53E-11	0.282804	0.0999999	1.27787E-05	0.282804
-1.1	-1.58E-11	0.307324	0.0999999	1.19914E-05	0.307324
-1.2	-1.62E-11	0.331828	0.0999999	1.12135E-05	0.331828
-1.3	-1.61E-11	0.356361	0.1	1.04461E-05	0.356361
-1.4	-1.67E-11	0.380867	0.1	9.6918E-06	0.380867
-1.5	-1.32E-11	0.408054	0.1	8.95463E-06	0.408054
-1.6	-1.67E-11	0.432544	0.0999999	8.2286E-06	0.432544
-1.7	-1.72E-11	0.457082	0.1000001	7.52038E-06	0.457082
-1.8	-1.73E-11	0.481696	0.0999999	6.83348E-06	0.481696
-1.9	-1.76E-11	0.506214	0.0999999	6.16841E-06	0.506214
-2	-1.79E-11	0.530713	0.1	5.52923E-06	0.530713
-2.1	-1.79E-11	0.555323	0.0999998	4.91774E-06	0.555323
-2.2	-1.29E-11	0.59764	0.0999999	4.3385E-06	0.59764
-2.3	-1.74E-11	0.622149	0.1	3.78889E-06	0.622149
-2.4	-1.79E-11	0.646697	0.1	3.27628E-06	0.646697
-2.5	-1.79E-11	0.671272	0.0999999	2.80085E-06	0.671272
-2.6	-1.81E-11	0.695896	0.0999998	2.36251E-06	0.695896
-2.7	-1.83E-11	0.720467	0.0999999	1.96402E-06	0.720467
-2.8	-1.88E-11	0.744992	0.0999999	1.60462E-06	0.744992
-2.9	-1.84E-11	0.769521	0.1	1.28561E-06	0.769521
-3	-1.88E-11	0.794036	0.0999998	1.00552E-06	0.794036
-3.1	-1.53E-11	0.82136	0.0999996	7.65364E-07	0.82136
-3.2	-1.88E-11	0.845887	0.0999997	5.62514E-07	0.845887
-3.3	-1.88E-11	0.870382	0.0999998	3.9714E-07	0.870382
-3.4	-1.93E-11	0.894911	0.0999995	2.67065E-07	0.894911
-3.5	-1.95E-11	0.919412	0.0999997	1.69503E-07	0.919412
-3.6	-1.91E-11	0.943978	0.0999998	1.00459E-07	0.943978
-3.7	-1.44E-11	0.981728	0.0999955	5.55685E-08	0.981728
-3.8	-3.38E-11	1.004956	0.1000053	2.77138E-08	1.004956
-3.9	-3.46E-11	1.028163	0.1000034	1.27324E-08	1.028163
-4	-3.08E-11	1.051543	0.1000009	5.3858E-09	1.051543
-4.1	-1.37E-11	1.102322	0.0999998	2.1961E-09	1.102322
-4.2	-3.17E-11	1.125635	0.1000004	7.807E-10	1.125635
-4.3	-3.24E-11	1.148915	0.1000001	2.481E-10	1.148915
-4.4	-3.45E-11	1.172155	0.1000002	6.61E-11	1.172155
-4.5	-3.48E-11	1.195416	0.1000002	1.31E-11	1.195416
-4.6	-3.31E-11	1.218711	0.1000002	-2E-13	1.218711
-4.7	-3.31E-11	1.241982	0.1000001	-3.2E-12	1.241982
-4.8	-3.54E-11	1.265202	0.1000002	-3.5E-12	1.265202
-4.9	-3.37E-11	1.28849	0.1000002	-3.7E-12	1.28849
-5	-3.37E-11	1.311839	0.1000002	-3.9E-12	1.311839
-5.1	-3.38E-11	1.335127	0.1000001	-3.9E-12	1.335127
-5.2	-3.58E-11	1.358337	0.1000001	-3.7E-12	1.358337
-5.3	-3.58E-11	1.381544	0.1000002	-3.8E-12	1.381544
-5.4	-3.59E-11	1.404792	0.1000001	-3.5E-12	1.404792
-5.5	-3.43E-11	1.428094	0.1000002	-3.9E-12	1.428094
-5.6	-3.46E-11	1.451377	0.1000001	-3.7E-12	1.451377
-5.7	-3.6E-11	1.474669	0.1000002	-3.5E-12	1.474669
-5.8	-3.47E-11	1.498047	0.1	-3.5E-12	1.498047
-5.9	-3.6E-11	1.521273	0.1000002	-3.8E-12	1.521273
-6	-3.64E-11	1.544481	0.1	-3.8E-12	1.544481
-6.1	-1.55E-11	1.601196	0.0999998	-5.7E-12	1.601196
-6.2	-3.5E-11	1.624416	0.1000002	-3.6E-12	1.624416
-6.3	-3.54E-11	1.647636	0.1000002	-3.6E-12	1.647636
-6.4	-3.56E-11	1.670874	0.1000002	-3.6E-12	1.670874
-6.5	-3.39E-11	1.694224	0.1000001	-4E-12	1.694224
-6.6	-3.58E-11	1.717445	0.1	-4E-12	1.717445
-6.7	-3.64E-11	1.740721	0.1000004	-4.4E-12	1.740721
-6.8	-3.62E-11	1.763931	0.1000001	-4.3E-12	1.763931
-6.9	-3.47E-11	1.787209	0.1000003	-4.3E-12	1.787209
-7	-3.5E-11	1.810502	0.1000001	-4.4E-12	1.810502
-7.1	-3.67E-11	1.833714	0.1000003	-4E-12	1.833714
-7.2	-3.72E-11	1.856931	0.1000002	-3.6E-12	1.856931
-7.3	-3.51E-11	1.880225	0.1000003	-4E-12	1.880225
-7.4	-3.45E-11	1.903521	0.1000001	-3.9E-12	1.903521
-7.5	-3.59E-11	1.926758	0.1000002	-4E-12	1.926758
-7.6	-3.66E-11	1.94997	0.1000003	-3.5E-12	1.94997
-7.7	-3.51E-11	1.973342	0.1000001	-4.3E-12	1.973342
-7.8	-3.7E-11	1.996554	0.1000001	-3.8E-12	1.996554
-7.9	-3.71E-11	2.019786	0.1	-4.5E-12	2.019786
-8	-3.69E-11	2.043007	0.1000003	-4.1E-12	2.043007
-8.1	-1.59E-11	2.102539	0.1	-5.7E-12	2.102539
-8.2	-3.52E-11	2.125774	0.1000003	-4.5E-12	2.125774
-8.3	-3.61E-11	2.148995	0.1000002	-4.1E-12	2.148995
-8.4	-3.43E-11	2.172317	0.1000003	-4.5E-12	2.172317
-8.5	-3.47E-11	2.195663	0.1000002	-4.3E-12	2.195663
-8.6	-3.66E-11	2.218881	0.1000001	-3.8E-12	2.218881
-8.7	-3.69E-11	2.242105	0.1000002	-3.8E-12	2.242105
-8.8	-3.7E-11	2.26532	0.1000002	-3.8E-12	2.26532
-8.9	-3.58E-11	2.288607	0.1000001	-4.3E-12	2.288607
-9	-3.52E-11	2.311901	0.1000002	-4E-12	2.311901
-9.1	-3.74E-11	2.335109	0.1000002	-4.3E-12	2.335109
-9.2	-3.77E-11	2.358323	0.1000003	-4.2E-12	2.358323
-9.3	-3.61E-11	2.381614	0.1000001	-4.2E-12	2.381614
-9.4	-3.59E-11	2.404982	0.1000003	-4.1E-12	2.404982
-9.5	-3.79E-11	2.428203	0.1	-3.5E-12	2.428203
-9.6	-3.62E-11	2.451484	0.1000001	-3.7E-12	2.451484
