#scan	iMeasureCycle=1	iMux=0	time=0.02	N=401	LocalTime=20/04/2023 11:36:47
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-2E-07	-5.6E-12	0.022892	0.1	2.73086E-05	0.022892
-0.1000001	-1.07E-11	0.047759	0.1	2.64482E-05	0.047759
-0.2000003	-1.17E-11	0.072274	0.0999999	2.5593E-05	0.072274
-0.3	-1.28E-11	0.097001	0.0999998	2.47407E-05	0.097001
-0.4	-1.36E-11	0.121509	0.0999999	2.38926E-05	0.121509
-0.5	-1.42E-11	0.146064	0.0999998	2.30483E-05	0.146064
-0.6	-1.53E-11	0.170619	0.1	2.22055E-05	0.170619
-0.7	-1.52E-11	0.195215	0.1	2.13666E-05	0.195215
-0.8	-1.61E-11	0.219731	0.1	2.05308E-05	0.219731
-0.9	-1.61E-11	0.244233	0.0999998	1.96984E-05	0.244233
-1	-1.65E-11	0.268764	0.0999999	1.88692E-05	0.268764
-1.1	-1.68E-11	0.293315	0.1	1.80435E-05	0.293315
-1.2	-1.72E-11	0.317874	0.0999998	1.72218E-05	0.317874
-1.3	-1.77E-11	0.34238	0.1	1.64058E-05	0.34238
-1.4	-1.78E-11	0.366954	0.1	1.55942E-05	0.366954
-1.5	-1.79E-11	0.391464	0.1000001	1.4789E-05	0.391464
-1.6	-1.82E-11	0.415987	0.1	1.39899E-05	0.415987
-1.7	-1.83E-11	0.440503	0.1	1.31983E-05	0.440503
-1.8	-1.86E-11	0.465022	0.1000001	1.24143E-05	0.465022
-1.9	-1.91E-11	0.489539	0.1	1.16407E-05	0.489539
-2	-1.89E-11	0.514103	0.0999998	1.08764E-05	0.514103
-2.1	-1.91E-11	0.538607	0.0999999	1.01251E-05	0.538607
-2.2	-1.31E-11	0.589085	0.1	9.3878E-06	0.589085
-2.3	-1.43E-11	0.616213	0.0999999	8.66781E-06	0.616213
-2.4	-1.84E-11	0.640846	0.0999999	7.96063E-06	0.640846
-2.5	-1.89E-11	0.665378	0.0999999	7.27358E-06	0.665378
-2.6	-1.89E-11	0.689971	0.0999998	6.60723E-06	0.689971
-2.7	-1.91E-11	0.714495	0.0999998	5.96494E-06	0.714495
-2.8	-1.95E-11	0.738999	0.0999999	5.34784E-06	0.738999
-2.9	-1.96E-11	0.763508	0.0999999	4.76011E-06	0.763508
-3	-1.96E-11	0.788041	0.0999999	4.20175E-06	0.788041
-3.1	-1.97E-11	0.812574	0.1	3.67601E-06	0.812574
-3.2	-1.98E-11	0.837142	0.1	3.18313E-06	0.837142
-3.3	-2.04E-11	0.861661	0.1	2.72566E-06	0.861661
-3.4	-2.02E-11	0.886162	0.1	2.30462E-06	0.886162
-3.5	-2.06E-11	0.910704	0.0999999	1.92031E-06	0.910704
-3.6	-2.05E-11	0.935243	0.0999999	1.57294E-06	0.935243
-3.7	-2.09E-11	0.959808	0.1	1.26349E-06	0.959808
-3.8	-2.11E-11	0.984319	0.0999999	9.912E-07	0.984319
-3.9	-1.74E-11	1.011761	0.0999997	7.57865E-07	1.011761
-4	-2.08E-11	1.036263	0.0999996	5.59754E-07	1.036263
-4.1	-1.55E-11	1.08767	0.0999998	4.00415E-07	1.08767
-4.2	-1.99E-11	1.11215	0.0999997	2.71142E-07	1.11215
-4.3	-2.01E-11	1.13668	0.0999998	1.73876E-07	1.13668
-4.4	-1.96E-11	1.161433	0.0999999	1.04425E-07	1.161433
-4.5	-1.54E-11	1.19923	0.0999975	5.86985E-08	1.19923
-4.6	-3.48E-11	1.222443	0.100008	2.96429E-08	1.222443
-4.7	-3.37E-11	1.245728	0.1000027	1.35933E-08	1.245728
-4.8	-3.6E-11	1.268938	0.1000019	5.6332E-09	1.268938
-4.9	-3.63E-11	1.292153	0.1000008	2.0858E-09	1.292153
-5	-3.49E-11	1.315526	0.1000006	6.883E-10	1.315526
-5.1	-3.64E-11	1.338746	0.1000004	1.986E-10	1.338746
-5.2	-3.63E-11	1.361976	0.1000002	4.63E-11	1.361976
-5.3	-3.64E-11	1.385202	0.1000003	6.3E-12	1.385202
-5.4	-3.73E-11	1.408423	0.1000002	-2.7E-12	1.408423
-5.5	-3.66E-11	1.431653	0.1000004	-4.7E-12	1.431653
-5.6	-3.52E-11	1.454963	0.1000004	-5E-12	1.454963
-5.7	-3.69E-11	1.47817	0.1000003	-5.3E-12	1.47817
-5.8	-3.68E-11	1.501453	0.1000003	-5.2E-12	1.501453
-5.9	-3.56E-11	1.524742	0.1000001	-5.1E-12	1.524742
-6	-3.69E-11	1.547967	0.1000003	-5.4E-12	1.547967
-6.1	-1.72E-11	1.590655	0.1000001	-6.8E-12	1.590655
-6.2	-3.46E-11	1.613964	0.1000004	-5.3E-12	1.613964
-6.3	-3.53E-11	1.63727	0.1000003	-5.4E-12	1.63727
-6.4	-3.71E-11	1.660472	0.1000002	-5.1E-12	1.660472
-6.5	-3.57E-11	1.683819	0.1000003	-5.6E-12	1.683819
-6.6	-3.59E-11	1.707194	0.1000003	-5.4E-12	1.707194
-6.7	-3.73E-11	1.730415	0.1000003	-5.3E-12	1.730415
-6.8	-3.58E-11	1.753702	0.1000003	-5.5E-12	1.753702
-6.9	-3.6E-11	1.776973	0.1000002	-5.2E-12	1.776973
-7	-3.6E-11	1.800271	0.1000002	-5.1E-12	1.800271
-7.1	-3.75E-11	1.823492	0.1000004	-5E-12	1.823492
-7.2	-3.81E-11	1.846756	0.1000003	-5.3E-12	1.846756
-7.3	-3.63E-11	1.870041	0.1000004	-5.1E-12	1.870041
-7.4	-3.62E-11	1.893326	0.1000003	-5.3E-12	1.893326
-7.5	-3.77E-11	1.916537	0.1000002	-4.9E-12	1.916537
-7.6	-3.79E-11	1.939751	0.1000001	-5.2E-12	1.939751
-7.7	-3.77E-11	1.962979	0.1000003	-4.9E-12	1.962979
-7.8	-3.64E-11	1.986266	0.1	-5.2E-12	1.986266
-7.9	-3.81E-11	2.009565	0.1000003	-4.9E-12	2.009565
-8	-3.64E-11	2.032869	0.1000002	-5E-12	2.032869
-8.1	-1.72E-11	2.089326	0.1000001	-6.5E-12	2.089326
-8.2	-3.64E-11	2.112568	0.1000004	-5.2E-12	2.112568
-8.3	-3.69E-11	2.135865	0.1000002	-4.8E-12	2.135865
-8.4	-3.72E-11	2.159085	0.1000003	-4.9E-12	2.159085
-8.5	-3.57E-11	2.18243	0.1000003	-5.2E-12	2.18243
-8.6	-3.75E-11	2.205699	0.1000002	-4.9E-12	2.205699
-8.7	-3.76E-11	2.228931	0.1000003	-4.8E-12	2.228931
-8.8	-3.56E-11	2.252216	0.1000002	-5.7E-12	2.252216
-8.9	-3.64E-11	2.275504	0.1000002	-5.2E-12	2.275504
-9	-3.8E-11	2.298713	0.1000004	-4.7E-12	2.298713
-9.1	-3.82E-11	2.32193	0.1000003	-5.2E-12	2.32193
-9.2	-3.81E-11	2.345143	0.1	-5.1E-12	2.345143
-9.3	-3.67E-11	2.368421	0.1000002	-5.3E-12	2.368421
-9.4	-3.62E-11	2.391707	0.1000003	-5.4E-12	2.391707
-9.5	-3.84E-11	2.414931	0.1000003	-5.2E-12	2.414931
-9.6	-3.8E-11	2.438174	0.1000004	-5.3E-12	2.438174
-9.7	-3.63E-11	2.461467	0.1000003	-5.5E-12	2.461467
-9.8	-3.64E-11	2.484755	0.1000002	-5.2E-12	2.484755
-9.9	-3.86E-11	2.508028	0.1000002	-5.1E-12	2.508028
-10	-3.83E-11	2.531251	0.1000002	-5.3E-12	2.531251
