#scan	iMeasureCycle=1	iMux=0	time=0.018	N=401	LocalTime=20/04/2023 14:30:27
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-2E-07	-5.9E-12	0.02546	0.1	2.14724E-05	0.02546
-0.1000004	-1.1E-11	0.050335	0.0999999	2.06236E-05	0.050335
-0.2000001	-1.01E-11	0.076123	0.0999999	1.97803E-05	0.076123
-0.3	-1.33E-11	0.100853	0.0999998	1.89419E-05	0.100853
-0.4	-1.42E-11	0.125377	0.1	1.81082E-05	0.125377
-0.5	-1.49E-11	0.149879	0.1	1.7279E-05	0.149879
-0.6	-1.52E-11	0.174368	0.0999999	1.64545E-05	0.174368
-0.7	-1.56E-11	0.198994	0.0999999	1.56353E-05	0.198994
-0.8	-1.64E-11	0.223514	0.0999999	1.48221E-05	0.223514
-0.9	-1.65E-11	0.248037	0.1	1.40148E-05	0.248037
-1	-1.67E-11	0.272569	0.1	1.32142E-05	0.272569
-1.1	-1.72E-11	0.297132	0.1000001	1.24228E-05	0.297132
-1.2	-1.76E-11	0.321654	0.1000001	1.16392E-05	0.321654
-1.3	-1.81E-11	0.346184	0.0999998	1.08659E-05	0.346184
-1.4	-1.81E-11	0.370696	0.0999998	1.01045E-05	0.370696
-1.5	-1.81E-11	0.395214	0.0999999	9.3556E-06	0.395214
-1.6	-1.51E-11	0.422363	0.0999999	8.62609E-06	0.422363
-1.7	-1.84E-11	0.446998	0.0999997	7.90752E-06	0.446998
-1.8	-1.85E-11	0.471532	0.1	7.20846E-06	0.471532
-1.9	-1.92E-11	0.496068	0.0999999	6.53177E-06	0.496068
-2	-1.93E-11	0.520578	0.0999999	5.87788E-06	0.520578
-2.1	-1.92E-11	0.54513	0.0999999	5.25168E-06	0.54513
-2.2	-1.39E-11	0.591446	0.0999999	4.6536E-06	0.591446
-2.3	-1.85E-11	0.616032	0.0999999	4.08538E-06	0.616032
-2.4	-1.93E-11	0.640545	0.1	3.55311E-06	0.640545
-2.5	-1.91E-11	0.665077	0.0999997	3.05761E-06	0.665077
-2.6	-1.93E-11	0.689743	0.0999999	2.59838E-06	0.689743
-2.7	-2E-11	0.714276	0.0999998	2.17811E-06	0.714276
-2.8	-2.02E-11	0.73878	0.1	1.7964E-06	0.73878
-2.9	-1.99E-11	0.763332	0.1	1.45492E-06	0.763332
-3	-2.01E-11	0.787833	0.0999999	1.15304E-06	0.787833
-3.1	-1.66E-11	0.815174	0.0999997	8.9161E-07	0.815174
-3.2	-2.01E-11	0.839676	0.0999994	6.67748E-07	0.839676
-3.3	-2.04E-11	0.864221	0.0999996	4.81834E-07	0.864221
-3.4	-2.05E-11	0.88873	0.0999997	3.33047E-07	0.88873
-3.5	-2.05E-11	0.913285	0.0999998	2.17954E-07	0.913285
-3.6	-2.06E-11	0.937884	0.1	1.33857E-07	0.937884
-3.7	-1.57E-11	0.975586	0.0999942	7.69997E-08	0.975586
-3.8	-3.33E-11	0.99888	0.1000065	3.99423E-08	0.99888
-3.9	-3.4E-11	1.022164	0.1000036	1.88023E-08	1.022164
-4	-3.58E-11	1.045387	0.1000018	8.065E-09	1.045387
-4.1	-1.53E-11	1.091961	0.0999996	3.2096E-09	1.091961
-4.2	-3.34E-11	1.115269	0.1000004	1.1171E-09	1.115269
-4.3	-3.55E-11	1.138471	0.1000003	3.489E-10	1.138471
-4.4	-3.63E-11	1.161685	0.1000002	9.2E-11	1.161685
-4.5	-3.61E-11	1.184944	0.1000004	1.85E-11	1.184944
-4.6	-3.44E-11	1.208279	0.1000002	-5E-13	1.208279
-4.7	-3.62E-11	1.23149	0.1000004	-4.3E-12	1.23149
-4.8	-3.66E-11	1.254721	0.1000002	-5.2E-12	1.254721
-4.9	-3.68E-11	1.277927	0.1000002	-4.5E-12	1.277927
-5	-3.53E-11	1.301227	0.1000004	-4.6E-12	1.301227
-5.1	-3.52E-11	1.324514	0.1000004	-4.7E-12	1.324514
-5.2	-3.71E-11	1.347723	0.1000003	-4.6E-12	1.347723
-5.3	-3.71E-11	1.37095	0.1000004	-4.5E-12	1.37095
-5.4	-3.57E-11	1.394236	0.1000002	-4.9E-12	1.394236
-5.5	-3.57E-11	1.417554	0.1000004	-4.7E-12	1.417554
-5.6	-3.7E-11	1.440771	0.1000001	-4.7E-12	1.440771
-5.7	-3.73E-11	1.463996	0.1000002	-4.6E-12	1.463996
-5.8	-3.57E-11	1.487296	0.1000003	-4.7E-12	1.487296
-5.9	-3.58E-11	1.51058	0.1000002	-4.6E-12	1.51058
-6	-3.73E-11	1.533808	0.1000002	-4.2E-12	1.533808
-6.1	-1.68E-11	1.590622	0.1000002	-6.7E-12	1.590622
-6.2	-3.57E-11	1.613874	0.1000002	-4.6E-12	1.613874
-6.3	-3.67E-11	1.637098	0.1000003	-4.8E-12	1.637098
-6.4	-3.67E-11	1.660316	0.1000004	-4.8E-12	1.660316
-6.5	-3.55E-11	1.683665	0.1000004	-4.7E-12	1.683665
-6.6	-3.7E-11	1.706981	0.1000002	-4.7E-12	1.706981
-6.7	-3.75E-11	1.730196	0.1000004	-4.6E-12	1.730196
-6.8	-3.55E-11	1.7535	0.1000003	-5E-12	1.7535
-6.9	-3.63E-11	1.776793	0.1000003	-5.3E-12	1.776793
-7	-3.81E-11	1.800073	0.1000003	-5.1E-12	1.800073
-7.1	-3.81E-11	1.823286	0.1000003	-5E-12	1.823286
-7.2	-3.61E-11	1.846652	0.1000001	-5.5E-12	1.846652
-7.3	-3.75E-11	1.86989	0.1000005	-4.8E-12	1.86989
-7.4	-3.84E-11	1.893117	0.1000003	-4.7E-12	1.893117
-7.5	-3.63E-11	1.916442	0.1000001	-5.3E-12	1.916442
-7.6	-3.66E-11	1.939715	0.1000001	-4.7E-12	1.939715
-7.7	-3.85E-11	1.962973	0.1000004	-4.7E-12	1.962973
-7.8	-3.86E-11	1.986198	0.1000002	-4.4E-12	1.986198
-7.9	-3.7E-11	2.009488	0.1000004	-5.2E-12	2.009488
-8	-3.84E-11	2.032702	0.1000003	-4.9E-12	2.032702
-8.1	-1.77E-11	2.092413	0.1000001	-6.4E-12	2.092413
-8.2	-3.7E-11	2.115634	0.1000003	-5E-12	2.115634
-8.3	-3.61E-11	2.138931	0.1000002	-4.8E-12	2.138931
-8.4	-3.79E-11	2.162149	0.0999999	-4.9E-12	2.162149
-8.5	-3.81E-11	2.185423	0.1000004	-4.8E-12	2.185423
-8.6	-3.81E-11	2.208695	0.1000001	-4.9E-12	2.208695
-8.7	-3.65E-11	2.232	0.1000003	-4.9E-12	2.232
-8.8	-3.69E-11	2.255288	0.1000004	-4.9E-12	2.255288
-8.9	-3.86E-11	2.278507	0.1000002	-4.8E-12	2.278507
-9	-3.9E-11	2.301778	0.1000003	-4.7E-12	2.301778
-9.1	-3.71E-11	2.325073	0.1000003	-4.9E-12	2.325073
-9.2	-3.92E-11	2.348275	0.1000002	-4.5E-12	2.348275
-9.3	-3.9E-11	2.371496	0.1000003	-5.1E-12	2.371496
-9.4	-3.88E-11	2.394711	0.1000004	-5.1E-12	2.394711
-9.5	-3.77E-11	2.418018	0.1000003	-5.2E-12	2.418018
-9.6	-3.74E-11	2.441304	0.1000002	-5.1E-12	2.441304
-9.7	-3.84E-11	2.464559	0.1000001	-4.9E-12	2.464559
-9.8	-3.95E-11	2.487766	0.1000005	-4.9E-12	2.487766
-9.9	-3.81E-11	2.511056	0.1000003	-4.8E-12	2.511056
-10	-3.72E-11	2.534338	0.1000002	-4.7E-12	2.534338
-9.90001	-1.46E-11	2.593579	0.1	-6.5E-12	2.593579
-9.80001	6.6E-12	2.616852	0.0999997	-8.7E-12	2.616852
-9.70001	8.6E-12	2.64007	0.1	-8.5E-12	2.64007
-9.60001	8.2E-12	2.663355	0.0999997	-8.4E-12	2.663355
-9.50001	1.1E-11	2.686632	0.0999999	-9.2E-12	2.686632
-9.40001	1.25E-11	2.709928	0.0999998	-8.7E-12	2.709928
-9.30001	1.17E-11	2.733219	0.0999997	-8.5E-12	2.733219
