#scan	iMeasureCycle=1	iMux=0	time=0.02	N=401	LocalTime=20/04/2023 12:33:12
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
0	-6.3E-12	0.022884	0.0999999	2.46412E-05	0.022884
-0.1000004	-1.11E-11	0.047774	0.0999999	2.37842E-05	0.047774
-0.2000004	-1.21E-11	0.072276	0.1	2.29326E-05	0.072276
-0.3	-1.32E-11	0.097039	0.1	2.2085E-05	0.097039
-0.4	-1.46E-11	0.121561	0.1	2.12423E-05	0.121561
-0.5	-1.5E-11	0.146156	0.0999999	2.0402E-05	0.146156
-0.6	-1.53E-11	0.170727	0.1	1.95657E-05	0.170727
-0.7	-1.59E-11	0.195267	0.1	1.87329E-05	0.195267
-0.8	-1.63E-11	0.219788	0.0999999	1.79041E-05	0.219788
-0.9	-1.67E-11	0.244375	0.1	1.708E-05	0.244375
-1	-1.68E-11	0.268892	0.1	1.62602E-05	0.268892
-1.1	-1.74E-11	0.293423	0.1	1.54456E-05	0.293423
-1.2	-1.78E-11	0.317935	0.0999999	1.4637E-05	0.317935
-1.3	-1.75E-11	0.342474	0.1	1.38345E-05	0.342474
-1.4	-1.81E-11	0.367009	0.0999998	1.30399E-05	0.367009
-1.5	-1.82E-11	0.391533	0.1	1.22539E-05	0.391533
-1.6	-1.85E-11	0.416088	0.0999999	1.1476E-05	0.416088
-1.7	-1.89E-11	0.440621	0.0999999	1.07086E-05	0.440621
-1.8	-1.85E-11	0.465164	0.0999998	9.9543E-06	0.465164
-1.9	-1.88E-11	0.489688	0.1000001	9.2138E-06	0.489688
-2	-1.56E-11	0.516775	0.1000001	8.49234E-06	0.516775
-2.1	-1.94E-11	0.541514	0.1000001	7.78352E-06	0.541514
-2.2	-1.37E-11	0.589401	0.0999999	7.09659E-06	0.589401
-2.3	-1.86E-11	0.613972	0.1	6.42763E-06	0.613972
-2.4	-1.89E-11	0.638503	0.0999999	5.78398E-06	0.638503
-2.5	-1.91E-11	0.66304	0.0999998	5.16856E-06	0.66304
-2.6	-1.96E-11	0.687604	0.0999999	4.58206E-06	0.687604
-2.7	-1.98E-11	0.712153	0.1	4.02725E-06	0.712153
-2.8	-1.99E-11	0.736678	0.0999999	3.5057E-06	0.736678
-2.9	-1.99E-11	0.761295	0.1	3.01977E-06	0.761295
-3	-2E-11	0.785825	0.0999999	2.57018E-06	0.785825
-3.1	-1.98E-11	0.810387	0.0999999	2.15813E-06	0.810387
-3.2	-2.01E-11	0.834897	0.0999999	1.78381E-06	0.834897
-3.3	-2.03E-11	0.859463	0.0999999	1.44789E-06	0.859463
-3.4	-2.05E-11	0.883965	0.0999999	1.15049E-06	0.883965
-3.5	-1.67E-11	0.911275	0.0999997	8.92071E-07	0.911275
-3.6	-2.04E-11	0.935782	0.0999998	6.70579E-07	0.935782
-3.7	-2.02E-11	0.960344	0.0999997	4.8655E-07	0.960344
-3.8	-2.09E-11	0.984852	0.0999996	3.38053E-07	0.984852
-3.9	-2.04E-11	1.009411	0.0999997	2.23058E-07	1.009411
-4	-2.06E-11	1.033941	0.0999997	1.38369E-07	1.033941
-4.1	-1.39E-11	1.101413	0.099997	8.12572E-08	1.101413
-4.2	-3.38E-11	1.124635	0.1000096	4.25417E-08	1.124635
-4.3	-3.44E-11	1.147862	0.1000047	2.02653E-08	1.147862
-4.4	-3.51E-11	1.173101	0.1000022	8.6926E-09	1.173101
-4.5	-3.35E-11	1.196397	0.1000007	3.3497E-09	1.196397
-4.6	-3.55E-11	1.219613	0.1000005	1.1704E-09	1.219613
-4.7	-3.5E-11	1.24288	0.1000003	3.611E-10	1.24288
-4.8	-3.41E-11	1.266184	0.1000001	9.54E-11	1.266184
-4.9	-3.41E-11	1.289476	0.1000001	1.75E-11	1.289476
-5	-3.63E-11	1.312685	0.1000001	-5E-13	1.312685
-5.1	-3.64E-11	1.335903	0.1000002	-3.8E-12	1.335903
-5.2	-3.48E-11	1.359192	0.1000001	-4.7E-12	1.359192
-5.3	-3.47E-11	1.38248	0.1000003	-4.2E-12	1.38248
-5.4	-3.69E-11	1.405692	0.1	-4.3E-12	1.405692
-5.5	-3.68E-11	1.428956	0.1000002	-4E-12	1.428956
-5.6	-3.52E-11	1.452253	0.1000002	-4.4E-12	1.452253
-5.7	-3.49E-11	1.475534	0.1000003	-4.4E-12	1.475534
-5.8	-3.68E-11	1.498745	0.1	-4.1E-12	1.498745
-5.9	-3.49E-11	1.522045	0.1	-4.3E-12	1.522045
-6	-3.52E-11	1.545357	0.1000001	-4.6E-12	1.545357
-6.1	-1.66E-11	1.591071	0.1	-5.8E-12	1.591071
-6.2	-3.44E-11	1.614374	0.1	-4.1E-12	1.614374
-6.3	-3.46E-11	1.637675	0.1000001	-4.6E-12	1.637675
-6.4	-3.67E-11	1.660883	0.1	-4.1E-12	1.660883
-6.5	-3.67E-11	1.684146	0.1000001	-4.5E-12	1.684146
-6.6	-3.56E-11	1.707444	0.1000003	-4.1E-12	1.707444
-6.7	-3.55E-11	1.730731	0.1000002	-4.4E-12	1.730731
-6.8	-3.72E-11	1.754052	0.1	-4.5E-12	1.754052
-6.9	-3.78E-11	1.777325	0.1000001	-4.1E-12	1.777325
-7	-3.6E-11	1.800612	0.0999999	-4.6E-12	1.800612
