	Time	Dose	Vth	Mobility	SS	Von
0	0.0	0.0	2.051050701982354	5.996922898715189	5.058603075927054	1.8767045990651432
1	563.0	1.1049723756906078	2.0993852556391874	6.012653124991636	-19.561009690634446	-17.53815159599061
2	850.0	2.2099447513812156	2.0989551646224807	6.0019616933023885	26.04260967487416	12.532323073248675
3	890.0	3.3149171270718236	2.1347270478147227	6.022940231462303	190.74547956156601	133.21355021161244
4	930.0	4.419889502762431	2.059564579768918	6.030762964258092	-5.497774731978872	-9.221570956241463
5	1210.0	5.524861878453039	2.0739737254186434	6.033363041778349	-52.73580625482941	-38.40015391306864
6	1250.0	6.629834254143647	2.082741410534832	6.033905846169045	-26.489005812856327	-24.425915376243566
7	1290.0	7.734806629834255	2.0059012656972635	6.042952875871323	16.690212193703207	7.767711397018386
8	1570.0	8.839779005524862	2.0195606480017054	6.045044455050277	-5.955797440420663	-10.614446773964438
9	1610.0	9.94475138121547	2.026489768289463	6.0444380696363345	72.66088986700501	62.01704972118858
10	1650.0	11.049723756906078	1.9525289331859197	6.056345652913371	-365.4449727514539	-336.78489064503344
11	1930.0	12.154696132596685	1.953804677325263	6.048231198443898	25.696931792786785	24.387666410071024
12	1970.0	13.259668508287294	1.9814016576213307	6.063715676364768	-18.15119365414539	-22.92078930018611
13	2010.0	14.364640883977902	1.9046289200204851	6.073247899999009	0.1	0.1
14	2290.0	15.46961325966851	1.9209029831515778	6.076771690181239	-1.5493794528977938	-7.29322281205857
15	2330.0	16.574585635359117	1.9295777725990237	6.0772061403072986	-1.5307559435477742	-7.309771766420181
16	2370.0	17.679558011049725	1.8507022979426355	6.086642097768943	0.1	0.1
17	2650.0	18.784530386740332	1.8665999423102926	6.089852579181901	0.1	0.1
18	2690.0	19.88950276243094	1.8705163305653814	6.0865477668061265	0.1	0.1
19	2730.0	20.994475138121548	1.796915384176484	6.099552907103588	0.1	0.1
20	3010.0	22.099447513812155	1.7996723603667384	6.092282585966276	0.1	0.1
21	3050.0	23.204419889502763	1.8066476499319235	6.0914031582389	0.1	0.1
22	3090.0	24.30939226519337	1.746320823484864	6.115456315560775	0.1	0.1
23	3370.0	25.414364640883978	1.7603651794166661	6.117085808212504	0.1	0.1
24	3410.0	26.51933701657459	1.76916829690589	6.117429089519215	0.1	0.1
25	3450.0	27.624309392265197	1.6910651076734513	6.128590919663341	0.1	0.1
26	3730.0	28.729281767955804	1.702852938364521	6.128344387755541	0.1	0.1
27	3770.0	29.83425414364641	1.7136856960568947	6.13038017685881	0.1	0.1
28	3810.0	30.93922651933702	1.6347673157881941	6.139700616304503	0.1	0.1
29	4090.0	32.04419889502763	1.6476722784258822	6.140428657454243	0.1	0.1
30	4130.0	33.149171270718234	1.6505570456710115	6.136258880421536	0.1	0.1
31	4170.0	34.25414364640884	1.5721323751980354	6.145409985504757	0.1	0.1
32	4450.0	35.35911602209945	1.6019019701154513	6.159151623045829	0.1	0.1
33	4490.0	36.46408839779006	1.6112588554827292	6.160026011891098	0.1	0.1
34	4530.0	37.569060773480665	1.5327370788299188	6.169191004779954	0.1	0.1
35	4810.0	38.67403314917127	1.547401019487698	6.171262933168587	0.1	0.1
36	4850.0	39.77900552486188	1.5574539537467447	6.172759175501336	0.1	0.1
37	4890.0	40.88397790055249	1.4803731564966665	6.1811058085651736	0.1	0.1
38	5170.0	41.988950276243095	1.4948070799264936	6.183161671318855	0.1	0.1
39	5210.0	43.0939226519337	1.4985580123768791	6.179575728530551	0.1	0.1
40	5250.0	44.19889502762431	1.421860744585914	6.188293125147793	0.1	0.1
41	5530.0	45.30386740331492	1.449987319997932	6.200676855080453	0.1	0.1
42	5570.0	46.408839779005525	1.4598926577345694	6.202348711466263	0.1	0.1
43	5610.0	47.51381215469613	1.384119028696689	6.2112406438700845	0.1	0.1
44	5890.0	48.61878453038674	1.398279512716999	6.21228519572467	0.1	0.1
45	5930.0	49.72375690607735	1.4068682308880485	6.212247266234292	0.1	0.1
46	5970.0	50.828729281767956	1.3328562856045323	6.222276920966871	0.17336046373816913	-0.7538467597905518
47	6250.0	51.93370165745856	1.343580696909046	6.221374068041556	0.17126453526440477	-0.7265874090899404
48	6290.0	53.03867403314918	1.3525004607895261	6.221669858692366	0.16946859873145217	-0.707906012949545
49	6330.0	54.143646408839786	1.2913983741808648	6.239574503679086	0.1756255810051421	-0.797601081208821
50	6610.0	55.24861878453039	1.3069153421420976	6.242316441267051	0.17307823761287003	-0.7685584558764366
51	6650.0	56.353591160221	1.3154748840721007	6.242713116670928	0.17579167151070693	-0.7648117784881955
52	6690.0	57.45856353591161	1.2423702513220227	6.250359196961339	0.1804721158124771	-0.8511509117194557
53	6970.0	58.563535911602216	1.257009793420784	6.252202921183508	0.16876684092688352	-0.784953564160014
54	7010.0	59.66850828729282	1.266037403336554	6.253077104522405	0.17121804955707173	-0.7824902138348073
55	7050.0	60.77348066298343	1.1912035564810748	6.258325298846381	0.17918803231775407	-0.879204107765277
56	7330.0	61.87845303867404	1.2170893798968958	6.268987327241759	0.1774085513522579	-0.8536533038672269
57	7370.0	62.983425414364646	1.2266673510360138	6.269919064068065	0.1762306700084373	-0.8367686635362049
58	7410.0	64.08839779005525	1.156782353545281	6.278310220493542	0.17830792175927	-0.9087192568224031
59	7690.0	65.19337016574586	1.1704478151271378	6.279632017272406	0.17763779769146065	-0.8879445010022889
60	7730.0	66.29834254143647	1.1802712586633812	6.2807489215481755	0.1792396761858422	-0.8816291980594235
61	7770.0	67.40331491712708	1.1104765547348834	6.28863866436395	0.1	0.1
