	Time	Dose	Vth	Mobility	SS
0	0.0	0.0	2.051050701982354	5.996922898715189	-4.115180431405845
1	563.0	1.1049723756906078	2.0993852556391874	6.012653124991636	-21.782600318206146
2	850.0	2.2099447513812156	2.0989551646224807	6.0019616933023885	-52.51615866133929
3	890.0	3.3149171270718236	2.1347270478147227	6.022940231462303	-8.639008470404137
4	930.0	4.419889502762431	2.059564579768918	6.030762964258092	26.43417599404405
5	1210.0	5.524861878453039	2.0739737254186434	6.033363041778349	-5.730470661034699
6	1250.0	6.629834254143647	2.082741410534832	6.033905846169045	-9.812293523903204
7	1290.0	7.734806629834255	2.0059012656972635	6.042952875871323	-3.6483814607509566
8	1570.0	8.839779005524862	2.0195606480017054	6.045044455050277	-3.344480642127516
9	1610.0	9.94475138121547	2.026489768289463	6.0444380696363345	-9.398161577497406
10	1650.0	11.049723756906078	1.9525289331859197	6.056345652913371	-3.418942438054329
11	1930.0	12.154696132596685	1.953804677325263	6.048231198443898	-33.31052526633114
12	1970.0	13.259668508287294	1.9814016576213307	6.063715676364768	200.6919054500862
13	2010.0	14.364640883977902	1.9046289200204851	6.073247899999009	0.1
14	2290.0	15.46961325966851	1.9209029831515778	6.076771690181239	0.1
15	2330.0	16.574585635359117	1.9295777725990237	6.0772061403072986	0.1
16	2370.0	17.679558011049725	1.8507022979426355	6.086642097768943	0.1
17	2650.0	18.784530386740332	1.8665999423102926	6.089852579181901	-6.42364194280665
18	2690.0	19.88950276243094	1.8705163305653814	6.0865477668061265	0.1
19	2730.0	20.994475138121548	1.796915384176484	6.099552907103588	0.1
20	3010.0	22.099447513812155	1.7996723603667384	6.092282585966276	0.1
21	3050.0	23.204419889502763	1.8066476499319235	6.0914031582389	0.1
22	3090.0	24.30939226519337	1.746320823484864	6.115456315560775	0.1
23	3370.0	25.414364640883978	1.7603651794166661	6.117085808212504	0.1
24	3410.0	26.51933701657459	1.76916829690589	6.117429089519215	0.1
25	3450.0	27.624309392265197	1.6910651076734513	6.128590919663341	0.1
26	3730.0	28.729281767955804	1.702852938364521	6.128344387755541	0.1
27	3770.0	29.83425414364641	1.7136856960568947	6.13038017685881	0.1
28	3810.0	30.93922651933702	1.6347673157881941	6.139700616304503	0.1
29	4090.0	32.04419889502763	1.6476722784258822	6.140428657454243	0.1
30	4130.0	33.149171270718234	1.6505570456710115	6.136258880421536	0.1
31	4170.0	34.25414364640884	1.5721323751980354	6.145409985504757	0.1
32	4450.0	35.35911602209945	1.6019019701154513	6.159151623045829	0.1
33	4490.0	36.46408839779006	1.6112588554827292	6.160026011891098	0.1
34	4530.0	37.569060773480665	1.5327370788299188	6.169191004779954	0.1
35	4810.0	38.67403314917127	1.547401019487698	6.171262933168587	0.1
36	4850.0	39.77900552486188	1.5574539537467447	6.172759175501336	0.1
37	4890.0	40.88397790055249	1.4803731564966665	6.1811058085651736	0.1
38	5170.0	41.988950276243095	1.4948070799264936	6.183161671318855	0.1
39	5210.0	43.0939226519337	1.4985580123768791	6.179575728530551	0.1
40	5250.0	44.19889502762431	1.421860744585914	6.188293125147793	0.1
41	5530.0	45.30386740331492	1.449987319997932	6.200676855080453	0.1
42	5570.0	46.408839779005525	1.4598926577345694	6.202348711466263	0.1
43	5610.0	47.51381215469613	1.384119028696689	6.2112406438700845	0.1
44	5890.0	48.61878453038674	1.398279512716999	6.21228519572467	0.1
45	5930.0	49.72375690607735	1.4068682308880485	6.212247266234292	0.1
46	5970.0	50.828729281767956	1.3328562856045323	6.222276920966871	0.1
47	6250.0	51.93370165745856	1.343580696909046	6.221374068041556	0.1
48	6290.0	53.03867403314918	1.3525004607895261	6.221669858692366	0.1
49	6330.0	54.143646408839786	1.2913983741808648	6.239574503679086	0.1756255810051421
50	6610.0	55.24861878453039	1.3069153421420976	6.242316441267051	0.1
51	6650.0	56.353591160221	1.3154748840721007	6.242713116670928	0.1
52	6690.0	57.45856353591161	1.2423702513220227	6.250359196961339	0.17243751009301736
53	6970.0	58.563535911602216	1.257009793420784	6.252202921183508	0.16876684092688352
54	7010.0	59.66850828729282	1.266037403336554	6.253077104522405	0.17121804955707173
55	7050.0	60.77348066298343	1.1912035564810748	6.258325298846381	0.17535365319292007
56	7330.0	61.87845303867404	1.2170893798968958	6.268987327241759	0.17281416801708302
57	7370.0	62.983425414364646	1.2266673510360138	6.269919064068065	0.16976540593921066
58	7410.0	64.08839779005525	1.156782353545281	6.278310220493542	0.17830792175927
59	7690.0	65.19337016574586	1.1704478151271378	6.279632017272406	0.17763779769146065
60	7730.0	66.29834254143647	1.1802712586633812	6.2807489215481755	0.17809894926690617
61	7770.0	67.40331491712708	1.1104765547348834	6.28863866436395	0.1
62	8050.0	68.50828729281768	1.1216060166147088	6.288049783130005	0.16725664032993698
63	8090.0	69.61325966850829	1.131553407909632	6.289400072041916	0.17200738415094174
64	8130.0	70.7182320441989	1.0739670220662128	6.3055519167503995	0.17696040882520536
65	8410.0	71.8232044198895	1.0884611931577022	6.307436841652805	0.17511942259646793
66	8450.0	72.92817679558011	1.097600235995664	6.308207771743087	0.17257905931689765
67	8490.0	74.03314917127072	1.0293745278884812	6.31531862006091	0.17779298246716208
68	8770.0	75.13812154696133	1.0435497122657438	6.316893856683566	0.17538081494163668
69	8810.0	76.24309392265194	1.051088262961037	6.3160911835447795	0.17467480145298642
70	8850.0	77.34806629834254	0.9948788338899771	6.33167412531287	0.17518768410818505
71	9130.0	78.45303867403315	1.0087086542292627	6.333129777646884	0.17582908690699547
